Disease,LR_M1_r,LR_M2_r,LR_M3_r,LR_M4_r,M1_M2_r,M1_M3_r,M1_M4_r,M2_M3_r,M2_M4_r,M3_M4_r,M1_formula,M2_formula,M3_formula,M4_formula
ra,0.2172,0.0728,0.0569,0.1439,0.1841,-0.0167,-0.0622,-0.0298,-0.1257,0.0402,rbc,((((((((eos_pct) - (log(abs(mcv)+1))) * ((hct**2))) / (abs((rbc**2))+1e-6)) / (abs((baso_pct**2))+1e-6)) * (mchc)) - (hgb)) * ((mch**2))) + ((wbc**2)),"add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct), mono_pct), log(sub(hct, mchc))))), mono_pct), mul(mul(mul(div(mono_pct, neut_pct), mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct)), mono_pct), mono_pct)), mono_pct), log(sub(hct, mchc))))), mono_pct), div(mono_pct, hct)), log(sub(hct, mchc)))",(hct - hgb) / (plt + 0.01)
psr,0.4934,0.1618,-0.2951,-0.1389,-0.0724,-0.3122,-0.2124,0.0564,0.1255,0.3678,mch,(((sqrt(abs(mch))) / (abs(mcv)+1e-6)) * ((neut_pct**2))) - (sqrt(abs(mono_pct))),"mul(sqrt(log(mcv)), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",(hgb - mchc) / (hct + 0.01) * (plt + 0.1)
t1d,0.3523,0.034,0.3452,0.1266,-0.0793,0.4921,0.1759,-0.1159,-0.0366,0.1068,plt,(((((eos_pct) / (abs(log(abs(lym_pct)+1))+1e-6)) * (sqrt(abs(neut_pct)))) + (mcv)) - (log(abs(hgb)+1))) / (abs((mono_pct**2))+1e-6),"mul(log(log(lym_pct)), mul(lym_pct, mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(div(neut_pct, mono_pct), mono_pct), mono_pct), mono_pct)), rbc)), mono_pct)))",(mch - 28) * (mchc - 32) * (mcv - 80) * (plt - 150)
crhn,0.545,0.0375,0.7064,0.582,-0.003,0.762,0.9947,0.0083,-0.0006,0.797,plt,((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),"neg(mul(sqrt(add(plt, neg(mcv))), mul(sqrt(add(plt, plt)), sub(mul(sqrt(mcv), div(mcv, mchc)), add(rbc, mchc)))))",(mch + 0.01) / (mcv + 0.01) * (plt + 0.01)
lup,0.2239,0.3027,0.0547,0.3627,0.6019,0.028,0.9221,0.0238,0.6257,0.0237,rbc,((((((((hgb**2)) + (log(abs(lym_pct)+1))) - (hct)) * (log(abs(wbc)+1))) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) - (log(abs(plt)+1))) + (sqrt(abs(rdw))),"mul(log(add(lym_pct, -0.247)), mul(mul(plt, div(neg(div(plt, mul(mono_pct, hgb))), hgb)), div(mul(plt, div(plt, add(hct, hct))), mul(mono_pct, hgb))))",(mcv - mchc) / (mcv + mchc + 0.01) * rbc
t2d,0.3695,0.2363,0.9149,0.5211,0.0557,0.3556,0.7339,0.3016,0.0104,0.5733,mchc,((((((((((((sqrt(abs(rdw))) + (mch)) - ((mono_pct**2))) * (log(abs(hct)+1))) + (neut_pct)) - (sqrt(abs(plt)))) * (lym_pct)) + ((baso_pct**2))) * (wbc)) / (abs(sqrt(abs(rbc)))+1e-6)) * (sqrt(abs(eos_pct)))) / (abs((hgb**2))+1e-6)) / (abs((mcv**2))+1e-6),"mul(sub(mchc, mono_pct), sub(sqrt(div(add(mch, add(mch, add(mch, mcv))), rdw)), sqrt(mchc)))",(mchc - 27) / (mch + 0.1) * (rdw / 20)
t2d,0.3662,0.0748,0.9142,0.5162,0.018,0.3556,0.7339,0.0429,0.0009,0.5733,mchc,(((((((((((((log(abs(wbc)+1)) + (neut_pct)) - (log(abs(mcv)+1))) * (log(abs(eos_pct)+1))) + (log(abs(lym_pct)+1))) - (hct)) * ((rdw**2))) * ((mchc**2))) + (log(abs(mch)+1))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((hgb**2))) + ((baso_pct**2))) - (sqrt(abs(plt))),"mul(sub(mchc, mono_pct), sub(sqrt(div(add(mch, add(mch, add(mch, mcv))), rdw)), sqrt(mchc)))",(mchc - 27) / (mch + 0.1) * (rdw / 20)
psr,0.4883,-0.0327,-0.3032,0.2494,-0.0228,-0.2506,0.1174,0.0042,0.0243,0.3077,mch,((((((((((sqrt(abs(lym_pct))) - ((neut_pct**2))) - (rdw)) + ((wbc**2))) / (abs((mchc**2))+1e-6)) / (abs(sqrt(abs(eos_pct)))+1e-6)) + (log(abs(rbc)+1))) - ((mch**2))) / (abs((mcv**2))+1e-6)) + (hct)) / (abs(sqrt(abs(mono_pct)))+1e-6),"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",(mch * mchc) / (mcv + 0.01) * (rdw / (100 + 0.01))
t2d,0.3683,0.075,0.9146,0.5176,0.018,0.3556,0.7339,0.0429,0.0009,0.5733,mchc,(((((((((((((log(abs(wbc)+1)) + (neut_pct)) - (log(abs(mcv)+1))) * (log(abs(eos_pct)+1))) + (log(abs(lym_pct)+1))) - (hct)) * ((rdw**2))) * ((mchc**2))) + (log(abs(mch)+1))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((hgb**2))) + ((baso_pct**2))) - (sqrt(abs(plt))),"mul(sub(mchc, mono_pct), sub(sqrt(div(add(mch, add(mch, add(mch, mcv))), rdw)), sqrt(mchc)))",(mchc - 27) / (mch + 0.1) * (rdw / 20)
crhn,0.5451,-0.1395,0.6416,0.5705,-0.0506,0.8403,0.5984,-0.1139,-0.0477,0.539,plt,((((((((((mcv) / (abs((eos_pct**2))+1e-6)) - (sqrt(abs(mono_pct)))) / (abs((hct**2))+1e-6)) - (sqrt(abs(neut_pct)))) + ((mch**2))) - (log(abs(rdw)+1))) / (abs(mchc)+1e-6)) + ((wbc**2))) * (log(abs(hgb)+1))) - ((rbc**2)),"mul(sqrt(add(sub(rdw, add(rbc, mchc)), mchc)), neg(mul(sqrt(mul(rbc, plt)), sub(rdw, add(sqrt(sub(rdw, add(sqrt(rbc), mchc))), mchc)))))",(mchc - mch) / (mcv + 0.01) * (plt + 0.01)
