disease,method,formula,features,n_features,formula_auc_pr,formula_auc_roc,formula_auc_pr_lo,formula_auc_pr_hi,formula_auc_roc_lo,formula_auc_roc_hi,lr_formula,auc_pr,auc_roc,lift,prevalence,lr_auc_pr_lo,lr_auc_pr_hi,lr_auc_roc_lo,lr_auc_roc_hi
ra,M2,((((((((eos_pct) - (log(abs(mcv)+1))) * ((hct**2))) / (abs((rbc**2))+1e-6)) / (abs((baso_pct**2))+1e-6)) * (mchc)) - (hgb)) * ((mch**2))) + ((wbc**2)),"hct,hgb,mch,mchc,mcv,rbc,wbc,eos_pct,baso_pct",9,0.0384,0.5313,0.0086,0.0867,0.4506,0.6024,-0.09386*hct + 0.08383*hgb + 0.06803*mch + -0.008028*mchc + -0.01013*mcv + 0.3846*rbc + 0.0008595*wbc + 0.04192*eos_pct + -0.3364*baso_pct + -0.04473,0.0115,0.5562,1.068,0.0107,0.008,0.0171,0.4803,0.6274
ra,M3,"add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct), mono_pct), log(sub(hct, mchc))))), mono_pct), mul(mul(mul(div(mono_pct, neut_pct), mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct)), mono_pct), mono_pct)), mono_pct), log(sub(hct, mchc))))), mono_pct), div(mono_pct, hct)), log(sub(hct, mchc)))","hct,mchc,neut_pct,mono_pct",4,0.0155,0.6355,0.0105,0.0296,0.572,0.693,-0.02501*hct + 0.0643*mchc + -0.005083*neut_pct + -0.09748*mono_pct + -0.3539,0.013,0.639,1.207,0.0107,0.0095,0.0182,0.5831,0.6863
ra,M4,(hct - hgb) / (plt + 0.01),"hct,hgb,plt",3,0.0149,0.6029,0.0104,0.0238,0.5286,0.6772,-0.07813*hct + 0.1034*hgb + 0.002378*plt + 0.9318,0.0153,0.6025,1.421,0.0107,0.0127,0.0188,0.5681,0.6321
ra,M5,"add(mul(div(mono_pct, neut_pct), mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct), log(sub(hct, mchc))))), mono_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct), log(sub(hct, mchc))))), mono_pct)), log(sub(hct, mchc)))","hct,mchc,neut_pct,mono_pct",4,0.0163,0.6433,0.0113,0.0304,0.5751,0.701,-0.02501*hct + 0.0643*mchc + -0.005083*neut_pct + -0.09748*mono_pct + -0.3539,0.013,0.639,1.207,0.0107,0.0095,0.0182,0.5831,0.6863
crhn,M2,((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),"hgb,mch,mchc,mcv,plt,rbc,rdw,wbc,neut_pct,lym_pct,mono_pct,eos_pct,baso_pct",13,0.0369,0.6192,0.0118,0.0845,0.5468,0.6927,-0.4058*hgb + 0.4217*mch + -0.01477*mchc + -0.1259*mcv + 0.004609*plt + 1.225*rbc + 0.002124*rdw + -0.06951*wbc + -0.007924*neut_pct + -0.01314*lym_pct + -0.1053*mono_pct + 0.05156*eos_pct + -0.3176*baso_pct + 0.06915,0.019,0.6606,2.381,0.008,0.0118,0.0393,0.5836,0.7334
crhn,M3,"neg(mul(sqrt(add(plt, neg(mcv))), mul(sqrt(add(plt, plt)), sub(mul(sqrt(mcv), div(mcv, mchc)), add(rbc, mchc)))))","mchc,mcv,plt,rbc",4,0.0256,0.6119,0.0112,0.0693,0.5322,0.6864,0.1893*mchc + -0.0437*mcv + 0.004702*plt + -0.2669*rbc + -2.524,0.023,0.6643,2.893,0.008,0.0179,0.0349,0.6335,0.6957
crhn,M4,(mch + 0.01) / (mcv + 0.01) * (plt + 0.01),"mch,mcv,plt",3,0.0191,0.5898,0.0099,0.0551,0.5102,0.6631,0.2017*mch + -0.1*mcv + 0.004627*plt + 1.797,0.0218,0.6598,2.737,0.008,0.0172,0.0322,0.6268,0.6905
crhn,M5,"mul(sqrt(add(sub(rdw, add(rbc, mchc)), mchc)), neg(mul(sqrt(mul(rbc, plt)), sub(rdw, add(sqrt(sub(rdw, add(sqrt(rbc), mchc))), mchc)))))","mchc,plt,rbc,rdw",4,0.0212,0.6015,0.0104,0.0587,0.5208,0.676,0.196*mchc + 0.00525*plt + -0.05607*rbc + 0.06632*rdw + -8.554,0.0207,0.668,2.595,0.008,0.0161,0.0307,0.6332,0.697
t1d,M2,(((((eos_pct) / (abs(log(abs(lym_pct)+1))+1e-6)) * (sqrt(abs(neut_pct)))) + (mcv)) - (log(abs(hgb)+1))) / (abs((mono_pct**2))+1e-6),"hgb,mcv,neut_pct,lym_pct,mono_pct,eos_pct",6,0.0385,0.6019,0.01,0.0829,0.5442,0.6557,0.005608*hgb + -0.02104*mcv + 0.02304*neut_pct + 0.02726*lym_pct + -0.07057*mono_pct + 0.05019*eos_pct + 0.0002913,0.0132,0.6034,1.22,0.0108,0.0094,0.019,0.5434,0.6663
t1d,M3,"mul(log(log(lym_pct)), mul(lym_pct, mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(div(neut_pct, mono_pct), mono_pct), mono_pct), mono_pct)), rbc)), mono_pct)))","plt,rbc,neut_pct,lym_pct,mono_pct",5,0.0128,0.5534,0.0091,0.0204,0.4908,0.6221,0.001158*plt + 0.02983*rbc + 0.01241*neut_pct + 0.0197*lym_pct + -0.07763*mono_pct + -1.178,0.0141,0.6135,1.309,0.0108,0.0106,0.0204,0.5476,0.6841
