Timestamp,Disease,Split_Salt,Best_Lit_Feature,Best_Lit_Formula,Best_Lit_AUC_PR,Best_Lit_AUC_ROC,Best_DD_Feature,Best_DD_Formula,Best_DD_AUC_PR,Best_DD_AUC_ROC,CV_Selected_Feature,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,Frozen_Test_AUC_PR,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K
2026-06-07 02:02:57,ra,,rbc,rbc < 4.0,0.0141,0.5861,rbc,rbc < 3.99,0.0141,0.5861,plt,0.014723,0.000529,0.013686,0.015759,0.0133,1,0.0124,0.0009
2026-06-07 02:04:40,t2d,,mcv,mcv < 80.0,0.1492,0.5643,mchc,mchc > 33.4,0.1516,0.561,mcv,0.15194,0.002099,0.147827,0.156054,0.1492,1,0.1356,0.0136
2026-06-07 02:04:40,t1d,,plt,plt > 400.0,0.0154,0.6079,plt,plt > 237.0,0.0154,0.6079,mchc,0.014857,0.001149,0.012604,0.017109,0.0143,1,0.0139,0.0004
2026-06-07 02:07:02,psr,,rbc,rbc < 4.0,0.0087,0.5339,mch,mch > 30.8,0.0134,0.5269,mchc,0.008474,0.001313,0.005901,0.011046,0.0076,1,0.0089,-0.0013
2026-06-07 02:13:45,lup,,rbc,rbc < 4.0,0.0079,0.6318,rbc,rbc < 4.17,0.0079,0.6318,wbc,0.006164,0.000849,0.004499,0.007828,0.0077,1,0.0043,0.0034
2026-06-07 02:15:39,crhn,,mcv,mcv < 80.0,0.0162,0.5719,plt,plt > 268.0,0.019,0.6272,plt,0.016343,0.002997,0.01047,0.022216,0.019,1,0.0181,0.0009
2026-06-21 10:58:36,crhn,seed2,mcv,mcv < 80.0,0.0106,0.5879,plt,plt > 252.0,0.0143,0.6598,plt,0.01745,0.004031,0.00955,0.02535,0.0143,1,0.0136,0.0007
2026-06-21 10:58:38,ra,seed2,rbc,rbc < 4.0,0.015,0.5727,rbc,rbc < 3.84,0.015,0.5727,plt,0.014739,0.002056,0.01071,0.018768,0.0137,1,0.0122,0.0015
2026-06-21 10:59:54,t1d,seed2,plt,plt > 400.0,0.0161,0.5767,mchc,mchc > 33.4,0.0167,0.5819,plt,0.014451,0.000519,0.013434,0.015468,0.0161,1,0.021,-0.0049
2026-06-21 11:00:48,t2d,seed2,mcv,mcv < 80.0,0.1496,0.5645,mcv,mcv < 89.0,0.1496,0.5645,mcv,0.151854,0.003056,0.145865,0.157844,0.1496,1,0.1259,0.0237
2026-06-21 11:00:57,lup,seed2,rbc,rbc < 4.0,0.0099,0.5967,rbc,rbc < 4.17,0.0099,0.5967,mchc,0.00624,0.00509,-0.003736,0.016216,0.0036,1,0.0041,-0.0005
2026-06-21 11:01:11,lup,seed3,rbc,rbc < 4.0,0.008,0.604,mchc,mchc > 33.9,0.0081,0.4947,wbc,0.006453,0.000988,0.004516,0.00839,0.0065,1,0.0048,0.0017
2026-06-21 11:05:44,crhn,seed3,mcv,mcv < 80.0,0.0132,0.5747,plt,plt > 268.0,0.0164,0.6441,plt,0.016921,0.001549,0.013885,0.019956,0.0164,1,0.0132,0.0032
2026-06-21 11:05:57,ra,seed3,plt,plt > 400.0,0.0147,0.5557,plt,plt > 250.0,0.0147,0.5557,plt,0.014455,0.001245,0.012014,0.016896,0.0147,1,0.0111,0.0036
2026-06-21 11:09:08,lup,seed4,mcv,mcv < 80.0,0.0056,0.5546,wbc,wbc < 5.7,0.0064,0.5712,wbc,0.006554,0.001716,0.00319,0.009918,0.0064,1,0.004,0.0024
2026-06-21 11:09:31,t2d,seed3,mcv,mcv < 80.0,0.1545,0.5655,mcv,mcv < 89.0,0.1545,0.5655,mcv,0.150579,0.00317,0.144365,0.156792,0.1545,1,0.1474,0.0071
2026-06-21 11:10:28,crhn,seed4,mcv,mcv < 80.0,0.0126,0.6074,plt,plt > 244.0,0.015,0.6195,plt,0.018172,0.005267,0.007848,0.028495,0.015,1,0.0144,0.0006
2026-06-21 11:13:22,t1d,seed3,plt,plt > 400.0,0.0139,0.5825,mchc,mchc > 33.4,0.0161,0.5999,plt,0.015,0.000756,0.013517,0.016482,0.0139,1,0.0175,-0.0036
2026-06-21 11:14:55,psr,seed3,rbc,rbc < 4.0,0.008,0.5377,mcv,mcv > 97.0,0.0124,0.505,mchc,0.008539,0.001047,0.006487,0.01059,0.0077,1,0.0098,-0.0021
2026-06-21 11:18:55,psr,seed2,rdw,rdw > 15.0,0.007,0.5525,mchc,mchc > 33.3,0.0073,0.5834,mch,0.008758,0.001478,0.005862,0.011654,0.0072,1,0.008,-0.0008
2026-06-21 11:19:50,t2d,seed4,mcv,mcv < 80.0,0.1513,0.5671,mcv,mcv < 89.0,0.1513,0.5671,mcv,0.151483,0.001822,0.147912,0.155054,0.1513,1,0.135,0.0163
2026-06-21 11:21:04,ra,seed4,plt,plt > 400.0,0.0153,0.5864,plt,plt > 229.0,0.0153,0.5864,plt,0.014377,0.001276,0.011876,0.016878,0.0153,1,0.0128,0.0025
2026-06-21 11:22:01,t1d,seed4,plt,plt > 400.0,0.0149,0.5962,plt,plt > 237.0,0.0149,0.5962,plt,0.015085,0.001067,0.012993,0.017177,0.0149,1,0.0156,-0.0007
2026-06-21 11:29:35,psr,seed4,rbc,rbc < 4.0,0.0068,0.5083,mcv,mcv > 89.0,0.0084,0.4705,mch,0.008482,0.001143,0.006242,0.010723,0.008,1,0.0078,0.0002
