formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),0.6192,0.0369,0.0115,0.5781,0.0226,0.0534,0.0152,0.0134,0.0101,13
(((mchc**2)) * (log(abs(plt)+1))) + ((hgb**2)),0.6149,0.0359,0.0117,0.5469,0.0229,0.0538,0.0151,0.0131,0.0099,3
((((((((((((sqrt(abs(mono_pct))) / (abs((rbc**2))+1e-6)) - ((hgb**2))) - (sqrt(abs(neut_pct)))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs((hct**2))+1e-6)) * (baso_pct)) + ((mchc**2))) * (log(abs(plt)+1))) + (eos_pct)) * (mcv)) - (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(mch)))+1e-6),0.5986,0.0345,0.0102,0.4531,0.0199,0.0466,0.0134,0.0107,0.0101,13
(((((((((((((sqrt(abs(mcv))) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) + (sqrt(abs(mch)))) / (abs((rbc**2))+1e-6)) + (log(abs(hct)+1))) / (abs(log(abs(baso_pct)+1))+1e-6)) * (rdw)) * (sqrt(abs(mono_pct)))) - ((plt**2))) + (lym_pct)) / (abs(sqrt(abs(neut_pct)))+1e-6)) + (sqrt(abs(wbc)))) - (mchc),0.5632,0.0339,0.0107,0.3125,0.0207,0.047,0.0176,0.01,0.0095,14
((sqrt(abs(plt))) * ((mchc**2))) - (log(abs(rdw)+1)),0.6131,0.0335,0.0134,0.4531,0.026,0.0597,0.0153,0.0127,0.0102,3
((((((neut_pct) / (abs(mcv)+1e-6)) - (log(abs(hgb)+1))) - (wbc)) + ((mchc**2))) - (log(abs(rdw)+1))) * (sqrt(abs(plt))),0.6132,0.0334,0.0133,0.4531,0.0258,0.0594,0.0159,0.0128,0.0103,7
(((((((((plt**2)) * ((hgb**2))) + (baso_pct)) - (sqrt(abs(wbc)))) - (eos_pct)) / (abs(neut_pct)+1e-6)) / (abs(mono_pct)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs((hct**2))+1e-6),0.6464,0.0325,0.0119,0.7031,0.0235,0.0559,0.0158,0.0138,0.011,9
((((((log(abs(hgb)+1)) + (sqrt(abs(plt)))) * ((mchc**2))) + (sqrt(abs(mono_pct)))) * (log(abs(hct)+1))) + (mcv)) + (sqrt(abs(eos_pct))),0.6044,0.0322,0.0119,0.4062,0.023,0.0531,0.0138,0.0119,0.0098,7
((((((((((((hct**2)) + (sqrt(abs(mcv)))) / (abs(rdw)+1e-6)) - ((wbc**2))) - (sqrt(abs(rbc)))) + ((plt**2))) + (lym_pct)) - (sqrt(abs(mch)))) - (eos_pct)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * ((mchc**2)),0.6298,0.0319,0.0113,0.625,0.0222,0.0527,0.0197,0.0138,0.0103,12
(mono_pct) - (mch),0.5761,0.0315,0.0086,0.7344,0.017,0.041,0.0102,0.0102,0.0085,2
