formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((log(abs(hgb)+1)) * (sqrt(abs(hct)))) / (abs(sqrt(abs(plt)))+1e-6)) * ((rdw**2))) * (mchc)) - (sqrt(abs(wbc)))) * ((mcv**2))) + (rbc)) + (sqrt(abs(mch))),0.017990235710968826,0.02106,0.0042,0.012828,0.029291,0.0248
((((((((mchc) + (sqrt(abs(rbc)))) - ((mcv**2))) * (log(abs(rdw)+1))) + (hgb)) - ((mch**2))) * (sqrt(abs(hct)))) / (abs(plt)+1e-6)) * (log(abs(wbc)+1)),0.018906075202957714,0.020993,0.004946,0.011298,0.030688,
(((((((log(abs(hgb)+1)) - ((mcv**2))) / (abs(log(abs(mchc)+1))+1e-6)) - ((mch**2))) / (abs(sqrt(abs(plt)))+1e-6)) * (rdw)) + (hct)) - (sqrt(abs(wbc))),0.018979941954764646,0.020932,0.005086,0.010964,0.030901,
(((((plt) - (sqrt(abs(rbc)))) / (abs((mcv**2))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) / (abs((hct**2))+1e-6)) / (abs((rdw**2))+1e-6),0.01703988687373801,0.020238,0.005135,0.010173,0.030303,
(((sqrt(abs(mch))) / (abs(sqrt(abs(plt)))+1e-6)) * ((rdw**2))) + (mcv),0.018212871569544056,0.02015,0.005219,0.009921,0.030379,
(((mchc) - (mch)) / (abs(log(abs(rdw)+1))+1e-6)) * (plt),0.018095861071071324,0.020049,0.004867,0.01051,0.029589,
(((((((sqrt(abs(mchc))) + (plt)) - (hct)) / (abs(log(abs(wbc)+1))+1e-6)) - (log(abs(rdw)+1))) / (abs((mcv**2))+1e-6)) * (hgb)) / (abs(rbc)+1e-6),0.018317209617299737,0.019828,0.004106,0.011781,0.027876,
(((((((mcv**2)) / (abs(sqrt(abs(mchc)))+1e-6)) / (abs(sqrt(abs(hgb)))+1e-6)) * (rdw)) * ((hct**2))) * (mch)) / (abs(plt)+1e-6),0.01687161875965356,0.019743,0.004778,0.010379,0.029108,
((((((hgb**2)) + ((mcv**2))) + (log(abs(hct)+1))) / (abs(plt)+1e-6)) * (mchc)) * (rdw),0.017635209359811846,0.019665,0.00439,0.01106,0.028269,
((((((mchc**2)) - (sqrt(abs(rdw)))) + (log(abs(hct)+1))) - (sqrt(abs(hgb)))) / (abs(mch)+1e-6)) * (sqrt(abs(plt))),0.017541860405608747,0.019454,0.004331,0.010965,0.027942,
