formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((log(abs(hgb)+1)) * ((mono_pct**2))) + (log(abs(neut_pct)+1))) / (abs((rdw**2))+1e-6),0.6213,0.0425,0.0051,0.6296,0.0102,0.0248,0.0042,0.0058,0.0047,4
(((((((((lym_pct) - (sqrt(abs(baso_pct)))) * (sqrt(abs(eos_pct)))) * (sqrt(abs(mono_pct)))) - (log(abs(rdw)+1))) * (sqrt(abs(mcv)))) - (sqrt(abs(hct)))) - (log(abs(rbc)+1))) - (sqrt(abs(hgb)))) + (neut_pct),0.5606,0.0414,0.0037,0.4444,0.0074,0.0179,0.0033,0.0039,0.004,10
(((((((((((sqrt(abs(wbc))) / (abs((eos_pct**2))+1e-6)) / (abs(hgb)+1e-6)) + (sqrt(abs(neut_pct)))) / (abs(sqrt(abs(plt)))+1e-6)) - ((mchc**2))) + (sqrt(abs(rbc)))) * (sqrt(abs(rdw)))) * ((mcv**2))) * ((mch**2))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * (hct),0.5473,0.0414,0.0035,1.0,0.0069,0.0171,0.0031,0.0042,0.0038,12
(((((sqrt(abs(eos_pct))) / (abs(sqrt(abs(mcv)))+1e-6)) + (log(abs(wbc)+1))) * ((rdw**2))) - (plt)) / (abs((mono_pct**2))+1e-6),0.5579,0.0414,0.0048,0.5556,0.0096,0.0234,0.0044,0.0054,0.0036,6
((((((((((((mono_pct**2)) * (lym_pct)) / (abs(sqrt(abs(wbc)))+1e-6)) - (log(abs(plt)+1))) * ((rdw**2))) - (log(abs(mcv)+1))) + (log(abs(mchc)+1))) + ((neut_pct**2))) / (abs(log(abs(baso_pct)+1))+1e-6)) + (log(abs(eos_pct)+1))) + (mch)) - (log(abs(rbc)+1)),0.5816,0.0412,0.0044,0.5556,0.0088,0.0215,0.0038,0.0038,0.0043,12
((((((((((sqrt(abs(mchc))) - (baso_pct)) * (mch)) - ((rdw**2))) * ((mcv**2))) * (sqrt(abs(rbc)))) * (hgb)) + (mono_pct)) - ((hct**2))) / (abs(log(abs(neut_pct)+1))+1e-6)) + (sqrt(abs(plt))),0.5435,0.041,0.0039,0.5556,0.0078,0.019,0.0031,0.0039,0.0036,11
((((((((log(abs(eos_pct)+1)) / (abs((mch**2))+1e-6)) / (abs(wbc)+1e-6)) / (abs((mcv**2))+1e-6)) - (log(abs(neut_pct)+1))) * (rbc)) - (log(abs(mono_pct)+1))) + (sqrt(abs(baso_pct)))) / (abs((rdw**2))+1e-6),0.5574,0.041,0.0038,0.7778,0.0076,0.0188,0.0044,0.0042,0.0034,9
(((((((((((((log(abs(wbc)+1)) + (neut_pct)) - (log(abs(mcv)+1))) * (log(abs(eos_pct)+1))) + (log(abs(lym_pct)+1))) - (hct)) * ((rdw**2))) * ((mchc**2))) + (log(abs(mch)+1))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((hgb**2))) + ((baso_pct**2))) - (sqrt(abs(plt))),0.5097,0.0407,0.0033,0.9259,0.0066,0.0164,0.0032,0.0036,0.0035,14
(((((((((mchc) * ((neut_pct**2))) * (sqrt(abs(mono_pct)))) / (abs(sqrt(abs(mch)))+1e-6)) * (sqrt(abs(hct)))) + (sqrt(abs(plt)))) / (abs(sqrt(abs(eos_pct)))+1e-6)) + ((baso_pct**2))) / (abs(sqrt(abs(rbc)))+1e-6)) + (wbc),0.5278,0.0406,0.004,0.5926,0.008,0.0196,0.0031,0.0037,0.0031,10
((((((((((rdw**2)) - ((baso_pct**2))) / (abs(log(abs(mcv)+1))+1e-6)) - (mch)) / (abs((mono_pct**2))+1e-6)) / (abs(plt)+1e-6)) + ((neut_pct**2))) * (log(abs(wbc)+1))) - (log(abs(mchc)+1))) + ((lym_pct**2)),0.522,0.0406,0.0034,0.2593,0.0067,0.016,0.0028,0.0041,0.0033,10
