formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((((((sqrt(abs(baso_pct))) * ((hgb**2))) / (abs((mcv**2))+1e-6)) - (sqrt(abs(mch)))) + ((neut_pct**2))) - (sqrt(abs(wbc)))) + (log(abs(rbc)+1))) * (log(abs(plt)+1))) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(lym_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (mono_pct),0.007643105468272148,0.017082,0.022933,-0.027866,0.062031,0.0067
((sqrt(abs(hct))) * (rdw)) - (sqrt(abs(plt))),0.006248440525791338,0.014575,0.019052,-0.022767,0.051916,
((((((((((sqrt(abs(rdw))) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - (sqrt(abs(hgb)))) + ((baso_pct**2))) * (log(abs(plt)+1))) + (sqrt(abs(neut_pct)))) - (log(abs(mono_pct)+1))) * (sqrt(abs(mchc)))) - (log(abs(hct)+1))) - (log(abs(lym_pct)+1)),0.008307899797872772,0.013493,0.018538,-0.022842,0.049829,
(((((((((mchc) - ((eos_pct**2))) - (sqrt(abs(rbc)))) + ((mch**2))) + (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(hgb)))+1e-6)) - (baso_pct)) / (abs(rdw)+1e-6)) - (mcv)) - (wbc),0.007737567944885884,0.013401,0.01652,-0.018978,0.04578,
(((((((log(abs(rbc)+1)) * (sqrt(abs(wbc)))) + (log(abs(hgb)+1))) - (sqrt(abs(neut_pct)))) / (abs(log(abs(plt)+1))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6)) + (baso_pct)) + (sqrt(abs(mono_pct))),0.007281318981529308,0.013279,0.016993,-0.020028,0.046586,
((((sqrt(abs(mch))) - (eos_pct)) / (abs((hgb**2))+1e-6)) - ((neut_pct**2))) * (log(abs(lym_pct)+1)),0.00782517805820813,0.012912,0.011533,-0.009693,0.035516,
(((eos_pct) + (mono_pct)) + (hct)) / (abs(sqrt(abs(plt)))+1e-6),0.006940738401379286,0.012752,0.010293,-0.007423,0.032927,
(((((((((baso_pct**2)) * (sqrt(abs(eos_pct)))) / (abs(mchc)+1e-6)) - (sqrt(abs(neut_pct)))) - (log(abs(rdw)+1))) - (plt)) / (abs(sqrt(abs(hct)))+1e-6)) + ((mono_pct**2))) / (abs(mch)+1e-6),0.006882778651266668,0.012477,0.010846,-0.008782,0.033736,
(((sqrt(abs(baso_pct))) + ((hct**2))) - ((mch**2))) * ((rbc**2)),0.007227444202984529,0.012472,0.017708,-0.022236,0.047179,
(((mch**2)) - ((hgb**2))) / (abs(mcv)+1e-6),0.01255864735258429,0.012398,0.018016,-0.022913,0.047708,
