Timestamp,Disease,Split_Salt,Best_Random_Formula,Best_Random_AUC_PR,Best_Random_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,N_Formulas_Tested,CV_Winner_Formula,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_Winner_Frozen_Test_AUC_PR
2026-06-07 02:12:55,t1d,,(((((eos_pct) / (abs(log(abs(lym_pct)+1))+1e-6)) * (sqrt(abs(neut_pct)))) + (mcv)) - (log(abs(hgb)+1))) / (abs((mono_pct**2))+1e-6),0.0385,0.6019,6,0.0148,0.0237,9338,(((((((((((eos_pct**2)) + (sqrt(abs(wbc)))) * ((hgb**2))) + (mono_pct)) - (sqrt(abs(baso_pct)))) + (log(abs(rdw)+1))) - (rbc)) / (abs((plt**2))+1e-6)) + ((mcv**2))) + (log(abs(neut_pct)+1))) / (abs((mch**2))+1e-6),0.0233,0.0144,0.0137
2026-06-07 02:13:15,ra,,((((((((eos_pct) - (log(abs(mcv)+1))) * ((hct**2))) / (abs((rbc**2))+1e-6)) / (abs((baso_pct**2))+1e-6)) * (mchc)) - (hgb)) * ((mch**2))) + ((wbc**2)),0.0384,0.5313,9,0.0147,0.0237,9338,((((((sqrt(abs(hgb))) * (sqrt(abs(eos_pct)))) / (abs((mono_pct**2))+1e-6)) * ((rbc**2))) * ((plt**2))) / (abs(mchc)+1e-6)) - (log(abs(baso_pct)+1)),0.0183,0.0081,0.0135
2026-06-07 02:15:32,t2d,,((((((((((((sqrt(abs(rdw))) + (mch)) - ((mono_pct**2))) * (log(abs(hct)+1))) + (neut_pct)) - (sqrt(abs(plt)))) * (lym_pct)) + ((baso_pct**2))) * (wbc)) / (abs(sqrt(abs(rbc)))+1e-6)) * (sqrt(abs(eos_pct)))) / (abs((hgb**2))+1e-6)) / (abs((mcv**2))+1e-6),0.1552,0.6355,13,0.1538,0.0014,9338,(((((((((((((baso_pct) + (neut_pct)) * ((rdw**2))) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) - (mcv)) / (abs(log(abs(wbc)+1))+1e-6)) * (mchc)) * (log(abs(lym_pct)+1))) * (log(abs(plt)+1))) * ((eos_pct**2))) + (sqrt(abs(hct)))) / (abs(rbc)+1e-6)) * (sqrt(abs(mch))),0.1557,0.0068,0.1499
2026-06-07 02:17:37,psr,,(((sqrt(abs(mch))) / (abs(mcv)+1e-6)) * ((neut_pct**2))) - (sqrt(abs(mono_pct))),0.04,0.5606,4,0.0118,0.0282,9338,((((((((((((hgb) - (sqrt(abs(hct)))) - (sqrt(abs(plt)))) * (sqrt(abs(mchc)))) - ((neut_pct**2))) * ((mono_pct**2))) * (sqrt(abs(mch)))) - (mcv)) * (sqrt(abs(lym_pct)))) / (abs(log(abs(wbc)+1))+1e-6)) * (rdw)) - ((rbc**2))) / (abs(sqrt(abs(eos_pct)))+1e-6),0.0179,0.0104,0.0104
2026-06-07 02:22:17,lup,,((((((((hgb**2)) + (log(abs(lym_pct)+1))) - (hct)) * (log(abs(wbc)+1))) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) - (log(abs(plt)+1))) + (sqrt(abs(rdw))),0.0443,0.5771,8,0.0132,0.0311,9338,((((((((((((sqrt(abs(baso_pct))) * ((hgb**2))) / (abs((mcv**2))+1e-6)) - (sqrt(abs(mch)))) + ((neut_pct**2))) - (sqrt(abs(wbc)))) + (log(abs(rbc)+1))) * (log(abs(plt)+1))) / (abs(log(abs(hct)+1))+1e-6)) * (log(abs(lym_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(log(abs(rdw)+1))+1e-6)) - (mono_pct),0.0171,0.0229,0.0067
2026-06-07 02:23:52,crhn,,((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),0.0369,0.6192,13,0.0181,0.0188,9338,((((((((((log(abs(mchc)+1)) / (abs(eos_pct)+1e-6)) / (abs((rbc**2))+1e-6)) + (log(abs(hct)+1))) + (sqrt(abs(hgb)))) - ((wbc**2))) + ((baso_pct**2))) / (abs(neut_pct)+1e-6)) + ((mcv**2))) / (abs(sqrt(abs(plt)))+1e-6)) * (rdw),0.0237,0.008,0.0136
2026-06-21 11:06:51,ra,seed2,(((log(abs(neut_pct)+1)) - (rbc)) / (abs(sqrt(abs(baso_pct)))+1e-6)) + (sqrt(abs(plt))),0.0402,0.6017,4,0.0139,0.0263,9338,((((((neut_pct) - (rbc)) - (sqrt(abs(hct)))) - (log(abs(mcv)+1))) + (lym_pct)) * (sqrt(abs(rdw)))) * (log(abs(plt)+1)),0.0206,0.0124,0.0128
2026-06-21 11:09:42,crhn,seed2,(((((((((sqrt(abs(eos_pct))) * ((plt**2))) - (sqrt(abs(hgb)))) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) - ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6),0.0515,0.6376,10,0.0192,0.0323,9338,((sqrt(abs(plt))) * ((mchc**2))) - (log(abs(rdw)+1)),0.0232,0.0109,0.0158
2026-06-21 11:09:58,t2d,seed2,(((((((((((((baso_pct) + (neut_pct)) * ((rdw**2))) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) - (mcv)) / (abs(log(abs(wbc)+1))+1e-6)) * (mchc)) * (log(abs(lym_pct)+1))) * (log(abs(plt)+1))) * ((eos_pct**2))) + (sqrt(abs(hct)))) / (abs(rbc)+1e-6)) * (sqrt(abs(mch))),0.1446,0.6259,14,0.1431,0.0015,9338,((((((((((((sqrt(abs(rdw))) + (mch)) - ((mono_pct**2))) * (log(abs(hct)+1))) + (neut_pct)) - (sqrt(abs(plt)))) * (lym_pct)) + ((baso_pct**2))) * (wbc)) / (abs(sqrt(abs(rbc)))+1e-6)) * (sqrt(abs(eos_pct)))) / (abs((hgb**2))+1e-6)) / (abs((mcv**2))+1e-6),0.1567,0.008,0.1393
2026-06-21 11:12:05,lup,seed2,((((((((((((sqrt(abs(hgb))) - (rbc)) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs(log(abs(lym_pct)+1))+1e-6)) + ((neut_pct**2))) * (log(abs(mono_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) - ((wbc**2))) * (rdw)) + (mcv)) - ((mch**2))) + (sqrt(abs(plt)))) - (log(abs(baso_pct)+1)),0.059,0.5854,13,0.0041,0.0549,9338,(((((((((((eos_pct**2)) + (sqrt(abs(wbc)))) * ((hgb**2))) + (mono_pct)) - (sqrt(abs(baso_pct)))) + (log(abs(rdw)+1))) - (rbc)) / (abs((plt**2))+1e-6)) + ((mcv**2))) + (log(abs(neut_pct)+1))) / (abs((mch**2))+1e-6),0.0144,0.0194,0.004
