formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((((((((hgb) - (sqrt(abs(hct)))) - (sqrt(abs(plt)))) * (sqrt(abs(mchc)))) - ((neut_pct**2))) * ((mono_pct**2))) * (sqrt(abs(mch)))) - (mcv)) * (sqrt(abs(lym_pct)))) / (abs(log(abs(wbc)+1))+1e-6)) * (rdw)) - ((rbc**2))) / (abs(sqrt(abs(eos_pct)))+1e-6),0.012883868618057213,0.017916,0.010387,-0.002443,0.038275,0.0104
((((((((((sqrt(abs(mchc))) - (baso_pct)) * (mch)) - ((rdw**2))) * ((mcv**2))) * (sqrt(abs(rbc)))) * (hgb)) + (mono_pct)) - ((hct**2))) / (abs(log(abs(neut_pct)+1))+1e-6)) + (sqrt(abs(plt))),0.012584543000657337,0.017608,0.012776,-0.007433,0.04265,
((((((((neut_pct**2)) / (abs((mchc**2))+1e-6)) + (log(abs(rbc)+1))) * (eos_pct)) + (hct)) / (abs(sqrt(abs(lym_pct)))+1e-6)) + ((mch**2))) - (sqrt(abs(plt))),0.01178100509134435,0.016792,0.01105,-0.004866,0.038449,
(((((((((plt**2)) * (sqrt(abs(mono_pct)))) + (log(abs(mchc)+1))) / (abs((mcv**2))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) - (hgb)) / (abs((lym_pct**2))+1e-6)) * (eos_pct)) / (abs(baso_pct)+1e-6),0.010806230920327547,0.015925,0.013382,-0.010303,0.042154,
(((((((((((((sqrt(abs(eos_pct))) * (sqrt(abs(mono_pct)))) + (neut_pct)) / (abs(lym_pct)+1e-6)) + (mch)) * (hgb)) - ((rdw**2))) - (sqrt(abs(baso_pct)))) - (sqrt(abs(wbc)))) / (abs(sqrt(abs(rbc)))+1e-6)) + (sqrt(abs(mcv)))) + (hct)) + (log(abs(mchc)+1))) / (abs(log(abs(plt)+1))+1e-6),0.012494045836318343,0.015548,0.010779,-0.00558,0.036675,
((((((log(abs(rdw)+1)) + (log(abs(hct)+1))) - (hgb)) * ((mch**2))) - (sqrt(abs(mono_pct)))) + (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(neut_pct)))+1e-6),0.01143659817828874,0.015379,0.010251,-0.004713,0.035471,
(((((((((eos_pct) * ((hgb**2))) / (abs(lym_pct)+1e-6)) * (log(abs(plt)+1))) - ((baso_pct**2))) * (log(abs(mchc)+1))) / (abs(log(abs(rbc)+1))+1e-6)) * ((neut_pct**2))) * ((hct**2))) * (log(abs(rdw)+1)),0.013530842859004561,0.015294,0.014075,-0.012293,0.042881,
(((((rdw) + (sqrt(abs(wbc)))) - (sqrt(abs(hct)))) / (abs(lym_pct)+1e-6)) / (abs(log(abs(plt)+1))+1e-6)) + (mchc),0.011045170033879857,0.015091,0.009698,-0.003917,0.034098,
(((((((wbc**2)) - ((mchc**2))) + (sqrt(abs(plt)))) / (abs(sqrt(abs(rbc)))+1e-6)) * ((hct**2))) - (log(abs(neut_pct)+1))) - ((mcv**2)),0.011302819633218886,0.015041,0.011106,-0.006727,0.036809,
(((((((((((mono_pct**2)) + ((mch**2))) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(wbc)))+1e-6)) * (sqrt(abs(rbc)))) - ((neut_pct**2))) / (abs(sqrt(abs(plt)))+1e-6)) / (abs(sqrt(abs(lym_pct)))+1e-6)) - ((hgb**2))) * (log(abs(mcv)+1))) - (sqrt(abs(rdw))),0.013216196784409856,0.015026,0.010824,-0.006188,0.03624,
