formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((sqrt(abs(rdw))) * (sqrt(abs(mcv)))) - (plt)) - ((mchc**2))) / (abs((rbc**2))+1e-6)) * (hct),0.6071,0.0185,0.0137,0.53,0.0267,0.0621,0.017,0.0142,0.0123,6
(((((((((wbc**2)) / (abs((hct**2))+1e-6)) + (mch)) * ((mchc**2))) * (sqrt(abs(plt)))) - (mcv)) + (log(abs(rbc)+1))) * (sqrt(abs(rdw)))) / (abs(sqrt(abs(hgb)))+1e-6),0.6413,0.0175,0.0155,0.63,0.0303,0.0708,0.0211,0.0178,0.013,9
((rbc**2)) / (abs(hct)+1e-6),0.5796,0.0174,0.0132,0.61,0.0258,0.0606,0.0129,0.013,0.0121,2
((sqrt(abs(hct))) / (abs(rbc)+1e-6)) * ((mchc**2)),0.5811,0.0173,0.0127,0.59,0.0249,0.0586,0.0151,0.0127,0.0118,3
(((((((mch**2)) / (abs(log(abs(rbc)+1))+1e-6)) * (sqrt(abs(plt)))) - ((hct**2))) / (abs(mcv)+1e-6)) * (log(abs(rdw)+1))) + (sqrt(abs(hgb))),0.6357,0.0173,0.0151,0.63,0.0294,0.0687,0.0217,0.0166,0.013,7
(((sqrt(abs(plt))) - ((rbc**2))) + (rdw)) * (hgb),0.6522,0.0172,0.0173,0.63,0.0337,0.078,0.0199,0.0186,0.0139,4
((((((sqrt(abs(mcv))) - (sqrt(abs(hgb)))) - ((rdw**2))) * (plt)) / (abs(sqrt(abs(rbc)))+1e-6)) * ((mch**2))) / (abs(sqrt(abs(wbc)))+1e-6),0.6442,0.0172,0.0164,0.5733,0.0319,0.0736,0.0212,0.0181,0.0136,7
(((((sqrt(abs(wbc))) - ((rdw**2))) + (plt)) - (hct)) / (abs((mchc**2))+1e-6)) - (rbc),0.5902,0.0171,0.0127,0.7467,0.025,0.0594,0.0131,0.0139,0.0126,6
((((((((log(abs(mch)+1)) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) + (mchc)) - (sqrt(abs(wbc)))) + (sqrt(abs(plt)))) / (abs(sqrt(abs(rbc)))+1e-6)) + (sqrt(abs(hgb)))) + (log(abs(mcv)+1)),0.6256,0.017,0.0157,0.5467,0.0306,0.0706,0.02,0.0164,0.0129,9
(((log(abs(rdw)+1)) + (sqrt(abs(mch)))) - (sqrt(abs(rbc)))) + (log(abs(plt)+1)),0.6375,0.017,0.0151,0.6433,0.0296,0.0692,0.0211,0.0166,0.0132,4
(((((((plt) + ((mchc**2))) / (abs(sqrt(abs(hct)))+1e-6)) * (sqrt(abs(rdw)))) * (log(abs(rbc)+1))) + (sqrt(abs(hgb)))) * (mcv)) / (abs(sqrt(abs(mch)))+1e-6),0.6465,0.0169,0.0153,0.65,0.0299,0.07,0.0203,0.0177,0.0139,8
((((((((log(abs(hgb)+1)) - (sqrt(abs(plt)))) * (mchc)) * (mch)) + (hct)) / (abs(sqrt(abs(rbc)))+1e-6)) * ((rdw**2))) / (abs(log(abs(wbc)+1))+1e-6)) / (abs(sqrt(abs(mcv)))+1e-6),0.6519,0.0169,0.0162,0.6033,0.0315,0.0731,0.021,0.0183,0.0147,9
(rbc) / (abs(log(abs(hct)+1))+1e-6),0.5847,0.0168,0.013,0.68,0.0255,0.0605,0.0126,0.0132,0.0122,2
((((sqrt(abs(plt))) / (abs((rdw**2))+1e-6)) - (log(abs(hct)+1))) * (mch)) / (abs(hgb)+1e-6),0.5853,0.0168,0.0131,0.5633,0.0256,0.0599,0.0129,0.0129,0.0122,5
((((hct) - (log(abs(rdw)+1))) / (abs(sqrt(abs(mch)))+1e-6)) / (abs(log(abs(mchc)+1))+1e-6)) - ((rbc**2)),0.5856,0.0168,0.0129,0.7,0.0253,0.06,0.0123,0.0135,0.0127,5
((sqrt(abs(rdw))) / (abs(sqrt(abs(hgb)))+1e-6)) + (rbc),0.5793,0.0168,0.0126,0.7333,0.0248,0.059,0.0124,0.0135,0.0122,3
(((((((sqrt(abs(mchc))) * (sqrt(abs(rdw)))) * (sqrt(abs(plt)))) + (wbc)) * (mch)) + (sqrt(abs(hgb)))) / (abs(log(abs(rbc)+1))+1e-6)) * (log(abs(mcv)+1)),0.6375,0.0168,0.0152,0.61,0.0296,0.069,0.0208,0.0165,0.0133,8
(((((rbc**2)) * (mchc)) - (sqrt(abs(mch)))) - (hct)) + (rdw),0.5805,0.0167,0.0127,0.7533,0.025,0.0596,0.012,0.0127,0.0125,5
