formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((((((log(abs(plt)+1)) * (mono_pct)) - ((rbc**2))) * (sqrt(abs(wbc)))) / (abs((baso_pct**2))+1e-6)) / (abs((rdw**2))+1e-6)) / (abs(log(abs(mch)+1))+1e-6)) + (neut_pct)) * ((hct**2))) / (abs(eos_pct)+1e-6)) * (hgb)) - ((mcv**2))) + (log(abs(mchc)+1)),0.5393,0.0256,0.0099,0.9733,0.0195,0.0474,0.0116,0.0095,0.0099,13
(((((((((((rdw) * (wbc)) / (abs(sqrt(abs(hct)))+1e-6)) / (abs((mchc**2))+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - (sqrt(abs(hgb)))) - (log(abs(mono_pct)+1))) / (abs(sqrt(abs(baso_pct)))+1e-6)) + (log(abs(mcv)+1))) + ((lym_pct**2))) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(mch))),0.5284,0.0253,0.0098,0.7867,0.0193,0.0465,0.0088,0.0106,0.0092,12
((((((log(abs(lym_pct)+1)) / (abs(sqrt(abs(eos_pct)))+1e-6)) + (plt)) * (baso_pct)) - (hct)) * (sqrt(abs(mono_pct)))) * (sqrt(abs(mcv))),0.5525,0.0249,0.0096,0.8667,0.019,0.0461,0.0114,0.0122,0.01,7
(((log(abs(mch)+1)) + (neut_pct)) + (sqrt(abs(mcv)))) + (hgb),0.5421,0.0245,0.0116,0.5467,0.0226,0.0533,0.0123,0.0117,0.0102,4
((((((wbc**2)) + (mcv)) * ((rbc**2))) / (abs(log(abs(mono_pct)+1))+1e-6)) / (abs(sqrt(abs(plt)))+1e-6)) * ((mch**2)),0.5017,0.0243,0.0088,0.6667,0.0173,0.0416,0.0094,0.009,0.0088,6
((((((((sqrt(abs(hct))) / (abs(wbc)+1e-6)) + (log(abs(mchc)+1))) * (eos_pct)) * (neut_pct)) - (sqrt(abs(mono_pct)))) * (hgb)) + (log(abs(rdw)+1))) + (sqrt(abs(baso_pct))),0.5268,0.024,0.0094,1.0,0.0187,0.0454,0.0116,0.0094,0.0096,9
(((((((((eos_pct) / (abs(log(abs(wbc)+1))+1e-6)) + ((hct**2))) + (neut_pct)) + (hgb)) * (sqrt(abs(lym_pct)))) - (mch)) / (abs((baso_pct**2))+1e-6)) * (log(abs(mono_pct)+1))) * (log(abs(mcv)+1)),0.5122,0.0239,0.012,0.3333,0.0231,0.0524,0.0126,0.0108,0.0085,10
((((((((sqrt(abs(plt))) + (log(abs(baso_pct)+1))) + (hct)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(neut_pct)))) / (abs((eos_pct**2))+1e-6)) * (sqrt(abs(lym_pct)))) - (sqrt(abs(hgb)))) + (rbc),0.5217,0.0235,0.0096,0.9867,0.019,0.0462,0.011,0.0093,0.0098,9
(((((((((((log(abs(neut_pct)+1)) + (log(abs(mch)+1))) + (mchc)) * (log(abs(hgb)+1))) * (sqrt(abs(wbc)))) * (eos_pct)) * (plt)) - (sqrt(abs(mono_pct)))) - (baso_pct)) * ((hct**2))) - (log(abs(rdw)+1))) + (log(abs(mcv)+1)),0.523,0.0233,0.0094,1.0,0.0186,0.0453,0.009,0.0105,0.0094,12
((((((((((((mch) - (log(abs(lym_pct)+1))) + ((hgb**2))) - (baso_pct)) / (abs(sqrt(abs(eos_pct)))+1e-6)) * (sqrt(abs(mono_pct)))) + (neut_pct)) * (log(abs(plt)+1))) + (rdw)) * (log(abs(wbc)+1))) * (sqrt(abs(mchc)))) + (rbc)) + (mcv),0.5009,0.0231,0.0095,1.0,0.0188,0.0457,0.0106,0.0095,0.0088,13
