formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((((((sqrt(abs(hgb))) * (sqrt(abs(eos_pct)))) / (abs((mono_pct**2))+1e-6)) * ((rbc**2))) * ((plt**2))) / (abs(mchc)+1e-6)) - (log(abs(baso_pct)+1)),0.017406735026545397,0.018295,0.008147,0.002327,0.034263,0.0135
((((((((((((rbc) - (sqrt(abs(mono_pct)))) * ((plt**2))) + (log(abs(rdw)+1))) + (wbc)) + (sqrt(abs(baso_pct)))) - (hgb)) + (log(abs(hct)+1))) + (log(abs(eos_pct)+1))) - (sqrt(abs(mcv)))) / (abs(mchc)+1e-6)) - ((mch**2))) / (abs(neut_pct)+1e-6),0.015145251177096669,0.018269,0.006318,0.005886,0.030651,
(((((((((log(abs(mono_pct)+1)) * (hct)) / (abs((baso_pct**2))+1e-6)) * (log(abs(mchc)+1))) + (sqrt(abs(hgb)))) + (log(abs(mcv)+1))) * (sqrt(abs(eos_pct)))) + (sqrt(abs(wbc)))) - (log(abs(rdw)+1))) / (abs(log(abs(neut_pct)+1))+1e-6),0.015283236188080154,0.018198,0.006721,0.005024,0.031371,
((((((sqrt(abs(plt))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * (mcv)) - (mchc)) - (sqrt(abs(hct)))) * (log(abs(eos_pct)+1))) * (rdw),0.015106957792727858,0.018191,0.009317,-7e-05,0.036452,
((((((((((((eos_pct) / (abs(log(abs(hct)+1))+1e-6)) / (abs(rdw)+1e-6)) - ((mcv**2))) + ((lym_pct**2))) / (abs((mono_pct**2))+1e-6)) + (sqrt(abs(baso_pct)))) + (log(abs(hgb)+1))) - (sqrt(abs(mchc)))) * (neut_pct)) / (abs(log(abs(rbc)+1))+1e-6)) - (sqrt(abs(wbc)))) - (log(abs(plt)+1)),0.01452290153275983,0.018109,0.007001,0.004386,0.031832,
((((((((((hct) * (plt)) / (abs(mono_pct)+1e-6)) * (log(abs(mcv)+1))) - ((hgb**2))) * ((mchc**2))) * (sqrt(abs(rdw)))) + ((lym_pct**2))) + (sqrt(abs(wbc)))) + (neut_pct)) * (log(abs(eos_pct)+1)),0.01706740032346233,0.017994,0.008273,0.001778,0.03421,
(((((sqrt(abs(mchc))) - (sqrt(abs(rbc)))) + (log(abs(lym_pct)+1))) + (log(abs(hgb)+1))) / (abs(log(abs(mono_pct)+1))+1e-6)) * (sqrt(abs(plt))),0.014922333624784246,0.017989,0.007558,0.003174,0.032803,
(((((((((((mchc) / (abs(log(abs(neut_pct)+1))+1e-6)) + ((eos_pct**2))) / (abs((rbc**2))+1e-6)) / (abs(wbc)+1e-6)) - (log(abs(baso_pct)+1))) - (sqrt(abs(rdw)))) - ((plt**2))) + (hgb)) / (abs(hct)+1e-6)) + (sqrt(abs(mcv)))) / (abs(mono_pct)+1e-6),0.014427608167096808,0.017854,0.00852,0.001156,0.034553,
((((((((((hct) / (abs((baso_pct**2))+1e-6)) / (abs(mcv)+1e-6)) + (rdw)) * (sqrt(abs(lym_pct)))) - ((mono_pct**2))) / (abs((mch**2))+1e-6)) * (eos_pct)) / (abs(log(abs(neut_pct)+1))+1e-6)) * (rbc)) * (log(abs(wbc)+1)),0.014998406940247778,0.017818,0.00478,0.00845,0.027186,
((((((((((((hct) / (abs((eos_pct**2))+1e-6)) * (sqrt(abs(lym_pct)))) - (sqrt(abs(rdw)))) / (abs((neut_pct**2))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6)) * (mchc)) / (abs(sqrt(abs(rbc)))+1e-6)) * (mono_pct)) * ((plt**2))) - (log(abs(hgb)+1))) / (abs(mch)+1e-6)) + ((mcv**2)),0.016040689998719777,0.017627,0.008395,0.001173,0.034081,
(((((((((((((log(abs(hgb)+1)) + (log(abs(rbc)+1))) / (abs(rdw)+1e-6)) * ((mcv**2))) / (abs((mono_pct**2))+1e-6)) + (wbc)) - (sqrt(abs(baso_pct)))) - (log(abs(hct)+1))) + (log(abs(mch)+1))) * (mchc)) * (plt)) * (log(abs(eos_pct)+1))) * (sqrt(abs(lym_pct)))) * ((neut_pct**2)),0.01508827025755598,0.01754,0.008295,0.001281,0.033799,
((((((neut_pct) - (rbc)) - (sqrt(abs(hct)))) - (log(abs(mcv)+1))) + (lym_pct)) * (sqrt(abs(rdw)))) * (log(abs(plt)+1)),0.015647479821132924,0.017494,0.004346,0.008976,0.026011,
