formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((((sqrt(abs(wbc))) + (log(abs(rdw)+1))) + (mcv)) - (hgb)) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (sqrt(abs(rbc)))) + ((baso_pct**2))) * ((mchc**2))) * (mch)) + (neut_pct)) - (eos_pct),0.5849,0.0245,0.014,0.5833,0.0273,0.0637,0.0131,0.0139,0.0124,11
(((((rdw) + (wbc)) + ((baso_pct**2))) / (abs(sqrt(abs(mch)))+1e-6)) - (neut_pct)) / (abs(sqrt(abs(mchc)))+1e-6),0.5208,0.024,0.0121,0.4643,0.0235,0.0546,0.0129,0.0107,0.0105,6
((((hgb) - (neut_pct)) + (mchc)) - (log(abs(rdw)+1))) + (sqrt(abs(mono_pct))),0.5222,0.0239,0.0117,0.4286,0.0228,0.0528,0.0136,0.0108,0.0105,5
((((((log(abs(wbc)+1)) - (log(abs(mono_pct)+1))) * (sqrt(abs(baso_pct)))) * ((lym_pct**2))) * ((rbc**2))) * (log(abs(neut_pct)+1))) * ((eos_pct**2)),0.5818,0.0209,0.0135,0.5119,0.0263,0.061,0.0174,0.0139,0.0113,7
((((((((((((sqrt(abs(plt))) - (log(abs(lym_pct)+1))) - ((mcv**2))) * (rbc)) / (abs(log(abs(eos_pct)+1))+1e-6)) * (sqrt(abs(rdw)))) - ((neut_pct**2))) / (abs((hct**2))+1e-6)) - ((mono_pct**2))) + (log(abs(wbc)+1))) - (sqrt(abs(hgb)))) / (abs(log(abs(mchc)+1))+1e-6)) / (abs(sqrt(abs(baso_pct)))+1e-6),0.5849,0.0198,0.0128,0.6071,0.0251,0.0591,0.0166,0.0147,0.0117,13
((((((((((((eos_pct) / (abs(log(abs(hct)+1))+1e-6)) / (abs(rdw)+1e-6)) - ((mcv**2))) + ((lym_pct**2))) / (abs((mono_pct**2))+1e-6)) + (sqrt(abs(baso_pct)))) + (log(abs(hgb)+1))) - (sqrt(abs(mchc)))) * (neut_pct)) / (abs(log(abs(rbc)+1))+1e-6)) - (sqrt(abs(wbc)))) - (log(abs(plt)+1)),0.5907,0.0188,0.0133,0.7143,0.0261,0.0619,0.0127,0.0135,0.013,13
((((((((((mcv**2)) - ((neut_pct**2))) + (wbc)) + ((mono_pct**2))) - (log(abs(mch)+1))) / (abs(sqrt(abs(rdw)))+1e-6)) + (eos_pct)) * (log(abs(plt)+1))) / (abs(sqrt(abs(baso_pct)))+1e-6)) * (log(abs(lym_pct)+1)),0.5741,0.0183,0.0126,0.5714,0.0247,0.0581,0.0155,0.0134,0.0118,10
((((((((((((sqrt(abs(wbc))) * (log(abs(hgb)+1))) / (abs(lym_pct)+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((mch**2))) + ((mchc**2))) - (log(abs(eos_pct)+1))) + ((baso_pct**2))) * (sqrt(abs(plt)))) / (abs((hct**2))+1e-6)) - (log(abs(mcv)+1))) * (log(abs(rbc)+1))) - ((neut_pct**2)),0.5242,0.0182,0.0127,0.4286,0.0246,0.0567,0.0124,0.0112,0.0101,13
(((((hgb**2)) / (abs(sqrt(abs(baso_pct)))+1e-6)) / (abs(neut_pct)+1e-6)) - ((mchc**2))) / (abs(log(abs(mch)+1))+1e-6),0.5676,0.0182,0.0135,0.5833,0.0264,0.0617,0.016,0.013,0.0111,5
(((log(abs(eos_pct)+1)) + (mchc)) + (log(abs(lym_pct)+1))) + (sqrt(abs(neut_pct))),0.5945,0.0181,0.0134,0.5833,0.0261,0.0612,0.0145,0.0157,0.0119,4
