K,Best_Formula,AUC_PR,AUC_ROC,N_Formulas_Tested,Baseline_AUC_PR,Delta_vs_Baseline
1,mono_pct,0.135,0.619,56,0.135,0.0
2,((mono_pct**2)) + (mcv),0.1492,0.6327,714,0.1501,-0.0009
3,((log(abs(mono_pct)+1)) * ((mcv**2))) + (log(abs(rdw)+1)),0.1452,0.6271,714,0.1543,-0.0091
4,((((mono_pct**2)) * ((mcv**2))) / (abs(eos_pct)+1e-6)) - (log(abs(rbc)+1)),0.1444,0.6153,714,0.1594,-0.015
5,((((sqrt(abs(rbc))) / (abs(rdw)+1e-6)) - (sqrt(abs(mono_pct)))) - (sqrt(abs(mcv)))) - (sqrt(abs(mch))),0.1473,0.6241,714,0.1567,-0.0094
6,(((((plt) + ((baso_pct**2))) + ((lym_pct**2))) / (abs((hgb**2))+1e-6)) * ((mono_pct**2))) / (abs(sqrt(abs(eos_pct)))+1e-6),0.1487,0.6312,714,0.1579,-0.0092
7,((((((sqrt(abs(neut_pct))) + (sqrt(abs(hct)))) + (log(abs(rbc)+1))) + (sqrt(abs(hgb)))) - (mono_pct)) / (abs(log(abs(mch)+1))+1e-6)) + (sqrt(abs(eos_pct))),0.1523,0.6404,714,0.1586,-0.0063
8,(((((((log(abs(neut_pct)+1)) * ((hgb**2))) + ((hct**2))) - (mch)) / (abs((mchc**2))+1e-6)) + (mono_pct)) + (mcv)) - (sqrt(abs(rdw))),0.1518,0.6193,714,0.159,-0.0072
9,((((((((log(abs(hgb)+1)) * ((rbc**2))) + (eos_pct)) - ((mono_pct**2))) * (mchc)) * (mcv)) / (abs((hct**2))+1e-6)) + (log(abs(wbc)+1))) + ((rdw**2)),0.1541,0.6527,714,0.159,-0.0049
10,(((((((((log(abs(neut_pct)+1)) * (log(abs(lym_pct)+1))) - (sqrt(abs(plt)))) + (sqrt(abs(mchc)))) / (abs(sqrt(abs(mch)))+1e-6)) + (sqrt(abs(rdw)))) - (sqrt(abs(rbc)))) * (sqrt(abs(hgb)))) - (mono_pct)) - (mcv),0.148,0.6165,714,0.1592,-0.0112
11,((((((((((log(abs(mono_pct)+1)) * ((mcv**2))) + (log(abs(baso_pct)+1))) + (neut_pct)) - (rbc)) + (lym_pct)) + (rdw)) - (mch)) - (sqrt(abs(wbc)))) - (hct)) + (eos_pct),0.1452,0.627,714,0.1594,-0.0142
12,((((((((((((mono_pct**2)) * ((hct**2))) / (abs(log(abs(rbc)+1))+1e-6)) + (plt)) / (abs(sqrt(abs(eos_pct)))+1e-6)) * (sqrt(abs(lym_pct)))) - (rdw)) + (log(abs(baso_pct)+1))) * (log(abs(mchc)+1))) * (log(abs(wbc)+1))) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs(log(abs(mcv)+1))+1e-6),0.1468,0.63,714,0.1594,-0.0126
13,((((((((((((log(abs(hct)+1)) + ((baso_pct**2))) / (abs(log(abs(mch)+1))+1e-6)) * (log(abs(wbc)+1))) * (sqrt(abs(mchc)))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(mcv)))) - (log(abs(plt)+1))) + ((mono_pct**2))) - (sqrt(abs(lym_pct)))) + (hgb)) / (abs(rdw)+1e-6),0.1504,0.6361,714,0.1597,-0.0093
14,(((((((((((((log(abs(wbc)+1)) + (neut_pct)) - (log(abs(mcv)+1))) * (log(abs(eos_pct)+1))) + (log(abs(lym_pct)+1))) - (hct)) * ((rdw**2))) * ((mchc**2))) + (log(abs(mch)+1))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((hgb**2))) + ((baso_pct**2))) - (sqrt(abs(plt))),0.157,0.6422,714,0.1599,-0.0029
