formula,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
((log(abs(rdw)+1)) - (log(abs(mcv)+1))) + (sqrt(abs(mchc))),0.16862629609510965,0.168886,0.001608,0.165734,0.172038,0.1735
((log(abs(rdw)+1)) / (abs(mch)+1e-6)) * ((mchc**2)),0.16720862012068224,0.167505,0.002455,0.162694,0.172316,
((((rdw) / (abs((mcv**2))+1e-6)) * ((mchc**2))) * (log(abs(hct)+1))) / (abs(sqrt(abs(rbc)))+1e-6),0.16535479915528803,0.165658,0.002251,0.161246,0.170071,
((((((((plt) / (abs(mch)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) - ((mchc**2))) * (rdw)) - (log(abs(hgb)+1))) + ((hct**2))) - ((wbc**2))) + ((mcv**2)),0.16501492784832292,0.165211,0.001713,0.161853,0.168569,
(((sqrt(abs(hgb))) / (abs(mch)+1e-6)) + (mchc)) * (log(abs(rdw)+1)),0.16400429190818386,0.164203,0.001784,0.160707,0.1677,
((mch) + (log(abs(hgb)+1))) / (abs((mchc**2))+1e-6),0.16318194928372962,0.16347,0.002918,0.15775,0.169189,
((sqrt(abs(rbc))) + (sqrt(abs(mcv)))) - (sqrt(abs(mchc))),0.16267932400857982,0.162979,0.003251,0.156608,0.169351,
(log(abs(rdw)+1)) + (sqrt(abs(mchc))),0.1627515335331644,0.162956,0.001793,0.159441,0.16647,
(((((((log(abs(mchc)+1)) * (log(abs(rbc)+1))) / (abs((hgb**2))+1e-6)) - (log(abs(plt)+1))) - ((mcv**2))) - ((rdw**2))) / (abs(mch)+1e-6)) * (log(abs(hct)+1)),0.16248508809862497,0.162763,0.002964,0.156955,0.168571,
(((log(abs(hct)+1)) * (mcv)) - (sqrt(abs(rbc)))) / (abs(mchc)+1e-6),0.16242909823944687,0.162707,0.002839,0.157143,0.168272,
(((((mcv) / (abs((hgb**2))+1e-6)) + (sqrt(abs(hct)))) * (log(abs(mch)+1))) / (abs(log(abs(rdw)+1))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6),0.16237040927507607,0.162688,0.002113,0.158547,0.166829,
(((((rbc) * (hgb)) - ((mcv**2))) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(rdw)))+1e-6)) + (sqrt(abs(hct))),0.1622112997967138,0.162506,0.002426,0.15775,0.167262,
((((((sqrt(abs(rbc))) / (abs(plt)+1e-6)) - (sqrt(abs(mchc)))) * ((hgb**2))) + (mch)) / (abs((hct**2))+1e-6)) * (rdw),0.16207542000169284,0.162305,0.001765,0.158845,0.165765,
(((((mchc**2)) - (sqrt(abs(plt)))) - (hgb)) + (rbc)) / (abs((mcv**2))+1e-6),0.1620074575036185,0.162278,0.002858,0.156676,0.167879,
((mch) * (rbc)) / (abs(hgb)+1e-6),0.16323364267015394,0.162255,0.002885,0.156599,0.16791,
((mchc**2)) * (rdw),0.1620654372340568,0.162254,0.001918,0.158494,0.166013,
(rdw) * ((mchc**2)),0.1620654372340568,0.162254,0.001918,0.158494,0.166013,
(mchc) * (sqrt(abs(rdw))),0.16206542068664304,0.162254,0.001918,0.158494,0.166013,
((((log(abs(rbc)+1)) - ((mcv**2))) - (sqrt(abs(wbc)))) - (hct)) / (abs(mch)+1e-6),0.16194202207893463,0.162216,0.002896,0.15654,0.167893,
(mch) / (abs((mchc**2))+1e-6),0.1619063182773727,0.162214,0.00283,0.156666,0.167762,
(((sqrt(abs(mch))) * (log(abs(rbc)+1))) + ((mcv**2))) / (abs((mchc**2))+1e-6),0.1618906502615477,0.162197,0.002851,0.156609,0.167785,
((((sqrt(abs(rdw))) / (abs((hgb**2))+1e-6)) - ((mchc**2))) - (sqrt(abs(rbc)))) / (abs(mch)+1e-6),0.1619168585869577,0.162193,0.002836,0.156633,0.167752,
((mcv) + (sqrt(abs(mchc)))) / (abs(sqrt(abs(mch)))+1e-6),0.16182770065071875,0.162131,0.002864,0.156519,0.167744,
(((mcv**2)) / (abs((mchc**2))+1e-6)) - (sqrt(abs(mch))),0.1618048261065132,0.16213,0.002689,0.15686,0.1674,
((mcv**2)) / (abs((mchc**2))+1e-6),0.1618202658958544,0.162126,0.002845,0.156551,0.167701,
(log(abs(mchc)+1)) - (log(abs(mcv)+1)),0.16173095930780032,0.162039,0.002849,0.156455,0.167623,
((sqrt(abs(mch))) / (abs((mcv**2))+1e-6)) * ((mchc**2)),0.16157371852556046,0.161885,0.002605,0.15678,0.16699,
(sqrt(abs(mch))) - (sqrt(abs(mcv))),0.16146506450313686,0.161778,0.002819,0.156252,0.167303,
((log(abs(rbc)+1)) * (mcv)) / (abs(log(abs(hgb)+1))+1e-6),0.16130143974721275,0.161591,0.003033,0.155646,0.167537,
((((((((sqrt(abs(rbc))) - ((hct**2))) / (abs(hgb)+1e-6)) - (rdw)) + (sqrt(abs(mcv)))) + (wbc)) / (abs((plt**2))+1e-6)) - (log(abs(mch)+1))) / (abs(sqrt(abs(mchc)))+1e-6),0.1612541820270961,0.161562,0.002744,0.156183,0.16694,
(((log(abs(hgb)+1)) - ((mchc**2))) - (mcv)) * (sqrt(abs(rdw))),0.16133309391170222,0.161527,0.001766,0.158065,0.164989,
(((((mcv**2)) / (abs(log(abs(mch)+1))+1e-6)) / (abs(sqrt(abs(rdw)))+1e-6)) * (log(abs(hgb)+1))) / (abs(mchc)+1e-6),0.16123168124810533,0.161509,0.002597,0.156418,0.166599,
