Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"div(neg(add(hgb, plt)), mul(sub(rbc, mcv), neg(mcv)))",0.0218,True,False
1,"log(div(sub(add(add(hct, -0.942), sub(0.217, mchc)), neg(add(mchc, mcv))), add(sqrt(add(plt, mchc)), sub(sqrt(plt), sqrt(hct)))))",0.0228,True,True
4,"div(sub(add(sub(mul(rdw, wbc), sub(plt, mcv)), add(sub(mcv, rdw), div(wbc, hct))), neg(neg(plt))), mul(mul(neg(plt), sqrt(-0.248)), neg(mcv)))",0.0232,True,True
5,"neg(div(add(log(sub(plt, hgb)), add(add(sub(sub(sqrt(plt), log(hct)), log(neg(rdw))), mul(add(sub(mchc, wbc), sqrt(mch)), mul(sqrt(sqrt(-0.248)), sqrt(-0.248)))), neg(sqrt(add(mul(0.118, hct), neg(rbc)))))), sub(sqrt(mcv), log(mchc))))",0.0237,True,True
10,"neg(div(add(log(sub(plt, hgb)), add(add(sub(sub(sqrt(plt), log(hct)), log(neg(rdw))), mul(add(sub(mchc, wbc), sqrt(mch)), mul(sqrt(sqrt(-0.248)), sqrt(-0.248)))), neg(sqrt(add(mul(0.118, hct), neg(rbc)))))), sub(sqrt(mcv), log(mchc))))",0.0237,False,True
13,"div(sub(add(sub(add(sub(mchc, wbc), log(mchc)), mul(add(rdw, sqrt(-0.248)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(-0.248))), div(hct, plt)), mul(sub(rbc, mcv), neg(mcv)))",0.0241,True,True
15,"div(sub(add(sub(mul(rdw, rdw), mul(add(rdw, log(mchc)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(add(sub(mchc, wbc), log(mchc)), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(-0.248))), div(hct, plt)), mul(sub(rbc, mcv), neg(mcv)))",0.0246,True,True
16,"div(sub(add(sub(sub(rbc, mcv), mul(add(rdw, log(mchc)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(add(sub(mchc, wbc), log(mchc)), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(plt))), div(hct, plt)), mul(sub(neg(mcv), mcv), neg(mcv)))",0.0248,True,True
20,"div(sub(add(sub(sub(rbc, mcv), mul(add(rdw, log(mchc)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(add(sub(mchc, wbc), log(mchc)), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(plt))), div(hct, plt)), mul(sub(neg(mcv), mcv), neg(mcv)))",0.0248,False,True
22,"div(div(sub(add(sub(add(sub(mchc, wbc), mul(neg(mcv), neg(mcv))), mul(add(rdw, sqrt(-0.248)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(neg(plt)))), div(hct, -0.248)), mul(mul(rdw, rdw), neg(mcv))), mul(neg(mcv), neg(mcv)))",0.0256,True,True
25,"div(div(sub(add(sub(add(sub(mchc, wbc), mul(neg(mcv), neg(mcv))), mul(add(rdw, sqrt(-0.248)), mul(div(hct, -0.248), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), mul(rdw, wbc))), div(hct, -0.248)), mul(mul(rdw, rdw), neg(mcv))), mul(neg(mcv), neg(mcv)))",0.0257,True,True
26,"div(div(sub(add(sub(add(neg(plt), mul(neg(mcv), neg(mcv))), mul(add(rdw, sqrt(-0.248)), mul(neg(plt), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(-0.248))), div(hct, -0.248)), sub(add(sub(mchc, wbc), mul(neg(mcv), neg(mcv))), mul(add(rdw, sqrt(-0.248)), mul(neg(plt), sqrt(-0.248))))), mul(neg(0.916), neg(mcv)))",0.026,True,True
27,"div(div(sub(add(sub(add(add(sub(wbc, -0.700), log(plt)), mul(neg(mcv), neg(mcv))), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(neg(plt)))), div(hct, -0.248)), mul(mul(rdw, rdw), neg(mcv))), mul(mul(div(hct, -0.248), neg(mcv)), neg(mcv)))",0.0287,True,True
30,"div(div(sub(add(sub(add(add(sub(wbc, -0.700), log(plt)), mul(neg(mcv), neg(mcv))), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), sqrt(neg(plt)))), div(hct, -0.248)), mul(mul(rdw, rdw), neg(mcv))), mul(mul(div(hct, -0.248), neg(mcv)), neg(mcv)))",0.0287,False,True
33,"div(div(sub(add(sub(add(add(sub(wbc, -0.700), log(plt)), mul(neg(mcv), neg(mcv))), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(rdw, rdw), neg(mcv))), mul(mul(neg(hct), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), neg(mch)))",0.0289,True,True
35,"div(div(sub(add(sub(add(add(sub(wbc, -0.700), log(plt)), mul(neg(mcv), neg(mcv))), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(rdw, rdw), mul(neg(mcv), mul(log(mchc), sqrt(-0.248))))), mul(mul(neg(hct), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), neg(mch)))",0.0293,True,True
39,"div(div(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), log(mchc)), add(mul(add(sub(mchc, wbc), log(mchc)), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), mul(mul(mul(rdw, rdw), rdw), neg(mch))), mul(mul(neg(mcv), mul(neg(mcv), mul(sub(rbc, -0.700), sqrt(-0.248)))), neg(mch)))",0.0304,True,True
40,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), mul(rdw, rdw)), mul(neg(mcv), neg(mcv))), mul(neg(mcv), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), neg(mcv))), mul(mul(neg(mcv), mul(neg(mcv), mul(mul(log(mchc), sqrt(sub(rbc, -0.700))), sqrt(hgb)))), neg(mch)))",0.0305,True,True
43,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), mul(log(mchc), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb))))), mul(mul(neg(mchc), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb)))), neg(mch)))",0.0307,True,True
45,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), mul(log(mchc), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb))))), mul(mul(neg(mchc), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb)))), neg(mch)))",0.0307,False,True
50,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), mul(log(mchc), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb))))), mul(mul(neg(mchc), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb)))), neg(mch)))",0.0307,False,True
55,"div(div(sub(add(sub(add(add(sub(rbc, -0.700), neg(mcv)), mul(neg(mcv), neg(mcv))), mul(log(mchc), mul(log(mchc), sqrt(-0.248)))), add(mul(add(sub(mchc, wbc), mul(log(mchc), sqrt(-0.248))), sub(sub(neg(plt), wbc), mch)), mul(rdw, rdw))), div(hct, -0.248)), mul(mul(mul(rdw, rdw), rdw), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb))))), mul(mul(neg(mchc), mul(neg(mcv), mul(mul(log(mchc), sqrt(-0.248)), sqrt(hgb)))), neg(mch)))",0.0307,False,True
