Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used
2026-06-07 02:36:34,crhn,,small,"neg(mul(sqrt(add(plt, neg(mcv))), mul(sqrt(add(plt, plt)), sub(mul(sqrt(mcv), div(mcv, mchc)), add(rbc, mchc)))))",0.0353,0.6146,4,0.0153,0.02,5,10,True,0.020064,0.005201,0.00987,0.030258,False,,none,0
2026-06-07 02:36:34,crhn,,medium,"sub(add(mul(sub(neg(mul(wbc, mchc)), div(add(rbc, plt), neg(0.519))), neg(mul(sub(0.519, add(rbc, mchc)), mul(sub(0.519, add(rbc, mchc)), sub(mul(rbc, plt), add(neg(mul(sub(0.519, add(rbc, mchc)), sub(mul(rbc, plt), add(rbc, plt)))), plt)))))), log(sub(plt, sqrt(hct)))), sqrt(log(log(add(sqrt(eos_pct), log(log(hgb)))))))",0.0191,0.5896,7,0.0176,0.0015,0,10,True,0.018262,0.004338,0.009759,0.026766,False,,none,0
2026-06-07 02:36:34,crhn,,large,"neg(add(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), div(mcv, sqrt(mul(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), sqrt(log(neg(add(mul(add(mul(mul(sqrt(mcv), log(mul(log(add(div(mul(mchc, plt), neg(neut_pct)), neg(mul(wbc, mcv)))), div(mcv, sqrt(mul(mchc, plt)))))), div(mcv, sqrt(mul(mchc, plt)))), log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(add(plt, neg(neg(mul(wbc, mcv)))))))))), div(mcv, sqrt(mul(mchc, plt)))), log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(add(plt, neg(mul(wbc, mcv))))))))))))), plt)))), log(add(plt, neg(mul(add(plt, add(log(mul(add(mul(log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(sqrt(mul(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), sqrt(log(log(mul(wbc, mcv))))), plt))))))), sqrt(log(wbc))), log(add(plt, mul(wbc, mcv)))), div(mcv, sqrt(mul(mchc, plt))))), neg(mul(wbc, mcv)))), log(add(plt, neg(mul(wbc, mcv))))))))))",0.0343,0.6273,5,0.0173,0.017,3,23,True,0.031954,0.01454,0.003457,0.060452,True,0.0133,none,0
2026-06-08 00:12:57,crhn,,small,"mul(mcv, mul(sqrt(mcv), mul(sqrt(mcv), mul(sqrt(mcv), mul(mul(sqrt(mcv), mul(sqrt(mcv), mul(sqrt(mcv), mul(sqrt(mcv), div(rdw, plt))))), div(rdw, plt))))))",0.0193,0.5854,3,0.0145,0.0048,3,8,True,0.022537,0.008983,0.00493,0.040144,False,,gemini_25_pro.csv,30
2026-06-08 00:12:57,crhn,,medium,"neg(mul(add(mcv, add(mcv, plt)), mul(mul(mcv, div(rdw, plt)), mul(mcv, mul(sqrt(add(lym_pct, plt)), mul(mul(mcv, div(rdw, plt)), sqrt(log(log(hgb)))))))))",0.0203,0.5895,5,0.0173,0.003,1,11,True,0.025127,0.005859,0.013644,0.03661,False,,gemini_25_pro.csv,90
2026-06-08 00:12:57,crhn,,large,"mul(mul(rdw, mcv), neg(sqrt(div(div(add(wbc, mch), add(plt, hgb)), add(neut_pct, mul(div(sub(plt, mul(div(sub(plt, div(add(sqrt(div(add(neut_pct, mul(div(sub(plt, hgb), add(eos_pct, plt)), neg(mchc))), sqrt(div(wbc, mul(rdw, div(add(neut_pct, mul(div(sub(plt, hgb), add(eos_pct, plt)), neg(mchc))), sqrt(div(wbc, mul(rdw, mcv))))))))), mch), sqrt(div(mul(div(div(sub(sub(plt, div(add(neut_pct, mul(div(sub(plt, hgb), plt), neg(mchc))), sqrt(div(wbc, mul(rdw, mcv))))), mcv), mul(rdw, mcv)), mul(rdw, mcv)), neg(mchc)), mul(rdw, mcv))))), plt), neg(mchc))), mul(rdw, mcv)), mul(div(sub(plt, hgb), mul(rdw, mcv)), neg(mchc))))))))",0.0287,0.5646,9,0.0193,0.0094,9,29,True,0.038246,0.015354,0.008153,0.06834,True,0.0148,gemini_25_pro.csv,150
2026-06-08 00:27:18,crhn,,small,"mul(sqrt(add(sub(rdw, add(rbc, mchc)), mchc)), neg(mul(sqrt(mul(rbc, plt)), sub(rdw, add(sqrt(sub(rdw, add(sqrt(rbc), mchc))), mchc)))))",0.0354,0.6162,4,0.0153,0.0201,15,19,True,0.01768,0.004352,0.00915,0.02621,False,,gpt4o_deep_research.csv,30
2026-06-08 00:27:18,crhn,,medium,"mul(sqrt(log(log(log(hgb)))), mul(sqrt(log(log(log(hgb)))), mul(sqrt(log(log(log(log(log(hgb)))))), sub(mul(rbc, plt), mul(wbc, mcv)))))",0.0191,0.5896,5,0.0173,0.0018,0,10,True,0.024844,0.010723,0.003827,0.045861,False,,gpt4o_deep_research.csv,90
2026-06-08 00:27:18,crhn,,large,"sub(add(div(mcv, div(plt, rdw)), log(add(div(rdw, sqrt(sqrt(div(div(plt, rdw), div(plt, add(div(rdw, sqrt(div(mcv, div(plt, div(plt, rdw))))), div(add(div(rdw, sqrt(div(mcv, rdw))), div(plt, rdw)), rdw))))))), div(plt, rdw)))), log(div(mcv, div(plt, rdw))))",0.0246,0.604,3,0.0145,0.0101,2,22,True,0.029467,0.008495,0.012818,0.046117,True,0.0144,gpt4o_deep_research.csv,150
2026-06-08 00:41:30,crhn,,small,"mul(div(sub(plt, mcv), add(add(add(add(add(add(add(add(plt, add(rbc, mchc)), wbc), wbc), wbc), wbc), wbc), wbc), wbc)), add(rbc, mchc))",0.0336,0.5906,5,0.0173,0.0163,6,11,True,0.020037,0.007173,0.005978,0.034096,False,,scispace_agent.csv,30
2026-06-08 00:41:30,crhn,,medium,"div(div(mul(sub(neg(mul(wbc, mchc)), div(add(rbc, plt), neg(0.519))), neg(div(sqrt(neg(mul(mul(div(sqrt(mul(sqrt(neg(mul(sqrt(neg(mul(div(sqrt(neg(mchc)), mcv), neg(mchc)))), neg(mchc)))), neg(mchc))), mcv), neg(mchc)), neg(mchc)))), mcv))), mcv), mcv)",0.0235,0.6063,5,0.0173,0.0062,2,12,True,0.025448,0.009743,0.006351,0.044545,False,,scispace_agent.csv,90
2026-06-08 00:41:30,crhn,,large,"div(div(div(mul(sub(log(neg(rdw)), div(add(sub(neg(mul(wbc, mchc)), div(add(div(plt, log(neg(rdw))), plt), neg(0.519))), plt), neg(0.519))), log(div(mul(div(plt, mcv), log(neg(rdw))), mcv))), mcv), mcv), mcv)",0.0248,0.614,5,0.0173,0.0075,3,23,True,0.030578,0.01028,0.010429,0.050726,True,0.0121,scispace_agent.csv,150
