Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-07 02:36:34,crhn,,small,"neg(mul(sqrt(add(plt, neg(mcv))), mul(sqrt(add(plt, plt)), sub(mul(sqrt(mcv), div(mcv, mchc)), add(rbc, mchc)))))",0.0353,0.6146,4,0.0153,0.02,5,10,True,0.020064,0.005201,0.00987,0.030258,False,,none,0,0.0353,0.6146,,,,
2026-06-07 02:36:34,crhn,,medium,"sub(add(mul(sub(neg(mul(wbc, mchc)), div(add(rbc, plt), neg(0.519))), neg(mul(sub(0.519, add(rbc, mchc)), mul(sub(0.519, add(rbc, mchc)), sub(mul(rbc, plt), add(neg(mul(sub(0.519, add(rbc, mchc)), sub(mul(rbc, plt), add(rbc, plt)))), plt)))))), log(sub(plt, sqrt(hct)))), sqrt(log(log(add(sqrt(eos_pct), log(log(hgb)))))))",0.0191,0.5896,7,0.0176,0.0015,0,10,True,0.018262,0.004338,0.009759,0.026766,False,,none,0,0.0191,0.5896,,,,
2026-06-07 02:36:34,crhn,,large,"neg(add(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), div(mcv, sqrt(mul(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), sqrt(log(neg(add(mul(add(mul(mul(sqrt(mcv), log(mul(log(add(div(mul(mchc, plt), neg(neut_pct)), neg(mul(wbc, mcv)))), div(mcv, sqrt(mul(mchc, plt)))))), div(mcv, sqrt(mul(mchc, plt)))), log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(add(plt, neg(neg(mul(wbc, mcv)))))))))), div(mcv, sqrt(mul(mchc, plt)))), log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(add(plt, neg(mul(wbc, mcv))))))))))))), plt)))), log(add(plt, neg(mul(add(plt, add(log(mul(add(mul(log(add(plt, neg(mul(add(plt, neg(mul(wbc, mcv))), log(sqrt(mul(mul(mul(sqrt(mcv), div(mcv, sqrt(mul(mchc, plt)))), sqrt(log(log(mul(wbc, mcv))))), plt))))))), sqrt(log(wbc))), log(add(plt, mul(wbc, mcv)))), div(mcv, sqrt(mul(mchc, plt))))), neg(mul(wbc, mcv)))), log(add(plt, neg(mul(wbc, mcv))))))))))",0.0343,0.6273,5,0.0173,0.017,3,23,True,0.031954,0.01454,0.003457,0.060452,True,0.0133,none,0,0.0132,0.5836,0.0089,0.0226,0.5021,0.6571
2026-06-21 11:23:01,crhn,seed3,small,"mul(sqrt(mcv), mul(mul(sqrt(mcv), div(-0.869, sqrt(plt))), sqrt(mul(sqrt(mcv), div(-0.869, sqrt(plt))))))",0.0162,0.634,2,0.0147,0.0015,4,9,False,0.020227,0.00937,0.001862,0.038593,False,,none,0,0.0162,0.634,,,,
2026-06-21 11:23:01,crhn,seed3,medium,"add(mul(neg(mchc), neg(mul(sqrt(mul(sub(plt, hgb), neg(mchc))), neg(mchc)))), neg(mul(plt, neg(mchc))))",0.0174,0.6534,3,0.0154,0.002,4,14,False,0.02036,0.009398,0.001941,0.038779,False,,none,0,0.0174,0.6534,,,,
2026-06-21 11:23:01,crhn,seed3,large,"mul(log(log(plt)), sqrt(mchc))",0.0181,0.676,2,0.0147,0.0034,4,24,False,0.020445,0.009475,0.001875,0.039015,True,0.0173,none,0,0.0362,0.617,0.0115,0.0852,0.5406,0.6915
2026-06-21 11:25:36,crhn,seed2,small,"mul(mcv, mul(mcv, div(-0.869, sqrt(plt))))",0.0187,0.6735,2,0.0127,0.006,6,11,True,0.020059,0.011316,-0.00212,0.042239,False,,none,0,0.0187,0.6735,,,,
2026-06-21 11:25:36,crhn,seed2,medium,"add(add(mul(neg(mchc), sqrt(neg(mul(plt, neg(mchc))))), add(neut_pct, plt)), add(add(neut_pct, plt), sqrt(neg(mul(sub(plt, neg(mchc)), neg(mchc))))))",0.0172,0.659,3,0.0155,0.0017,0,10,False,0.026924,0.016503,-0.005422,0.059269,True,0.0161,none,0,0.038,0.6142,0.0117,0.0877,0.5393,0.6854
2026-06-21 11:25:36,crhn,seed2,large,"div(mcv, mul(neg(mchc), mul(log(div(mcv, mul(mchc, plt))), log(mul(mcv, plt)))))",0.023,0.6966,3,0.0155,0.0075,9,29,True,0.019947,0.008988,0.002329,0.037564,False,,none,0,0.023,0.6966,,,,
2026-06-21 11:28:12,crhn,seed4,small,"mul(mcv, mul(sqrt(mcv), div(-0.869, sqrt(plt))))",0.0158,0.6043,2,0.0171,-0.0013,7,12,False,0.01921,0.005637,0.008162,0.030259,False,,none,0,0.0158,0.6043,,,,
2026-06-21 11:28:12,crhn,seed4,medium,"mul(sub(sub(sqrt(mul(add(add(plt, mchc), mchc), neg(mchc))), mono_pct), mono_pct), mchc)",0.0188,0.6344,3,0.0162,0.0026,5,15,True,0.018547,0.005529,0.00771,0.029383,False,,none,0,0.0188,0.6344,,,,
2026-06-21 11:28:12,crhn,seed4,large,"mul(sqrt(mul(mchc, add(mchc, plt))), mchc)",0.02,0.6373,2,0.0171,0.0029,2,22,True,0.020584,0.009445,0.002072,0.039097,True,0.017,none,0,0.0333,0.6116,0.0106,0.0841,0.5344,0.6843
