K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,log(sqrt(plt)),0.0136,0.6484,0.0136,0.0
2,"div(log(div(plt, mcv)), mcv)",0.0181,0.6698,0.0127,0.0054
3,"div(add(mul(neg(mchc), sqrt(neg(mul(sub(plt, -0.612), div(add(mul(neg(mchc), sqrt(sqrt(neg(mul(sub(plt, -0.612), neg(mchc)))))), neg(mchc)), mcv))))), sub(plt, -0.612)), mcv)",0.0227,0.6958,0.0155,0.0072
4,"div(add(mul(neg(mchc), sqrt(neg(mul(sub(plt, wbc), div(add(mul(sqrt(sqrt(neg(mul(sub(plt, wbc), sqrt(sqrt(mul(sub(sub(plt, wbc), wbc), neg(mchc)))))))), sqrt(sqrt(neg(mul(sub(plt, wbc), neg(mchc)))))), neg(mchc)), mcv))))), add(wbc, plt)), mcv)",0.0258,0.7036,0.0173,0.0085
5,"div(add(mul(neg(mchc), sqrt(mul(sub(plt, lym_pct), div(add(sqrt(neg(mul(sub(sub(plt, mchc), wbc), neg(mchc)))), neg(mchc)), mcv)))), add(wbc, plt)), mcv)",0.0249,0.696,0.02,0.0049
6,"div(add(mul(neg(mchc), sqrt(neg(mul(sub(plt, -0.612), div(add(mul(neg(mchc), sqrt(sqrt(neg(mul(sub(plt, -0.612), neg(mchc)))))), div(log(mchc), add(neut_pct, mono_pct))), mcv))))), add(wbc, plt)), mcv)",0.0232,0.6988,0.0175,0.0057
7,"div(sqrt(mul(mul(hct, neut_pct), mul(mch, neut_pct))), add(div(sub(-0.674, neut_pct), sub(rbc, -0.269)), sub(sqrt(eos_pct), div(mono_pct, rdw))))",0.0099,0.5904,0.0191,-0.0092
8,"sub(add(mul(sub(neg(mul(wbc, mchc)), div(add(rbc, plt), neg(0.519))), sqrt(log(log(hgb)))), log(add(div(neg(eos_pct), neg(neut_pct)), neg(mul(wbc, mcv))))), sqrt(log(log(add(sqrt(eos_pct), div(mcv, mchc))))))",0.0159,0.6855,0.0186,-0.0027
10,"log(sub(mul(sub(add(log(hct), mul(plt, lym_pct)), neg(mul(mchc, rdw))), neg(log(neg(neut_pct)))), add(add(sub(sub(mch, eos_pct), sub(rbc, rdw)), div(mul(wbc, mchc), log(-0.086))), log(log(neg(mchc))))))",0.0102,0.6257,0.0192,-0.009
11,"log(add(mul(sub(mul(add(plt, baso_pct), neg(mchc)), neg(neg(mcv))), div(mul(add(hgb, mono_pct), log(hgb)), div(add(rbc, hct), log(wbc)))), add(mul(add(sub(wbc, hgb), div(hct, hgb)), log(sqrt(lym_pct))), mul(sub(mul(hct, eos_pct), mul(mchc, rbc)), sqrt(add(plt, wbc))))))",0.01,0.5774,0.0193,-0.0093
