K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,sqrt(mono_pct),0.0057,0.6513,0.0043,0.0014
2,"log(add(neg(mono_pct), add(0.930, rdw)))",0.0065,0.6441,0.0046,0.0019
3,"mul(mul(wbc, sqrt(mcv)), sqrt(mono_pct))",0.0083,0.6429,0.0059,0.0024
4,"div(mul(plt, div(plt, mul(mono_pct, hgb))), log(hct))",0.0055,0.5528,0.0058,-0.0003
5,"sqrt(sub(sqrt(sqrt(sub(mcv, 0.726))), mul(log(neg(wbc)), sub(div(neut_pct, hct), sqrt(add(mul(mono_pct, mcv), mono_pct))))))",0.0083,0.6832,0.023,-0.0147
6,"sqrt(sub(sqrt(sqrt(sub(lym_pct, baso_pct))), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct)))))",0.0077,0.6073,0.023,-0.0153
7,"add(add(mul(add(add(sqrt(hgb), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(mono_pct)))), log(div(lym_pct, wbc))), mul(log(log(div(mul(mono_pct, hgb), sqrt(lym_pct)))), sub(add(sub(mcv, hgb), mul(neut_pct, mchc)), log(log(div(lym_pct, wbc))))))",0.0077,0.5632,0.0177,-0.01
8,"neg(add(wbc, mul(neg(div(neg(plt), log(wbc))), mul(neg(sub(rdw, baso_pct)), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))))))",0.0104,0.6085,0.0132,-0.0028
9,"add(add(mul(neut_pct, add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(mono_pct)))), mul(0.347, log(div(div(mchc, plt), add(neut_pct, mcv))))), mul(log(log(div(mul(mono_pct, hgb), sqrt(lym_pct)))), sub(sqrt(sub(log(mcv), neg(hct))), log(log(div(lym_pct, wbc))))))",0.008,0.5681,0.0095,-0.0015
10,"neg(add(wbc, mul(neg(div(neg(plt), log(wbc))), mul(neg(sub(rdw, baso_pct)), div(neg(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), mul(neg(sub(rdw, baso_pct)), div(neg(mcv), mul(log(neg(wbc)), sub(log(div(div(mchc, plt), add(neut_pct, mcv))), add(eos_pct, hct)))))))), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))))))",0.0112,0.5631,0.0094,0.0018
11,"neg(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), mul(mul(add(wbc, add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(mono_pct)))), div(neg(mcv), mul(log(neg(wbc)), sub(add(div(baso_pct, hgb), log(-0.011)), add(eos_pct, hct))))))))",0.0086,0.5006,0.0096,-0.001
12,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(hgb), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(neg(mcv), mul(log(neg(wbc)), sub(log(mcv), add(eos_pct, hct)))))))), sub(neg(mch), add(div(baso_pct, hgb), log(-0.011)))), add(hgb, neut_pct)), mul(sub(mono_pct, mch), neg(neg(mcv)))))), neg(neg(mono_pct)))))",0.0123,0.5364,0.0102,0.0021
13,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(mul(log(neg(wbc)), sqrt(sub(sqrt(sub(0.604, mono_pct)), mul(log(neg(wbc)), sub(sqrt(hgb), add(eos_pct, hct)))))), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(log(-0.011)), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(div(lym_pct, wbc), mul(log(add(wbc, mul(neut_pct, mchc))), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(sub(log(mchc), div(lym_pct, wbc)), log(mchc))), mul(sub(mono_pct, mch), neg(mch))))), neg(neg(mono_pct)))))",0.0136,0.5156,0.0097,0.0039
14,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(hgb), rbc), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(neg(mcv), mul(log(neg(wbc)), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(hgb, neut_pct)), mul(sub(mono_pct, mch), neg(neg(mcv)))))), neg(neg(mono_pct)))))",0.0123,0.5369,0.0099,0.0024
