Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"mul(mul(wbc, sqrt(mcv)), sqrt(mono_pct))",0.0083,True,False
3,"neg(add(wbc, mul(neg(div(neg(plt), log(wbc))), mul(neg(sub(rdw, baso_pct)), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))))))",0.0104,True,False
4,"neg(add(wbc, mul(neg(div(neg(plt), log(wbc))), mul(neg(sub(rdw, baso_pct)), div(neg(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), mul(neg(sub(rdw, baso_pct)), div(neg(mcv), mul(log(neg(wbc)), sub(log(div(div(mchc, plt), add(neut_pct, mcv))), add(eos_pct, hct)))))))), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))))))",0.0112,True,True
5,"neg(add(wbc, mul(neg(div(neg(plt), log(wbc))), mul(neg(sub(rdw, baso_pct)), div(neg(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), mul(neg(sub(rdw, baso_pct)), div(neg(mcv), mul(log(neg(wbc)), sub(log(div(div(mchc, plt), add(neut_pct, mcv))), add(eos_pct, hct)))))))), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))))))",0.0112,False,True
8,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(hgb), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(neg(mcv), mul(log(neg(wbc)), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(hgb, neut_pct)), mul(sub(mono_pct, mch), neg(mch))))), neg(neg(mono_pct)))))",0.0119,True,True
9,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(hgb), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(neg(mcv), mul(log(neg(wbc)), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(hgb, neut_pct)), mul(sub(mono_pct, mch), neg(neg(mcv)))))), neg(neg(mono_pct)))))",0.0123,True,True
10,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(hgb), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(neg(mcv), mul(log(neg(wbc)), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(hgb, neut_pct)), mul(sub(mono_pct, mch), neg(neg(mcv)))))), neg(neg(mono_pct)))))",0.0123,False,True
13,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(mul(log(neg(wbc)), sqrt(sub(sqrt(sub(0.604, mono_pct)), mul(log(neg(wbc)), sub(sqrt(hgb), add(eos_pct, hct)))))), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(log(-0.011)), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(div(lym_pct, wbc), mul(log(add(wbc, mul(neut_pct, mchc))), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(sub(log(mchc), div(lym_pct, wbc)), log(mchc))), mul(sub(mono_pct, mch), neg(mch))))), neg(neg(mono_pct)))))",0.0136,True,True
15,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(mul(log(neg(wbc)), sqrt(sub(sqrt(sub(0.604, mono_pct)), mul(log(neg(wbc)), sub(sqrt(hgb), add(eos_pct, hct)))))), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(log(-0.011)), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(div(lym_pct, wbc), mul(log(add(wbc, mul(neut_pct, mchc))), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(sub(log(mchc), div(lym_pct, wbc)), log(mchc))), mul(sub(mono_pct, mch), neg(mch))))), neg(neg(mono_pct)))))",0.0136,False,True
20,"mul(mul(neg(sqrt(neg(sub(lym_pct, baso_pct)))), sub(lym_pct, baso_pct)), mul(mul(mul(neut_pct, mchc), div(neg(mcv), mul(mul(log(neg(wbc)), sqrt(sub(sqrt(sub(0.604, mono_pct)), mul(log(neg(wbc)), sub(sqrt(hgb), add(eos_pct, hct)))))), sub(div(neut_pct, hct), add(eos_pct, hct))))), add(add(wbc, mul(neg(div(neg(plt), sub(hgb, eos_pct))), sub(sub(add(mul(add(add(sqrt(log(-0.011)), log(wbc)), add(sub(mcv, hgb), mul(neut_pct, mchc))), add(sub(log(mchc), div(lym_pct, wbc)), sqrt(neg(div(div(lym_pct, wbc), mul(log(add(wbc, mul(neut_pct, mchc))), sub(log(mcv), add(eos_pct, hct)))))))), sub(sqrt(mul(rdw, hgb)), add(div(baso_pct, hgb), log(-0.011)))), add(sub(log(mchc), div(lym_pct, wbc)), log(mchc))), mul(sub(mono_pct, mch), neg(mch))))), neg(neg(mono_pct)))))",0.0136,False,True
