Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-07 02:40:21,lup,,small,"mul(log(add(lym_pct, -0.247)), mul(mul(plt, div(neg(div(plt, mul(mono_pct, hgb))), hgb)), div(mul(plt, div(plt, add(hct, hct))), mul(mono_pct, hgb))))",0.0143,0.5622,5,0.023,-0.0087,0,5,True,0.017144,0.020478,-0.022993,0.05728,False,,none,0,0.0143,0.5622,,,,
2026-06-07 02:40:21,lup,,medium,"add(add(add(mul(neg(mchc), sub(hgb, mchc)), add(mul(neg(mchc), mul(mono_pct, baso_pct)), add(add(mul(neg(mchc), sub(hgb, mchc)), add(add(neut_pct, plt), neg(div(neg(plt), sub(hgb, eos_pct))))), neg(div(eos_pct, neg(plt)))))), neg(div(eos_pct, sub(hgb, eos_pct)))), add(add(neut_pct, plt), add(mul(-0.993, div(neg(plt), sub(hgb, eos_pct))), add(div(plt, baso_pct), neg(div(neg(plt), sub(hgb, eos_pct)))))))",0.0084,0.5717,7,0.0177,-0.0093,0,10,False,0.022901,0.018984,-0.014308,0.06011,True,0.0041,none,0,0.0062,0.5982,0.0035,0.0126,0.4898,0.7064
2026-06-07 02:40:21,lup,,large,"mul(neg(div(neg(plt), sub(hgb, eos_pct))), mul(mul(neut_pct, add(sub(sub(hgb, eos_pct), div(lym_pct, wbc)), sqrt(mchc))), div(neg(mcv), mul(log(wbc), sqrt(sub(sqrt(sub(0.604, mono_pct)), mul(log(neg(wbc)), sub(wbc, add(eos_pct, hct)))))))))",0.0136,0.5156,10,0.0094,0.0042,13,33,True,0.0137,0.018652,-0.022857,0.050257,False,,none,0,0.0136,0.5156,,,,
2026-06-21 11:28:43,lup,seed2,small,"sub(sub(log(mul(plt, div(plt, mul(mono_pct, hgb)))), div(sub(hgb, mchc), sqrt(mono_pct))), sqrt(div(div(mul(plt, div(plt, mul(mono_pct, hgb))), mul(mono_pct, hgb)), sqrt(mchc))))",0.028,0.6291,4,0.003,0.025,0,5,True,0.010649,0.008499,-0.006008,0.027306,False,,none,0,0.028,0.6291,,,,
2026-06-21 11:28:43,lup,seed2,medium,"mul(div(log(log(sqrt(baso_pct))), sub(add(mono_pct, mcv), neg(sub(sub(sub(sqrt(hct), sub(eos_pct, wbc)), neg(mul(0.880, wbc))), add(div(sub(lym_pct, lym_pct), neg(mchc)), log(mul(hct, rdw))))))), mul(mul(div(log(log(div(div(log(log(sqrt(baso_pct))), sub(mul(log(0.175), add(mono_pct, mcv)), neg(log(mcv)))), sub(log(eos_pct), neg(log(mcv)))))), sub(log(eos_pct), neg(log(mcv)))), log(sub(sub(sqrt(div(-0.364, mch)), div(neut_pct, wbc)), sqrt(sqrt(neg(mono_pct)))))), log(sub(sub(log(eos_pct), div(neut_pct, wbc)), sqrt(div(-0.364, mch))))))",0.0149,0.7012,11,0.0036,0.0113,2,12,True,0.008717,0.009471,-0.009846,0.027281,False,,none,0,0.0149,0.7012,,,,
2026-06-21 11:28:43,lup,seed2,large,"mul(div(log(sub(log(eos_pct), eos_pct)), sub(sqrt(log(baso_pct)), eos_pct)), log(sub(sub(log(sub(div(sqrt(mul(div(log(log(mch)), sub(sqrt(-0.364), eos_pct)), log(div(-0.364, mch)))), hct), sqrt(add(mul(mono_pct, mcv), mono_pct)))), div(neut_pct, wbc)), sqrt(div(log(baso_pct), mch)))))",0.0092,0.5633,8,0.0032,0.006,2,22,False,0.016216,0.014578,-0.012357,0.044789,True,0.0047,none,0,0.0051,0.5709,0.0032,0.0088,0.4552,0.678
2026-06-21 11:29:00,lup,seed3,small,"sub(mul(mono_pct, hgb), sqrt(div(div(mul(plt, mul(mono_pct, hgb)), sqrt(mchc)), sqrt(mchc))))",0.0215,0.5304,4,0.0042,0.0173,0,5,True,0.018223,0.019454,-0.019907,0.056352,True,0.0047,none,0,0.0061,0.6593,0.0037,0.0107,0.5648,0.7471
2026-06-21 11:29:00,lup,seed3,medium,"sub(neg(mul(neg(div(neg(plt), log(mul(eos_pct, mono_pct)))), neg(sub(neg(plt), div(sub(sub(hgb, eos_pct), div(neg(plt), log(mul(log(mul(eos_pct, mono_pct)), mono_pct)))), log(mul(eos_pct, mono_pct))))))), div(neg(plt), log(mul(log(mul(eos_pct, mono_pct)), mono_pct))))",0.0157,0.5725,4,0.0042,0.0115,0,10,True,0.013909,0.008715,-0.003173,0.030991,False,,none,0,0.0157,0.5725,,,,
2026-06-21 11:29:00,lup,seed3,large,"sub(add(sub(sub(add(sub(add(sub(add(div(mul(hgb, mch), sub(hgb, sub(plt, neut_pct))), sub(add(div(sub(plt, neut_pct), sub(hgb, eos_pct)), add(mul(hgb, mch), sub(plt, neut_pct))), div(mcv, eos_pct))), div(mcv, eos_pct)), add(mul(hgb, mch), sub(plt, neut_pct))), div(add(div(sub(plt, div(mcv, eos_pct)), sub(hgb, eos_pct)), add(mul(hgb, mch), sub(plt, neut_pct))), div(mcv, eos_pct))), mul(hgb, mch)), div(mcv, eos_pct)), div(mcv, eos_pct)), add(mul(hgb, mch), mul(hgb, mch))), neut_pct)",0.0157,0.5725,6,0.0044,0.0113,0,20,True,0.014873,0.021037,-0.026359,0.056105,False,,none,0,0.0157,0.5725,,,,
2026-06-21 11:33:40,lup,seed4,small,sqrt(rbc),0.0113,0.5748,1,0.004,0.0073,3,8,True,0.014648,0.020925,-0.026365,0.055661,False,,none,0,0.0113,0.5748,,,,
2026-06-21 11:33:40,lup,seed4,medium,"neg(div(sqrt(sub(sub(add(eos_pct, hct), sub(mcv, 0.726)), mul(div(neut_pct, rbc), sub(div(neut_pct, hct), sqrt(sub(add(sub(rbc, mchc), neg(lym_pct)), mcv)))))), add(baso_pct, 0.719)))",0.0142,0.5165,8,0.0078,0.0064,0,10,True,0.018705,0.019815,-0.020132,0.057543,True,0.0044,none,0,0.0399,0.5776,0.0033,0.1228,0.4735,0.6729
2026-06-21 11:33:40,lup,seed4,large,"neg(sub(sub(sqrt(sub(sqrt(sqrt(sub(mul(sqrt(sqrt(sub(mcv, neut_pct))), div(neut_pct, sqrt(sqrt(rbc)))), neut_pct))), mul(log(neg(wbc)), add(eos_pct, hct)))), sqrt(sqrt(sub(sub(sqrt(mul(mono_pct, wbc)), mul(log(sqrt(wbc)), sub(rbc, sqrt(sub(mul(sqrt(sqrt(sub(mcv, neut_pct))), div(neut_pct, sqrt(sqrt(rbc)))), neut_pct))))), neut_pct)))), log(neg(wbc))))",0.0143,0.6023,7,0.0056,0.0087,1,21,True,0.014062,0.016584,-0.018442,0.046566,False,,none,0,0.0143,0.6023,,,,
