K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,sqrt(mchc),0.0088,0.6395,0.0078,0.001
2,"sub(neg(mch), mchc)",0.009,0.6014,0.0058,0.0032
3,"sub(lym_pct, mul(mchc, add(mchc, hgb)))",0.0083,0.6199,0.0058,0.0025
4,"add(log(log(rdw)), div(sqrt(neut_pct), div(div(mchc, mono_pct), div(div(neut_pct, div(mchc, mono_pct)), div(mchc, mono_pct)))))",0.01,0.5979,0.0058,0.0042
5,"add(log(log(rdw)), div(sqrt(neut_pct), div(div(mchc, div(sqrt(neut_pct), div(div(neut_pct, add(lym_pct, mono_pct)), mono_pct))), div(div(neut_pct, div(mchc, mono_pct)), div(mchc, mono_pct)))))",0.0114,0.5828,0.0083,0.0031
6,"add(add(log(log(rdw)), div(div(neut_pct, div(mchc, mono_pct)), div(div(mchc, mono_pct), div(add(lym_pct, mono_pct), div(add(mch, div(mchc, div(add(lym_pct, mono_pct), div(add(mch, div(neut_pct, add(lym_pct, mono_pct))), mono_pct)))), mono_pct))))), div(sqrt(neut_pct), div(div(mchc, div(sqrt(neut_pct), div(div(neut_pct, add(lym_pct, mono_pct)), mono_pct))), div(div(neut_pct, div(div(mchc, mono_pct), mono_pct)), div(mchc, mono_pct)))))",0.011,0.581,0.0086,0.0024
7,"add(log(log(rdw)), div(div(add(neut_pct, baso_pct), div(div(mchc, mono_pct), mono_pct)), div(mchc, div(sqrt(neut_pct), div(add(mch, div(neut_pct, add(lym_pct, mono_pct))), mono_pct)))))",0.01,0.604,0.0088,0.0012
8,"add(log(log(rdw)), div(div(add(neut_pct, baso_pct), add(sub(mch, baso_pct), add(mchc, hgb))), div(add(mch, div(neut_pct, add(lym_pct, mono_pct))), mono_pct)))",0.0081,0.5937,0.0087,-0.0006
9,"sub(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, add(lym_pct, mono_pct)))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(div(neut_pct, add(lym_pct, mono_pct)), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), log(mul(sqrt(mul(sub(mchc, wbc), mul(eos_pct, sub(lym_pct, mul(mchc, log(neut_pct)))))), log(add(sqrt(baso_pct), div(rbc, mchc))))))",0.007,0.5584,0.0087,-0.0017
10,"sub(mul(div(div(sqrt(sqrt(rbc)), log(log(div(mul(mch, hct), add(mono_pct, baso_pct))))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(div(neut_pct, add(lym_pct, mono_pct)), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), log(mul(sqrt(mul(sub(mchc, wbc), mul(eos_pct, sub(lym_pct, mul(mchc, log(neut_pct)))))), log(add(sqrt(baso_pct), div(rbc, mchc))))))",0.0077,0.5656,0.0088,-0.0011
11,"sub(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(div(neut_pct, add(lym_pct, mono_pct)), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), log(sub(lym_pct, mul(mchc, add(baso_pct, add(hgb, mchc))))))",0.0093,0.6388,0.0095,-0.0002
