Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-07 02:30:33,psr,,small,"add(neut_pct, rdw)",0.0134,0.5768,2,0.0146,-0.0012,0,5,True,0.013492,0.013289,-0.012554,0.039539,False,,none,0,0.0134,0.5768,,,,
2026-06-07 02:30:33,psr,,medium,"add(mchc, hgb)",0.0117,0.5595,2,0.0146,-0.0029,0,10,True,0.016675,0.010517,-0.003938,0.037288,True,0.0079,none,0,0.0079,0.5342,0.0052,0.0164,0.4525,0.6018
2026-06-07 02:30:33,psr,,large,"mul(sqrt(log(mcv)), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",0.0151,0.6061,3,0.0146,0.0005,0,20,True,0.015977,0.01055,-0.004701,0.036655,False,,none,0,0.0151,0.6061,,,,
2026-06-21 11:31:51,psr,seed3,small,"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.0252,0.5376,3,0.0098,0.0154,0,5,True,0.015569,0.015831,-0.01546,0.046598,True,0.0095,none,0,0.0071,0.525,0.0052,0.0108,0.4528,0.6079
2026-06-21 11:31:51,psr,seed3,medium,"add(mchc, hgb)",0.0155,0.6378,2,0.0102,0.0053,0,10,True,0.013254,0.011282,-0.008858,0.035366,False,,none,0,0.0155,0.6378,,,,
2026-06-21 11:31:51,psr,seed3,large,"add(mchc, hgb)",0.0145,0.648,2,0.0102,0.0043,0,20,True,0.013254,0.011282,-0.008858,0.035366,False,,none,0,0.0145,0.648,,,,
2026-06-21 11:39:15,psr,seed2,small,"sqrt(mul(sqrt(mul(log(log(log(mchc))), log(add(log(mchc), log(mch))))), log(log(add(sqrt(hct), log(mch))))))",0.0139,0.6122,3,0.008,0.0059,1,6,True,0.015527,0.009961,-0.003996,0.035051,False,,none,0,0.0139,0.6122,,,,
2026-06-21 11:39:15,psr,seed2,medium,"add(mchc, hgb)",0.0177,0.5338,2,0.0102,0.0075,0,10,True,0.012793,0.006162,0.000717,0.02487,False,,none,0,0.0177,0.5338,,,,
2026-06-21 11:39:15,psr,seed2,large,"add(log(log(rdw)), div(div(sqrt(neut_pct), div(div(div(mchc, mono_pct), mono_pct), mono_pct)), div(div(mchc, mono_pct), mono_pct)))",0.0177,0.5338,4,0.0081,0.0096,0,20,True,0.019898,0.012183,-0.003981,0.043776,True,0.0064,none,0,0.0103,0.5925,0.0065,0.0216,0.5206,0.668
2026-06-21 11:51:59,psr,seed4,small,"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.0098,0.6046,3,0.0058,0.004,0,5,False,0.016618,0.015759,-0.014269,0.047505,False,,none,0,0.0098,0.6046,,,,
2026-06-21 11:51:59,psr,seed4,medium,"sub(mch, mul(mul(add(log(add(log(mch), neut_pct)), add(mchc, hgb)), log(mch)), log(0.141)))",0.0138,0.555,4,0.0058,0.008,0,10,True,0.018604,0.014044,-0.008923,0.046131,True,0.0086,none,0,0.0109,0.5163,0.005,0.0406,0.4457,0.5845
2026-06-21 11:51:59,psr,seed4,large,"sub(log(log(sqrt(mchc))), mul(mchc, neg(sub(log(rdw), mul(mul(add(add(add(log(log(rdw)), div(sqrt(neut_pct), add(log(log(hgb)), div(log(sqrt(mchc)), div(mchc, mono_pct))))), div(sqrt(neut_pct), add(log(log(sqrt(mchc))), div(sub(mch, baso_pct), div(mchc, mono_pct))))), add(sub(mch, baso_pct), add(mchc, hgb))), neg(sqrt(mchc))), sqrt(hct))))))",0.0113,0.5806,8,0.0087,0.0026,9,29,False,0.015862,0.01229,-0.008227,0.039951,False,,none,0,0.0113,0.5806,,,,
