Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-08 00:08:53,psr,,small,"add(neut_pct, rdw)",0.0134,0.5768,2,0.0146,-0.0012,0,5,True,0.013492,0.013289,-0.012554,0.039539,False,,gemini_25_pro.csv,30,0.0134,0.5768,,,,
2026-06-08 00:08:53,psr,,medium,"add(mchc, hgb)",0.0117,0.5595,2,0.0146,-0.0029,0,10,True,0.016675,0.010517,-0.003938,0.037288,True,0.0079,gemini_25_pro.csv,90,0.0079,0.5342,0.0052,0.0164,0.4525,0.6018
2026-06-08 00:08:53,psr,,large,"mul(sqrt(sub(log(mcv), div(hgb, hgb))), mul(log(log(log(mchc))), log(add(mul(log(log(mcv)), log(mchc)), add(log(mchc), hct)))))",0.0151,0.6061,4,0.0118,0.0033,0,20,True,0.016025,0.010647,-0.004843,0.036892,False,,gemini_25_pro.csv,150,0.0151,0.6061,,,,
2026-06-08 00:20:49,psr,,small,"add(neut_pct, rdw)",0.0134,0.5768,2,0.0146,-0.0012,0,5,True,0.013492,0.013289,-0.012554,0.039539,False,,gpt4o_deep_research.csv,30,0.0134,0.5768,,,,
2026-06-08 00:20:49,psr,,medium,"add(mchc, hgb)",0.0117,0.5595,2,0.0146,-0.0029,0,10,True,0.016675,0.010517,-0.003938,0.037288,True,0.0079,gpt4o_deep_research.csv,90,0.0079,0.5342,0.0052,0.0164,0.4525,0.6018
2026-06-08 00:20:49,psr,,large,"mul(sqrt(sub(log(mcv), log(log(mcv)))), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",0.0151,0.6061,3,0.0146,0.0005,0,20,True,0.016012,0.01063,-0.004823,0.036848,False,,gpt4o_deep_research.csv,96,0.0151,0.6061,,,,
2026-06-08 00:33:03,psr,,small,"add(neut_pct, rdw)",0.0134,0.5768,2,0.0146,-0.0012,0,5,True,0.013492,0.013289,-0.012554,0.039539,False,,scispace_agent.csv,30,0.0134,0.5768,,,,
2026-06-08 00:33:03,psr,,medium,"add(mchc, hgb)",0.0117,0.5595,2,0.0146,-0.0029,0,10,True,0.016675,0.010517,-0.003938,0.037288,False,,scispace_agent.csv,90,0.0117,0.5595,,,,
2026-06-08 00:33:03,psr,,large,"mul(log(mchc), mul(log(mul(log(log(mul(log(log(log(mchc))), log(add(sqrt(hct), add(log(mch), hct)))))), log(mch))), add(add(mcv, add(mcv, mch)), hct)))",0.0151,0.6061,4,0.0118,0.0033,0,20,True,0.017846,0.01213,-0.00593,0.041621,True,0.0091,scispace_agent.csv,150,0.0085,0.5092,0.0055,0.0166,0.4133,0.5833
2026-06-21 11:40:04,psr,seed3,small,"sqrt(mul(log(log(log(mchc))), add(sqrt(hct), log(mch))))",0.0252,0.5376,3,0.0098,0.0154,0,5,True,0.015569,0.015831,-0.01546,0.046598,True,0.0095,gemini_25_pro.csv,30,0.0071,0.525,0.0052,0.0108,0.4528,0.6079
2026-06-21 11:40:04,psr,seed3,medium,"add(mchc, hgb)",0.0155,0.6378,2,0.0102,0.0053,0,10,True,0.013254,0.011282,-0.008858,0.035366,False,,gemini_25_pro.csv,90,0.0155,0.6378,,,,
2026-06-21 11:40:04,psr,seed3,large,"add(mchc, hgb)",0.0145,0.648,2,0.0102,0.0043,0,20,True,0.013254,0.011282,-0.008858,0.035366,False,,gemini_25_pro.csv,150,0.0145,0.648,,,,
