K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,neg(mchc),0.0103,0.6037,0.0089,0.0014
2,"add(neg(hgb), neut_pct)",0.0117,0.5595,0.0146,-0.0029
3,"add(sub(lym_pct, baso_pct), add(-0.731, neut_pct))",0.0114,0.5779,0.0146,-0.0032
4,"sub(sqrt(add(mul(plt, mono_pct), sub(mcv, -0.273))), sqrt(log(div(neut_pct, plt))))",0.0094,0.5666,0.0118,-0.0024
5,"sub(sub(log(sub(mchc, rbc)), div(sub(hgb, mchc), sqrt(mono_pct))), sqrt(sub(neg(rbc), neg(plt))))",0.0134,0.5768,0.0111,0.0023
7,"sub(mul(div(sqrt(baso_pct), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(mul(wbc, eos_pct))))), add(mchc, sub(mch, baso_pct)))",0.0097,0.5923,0.0114,-0.0017
8,"sub(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(0.141, sqrt(sqrt(eos_pct))))), log(sqrt(mono_pct)))",0.0135,0.6246,0.0117,0.0018
9,"sub(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), add(mchc, sub(sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc))), baso_pct)))",0.0106,0.6459,0.0115,-0.0009
10,"sub(mul(div(div(sqrt(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc))))), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(wbc, eos_pct), sqrt(sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc))))), sqrt(sqrt(eos_pct))))), eos_pct), sqrt(baso_pct)), sqrt(sqrt(mono_pct))))), log(mul(sqrt(mul(sub(mchc, wbc), mul(eos_pct, lym_pct))), sub(mch, baso_pct))))",0.0106,0.5824,0.0111,-0.0005
11,"sub(mul(div(div(sqrt(sqrt(rbc)), add(rdw, mchc)), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), log(mul(sqrt(mul(sub(mchc, wbc), mul(eos_pct, lym_pct))), log(add(mul(div(div(sqrt(sqrt(rbc)), log(add(mch, hct))), sub(sub(sqrt(mch), sqrt(mono_pct)), sqrt(sub(baso_pct, mchc)))), div(add(log(mul(hgb, mch)), log(neg(eos_pct))), add(sub(mul(wbc, eos_pct), sqrt(baso_pct)), sqrt(sqrt(eos_pct))))), div(rbc, mchc))))))",0.0092,0.5694,0.0115,-0.0023
14,"add(add(mul(neg(log(log(rdw))), sqrt(div(sub(hct, neut_pct), sub(eos_pct, hct)))), add(neg(div(div(neut_pct, hct), log(mcv))), neg(add(sub(eos_pct, hgb), sqrt(mono_pct))))), add(mul(log(neg(add(mch, hgb))), sqrt(mul(add(hgb, lym_pct), div(rdw, rbc)))), neg(div(sub(sub(plt, wbc), sub(rdw, mchc)), div(div(hgb, wbc), div(baso_pct, wbc))))))",0.0083,0.528,0.0116,-0.0033
