K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,"log(mul(neut_pct, neut_pct))",0.0128,0.5473,0.0128,0.0
2,"div(neut_pct, mono_pct)",0.0136,0.5949,0.0135,0.0001
3,"add(log(div(div(mono_pct, plt), rbc)), sqrt(mul(-0.533, 0.571)))",0.0161,0.5872,0.0129,0.0032
4,"add(log(add(eos_pct, add(eos_pct, neg(mono_pct)))), log(sub(hct, mchc)))",0.0146,0.5551,0.014,0.0006
5,"div(div(mul(plt, div(plt, mul(mono_pct, hgb))), sqrt(mchc)), add(plt, mcv))",0.0138,0.6037,0.0138,0.0
6,"add(mul(neg(add(mul(div(mono_pct, neut_pct), mchc), log(sub(hct, mchc)))), mul(mono_pct, mchc)), add(add(neut_pct, plt), add(plt, mcv)))",0.0138,0.6109,0.0138,0.0
7,"mul(plt, sub(lym_pct, mul(mul(add(eos_pct, neg(sub(mono_pct, add(neg(mono_pct), add(0.930, rdw))))), neg(sqrt(log(mul(mono_pct, add(neut_pct, plt)))))), sqrt(hct))))",0.0137,0.6012,0.013,0.0007
8,"mul(plt, sub(lym_pct, mul(mul(add(eos_pct, neg(sub(mono_pct, add(neg(mono_pct), add(0.930, rdw))))), neg(sqrt(mchc))), mul(div(mul(plt, div(plt, mul(mono_pct, hgb))), sub(neg(mono_pct), neut_pct)), mchc))))",0.0137,0.6035,0.0129,0.0008
9,"mul(plt, sub(lym_pct, mul(mul(add(eos_pct, neg(sub(mono_pct, add(neg(mono_pct), add(0.930, rdw))))), neg(sqrt(mchc))), sub(log(div(mono_pct, add(plt, mcv))), div(div(mono_pct, log(div(neut_pct, rbc))), div(neut_pct, rbc))))))",0.0134,0.6067,0.0123,0.0011
11,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(div(div(add(eos_pct, mono_pct), mul(neut_pct, mch)), mul(log(baso_pct), sqrt(mcv))), sub(div(log(lym_pct), log(mono_pct)), sub(neg(0.236), sqrt(eos_pct)))))",0.0121,0.5224,0.013,-0.0009
