Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-07 02:29:30,ra,,small,"mul(neg(mul(sub(mono_pct, sqrt(hct)), mul(-0.834, div(rdw, hgb)))), mul(plt, div(plt, log(add(wbc, log(add(wbc, mul(mch, mono_pct))))))))",0.0221,0.6488,7,0.0146,0.0075,4,9,True,0.019488,0.00808,0.003651,0.035325,False,,none,0,0.0221,0.6488,,,,
2026-06-07 02:29:30,ra,,medium,"add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), add(mul(mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct), mono_pct), log(sub(hct, mchc))))), mono_pct), mul(mul(mul(div(mono_pct, neut_pct), mul(mul(div(mono_pct, neut_pct), add(sqrt(mono_pct), log(sub(hct, mchc)))), mono_pct)), mono_pct), mono_pct)), mono_pct), log(sub(hct, mchc))))), mono_pct), div(mono_pct, hct)), log(sub(hct, mchc)))",0.0305,0.6671,4,0.0161,0.0144,2,12,True,0.024153,0.009931,0.004689,0.043617,False,,none,0,0.0305,0.6671,,,,
2026-06-07 02:29:30,ra,,large,"add(mul(mono_pct, log(neg(sub(mono_pct, sqrt(rbc))))), add(mul(add(mul(div(mono_pct, neut_pct), add(mul(mono_pct, mul(div(mono_pct, neut_pct), add(mul(mono_pct, mul(div(mono_pct, neut_pct), mono_pct)), log(mul(div(mono_pct, neut_pct), mono_pct))))), log(div(mono_pct, neut_pct)))), log(sub(hct, mchc))), mono_pct), log(add(add(sub(mono_pct, sqrt(rbc)), add(mul(log(sub(hct, mchc)), mono_pct), add(mul(mul(div(mono_pct, neut_pct), add(mul(mono_pct, mul(div(mono_pct, neut_pct), mono_pct)), log(mul(div(mono_pct, neut_pct), mono_pct)))), mono_pct), add(div(mono_pct, neut_pct), log(sub(hct, mchc)))))), sqrt(plt)))))",0.0202,0.6521,6,0.0147,0.0055,3,23,True,0.024581,0.00322,0.01827,0.030891,True,0.0169,none,0,0.0128,0.6372,0.0094,0.0174,0.5778,0.6924
2026-06-21 11:22:24,ra,seed2,small,"mul(log(add(lym_pct, -0.247)), neg(mul(log(lym_pct), div(plt, mul(mono_pct, hct)))))",0.0218,0.5318,4,0.0139,0.0079,0,5,True,0.016566,0.005043,0.006682,0.026451,False,,none,0,0.0218,0.5318,,,,
2026-06-21 11:22:24,ra,seed2,medium,"add(add(mul(neg(mul(mono_pct, sqrt(mono_pct))), mul(mono_pct, mono_pct)), div(mul(plt, div(plt, mul(mono_pct, hgb))), log(mono_pct))), div(mul(plt, div(plt, mul(mono_pct, hgb))), log(mono_pct)))",0.016,0.5955,3,0.0156,0.0004,3,13,True,0.0217,0.007018,0.007944,0.035456,False,,none,0,0.016,0.5955,,,,
2026-06-21 11:22:24,ra,seed2,large,"add(mul(div(mono_pct, neut_pct), mul(add(mul(mul(div(mono_pct, neut_pct), mono_pct), mono_pct), log(mul(div(mono_pct, neut_pct), mono_pct))), mono_pct)), log(sub(hct, mchc)))",0.0204,0.6105,4,0.0139,0.0065,5,25,True,0.023538,0.01203,-4.1e-05,0.047118,True,0.0157,none,0,0.0147,0.6417,0.0105,0.0231,0.5739,0.6999
2026-06-21 11:27:37,ra,seed3,small,"mul(plt, div(plt, add(wbc, mul(mch, mono_pct))))",0.0165,0.5304,4,0.0117,0.0048,0,5,True,0.016535,0.004173,0.008356,0.024714,False,,none,0,0.0165,0.5304,,,,
2026-06-21 11:27:37,ra,seed3,medium,"add(mul(add(neut_pct, mono_pct), mul(add(sqrt(add(eos_pct, neg(mono_pct))), add(mul(add(neut_pct, mono_pct), mul(add(sqrt(add(eos_pct, neg(mono_pct))), add(sqrt(mul(add(eos_pct, add(eos_pct, neg(mono_pct))), add(eos_pct, neg(mono_pct)))), log(sub(hct, mchc)))), mul(mono_pct, hgb))), log(sub(hct, mchc)))), mul(mono_pct, hgb))), add(add(neut_pct, plt), mono_pct))",0.0196,0.6501,7,0.0118,0.0078,8,18,True,0.02491,0.005957,0.013235,0.036585,False,,none,0,0.0196,0.6501,,,,
2026-06-21 11:27:37,ra,seed3,large,"div(div(mul(mul(neg(mono_pct), div(plt, mul(neg(mono_pct), sqrt(mchc)))), div(div(mul(plt, div(plt, mul(mono_pct, log(hgb)))), mul(mono_pct, hgb)), sub(div(-0.701, lym_pct), neg(mono_pct)))), sub(div(0.361, log(hgb)), neut_pct)), neg(add(neg(mono_pct), sqrt(sqrt(mchc)))))",0.0163,0.6017,6,0.0117,0.0046,0,20,True,0.032097,0.010801,0.010928,0.053267,True,0.0154,none,0,0.0301,0.6171,0.0107,0.0713,0.5404,0.6854
2026-06-21 11:48:44,ra,seed4,small,"div(mul(plt, div(plt, div(mul(mono_pct, hgb), neg(mul(mch, div(neut_pct, div(plt, div(mono_pct, neg(mul(mch, div(neut_pct, sqrt(sqrt(sqrt(mchc)))))))))))))), mul(mono_pct, hgb))",0.017,0.6025,6,0.0138,0.0032,4,9,True,0.020128,0.011313,-0.002046,0.042303,False,,none,0,0.017,0.6025,,,,
2026-06-21 11:48:44,ra,seed4,medium,"sub(lym_pct, mul(mul(add(eos_pct, sub(lym_pct, mul(mul(add(eos_pct, neg(mono_pct)), sqrt(div(log(mch), neg(mono_pct)))), sqrt(hct)))), neg(sub(lym_pct, mul(mul(add(eos_pct, neg(mono_pct)), neg(mul(add(eos_pct, neg(sqrt(hct))), neg(sub(lym_pct, add(eos_pct, neg(mono_pct))))))), neg(mono_pct))))), sqrt(div(log(mch), neg(mono_pct)))))",0.0171,0.5757,5,0.0138,0.0033,1,11,True,0.021174,0.008322,0.004864,0.037485,True,0.0105,none,0,0.0129,0.6315,0.0093,0.0178,0.5719,0.6888
2026-06-21 11:48:44,ra,seed4,large,"sub(log(div(mono_pct, mul(log(div(mono_pct, div(add(plt, mcv), log(add(mono_pct, log(add(mono_pct, log(log(neut_pct))))))))), neut_pct))), neut_pct)",0.0173,0.6102,4,0.014,0.0033,2,22,True,0.0208,0.014685,-0.007983,0.049584,False,,none,0,0.0173,0.6102,,,,
