Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"mul(add(neg(neg(sqrt(log(hgb)))), log(neg(mul(sub(mch, mch), add(hgb, mchc))))), mul(sub(sqrt(sub(add(mch, mchc), sqrt(mchc))), sub(sqrt(sqrt(wbc)), mul(sub(mcv, mch), mul(mcv, plt)))), sub(neg(mul(log(rdw), div(mch, rbc))), log(neg(div(-0.443, rbc))))))",0.0159,True,False
1,"add(sub(div(mul(sqrt(rbc), log(rdw)), add(add(plt, rdw), log(mch))), div(neg(mul(mch, rdw)), div(neg(hct), add(rdw, plt)))), sqrt(log(div(add(wbc, mch), sqrt(hgb)))))",0.016,True,False
2,"add(sub(div(mul(sqrt(rbc), log(rdw)), add(add(plt, rdw), log(mch))), div(neg(mul(mch, rdw)), log(rdw))), div(plt, wbc))",0.0165,True,False
3,"div(rbc, add(sub(-0.812, mch), mul(mul(sqrt(hct), div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt)))), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), log(rdw))))), rdw)))",0.0168,True,False
4,"sqrt(div(neg(mul(sqrt(hct), add(sub(-0.812, mch), sub(sub(rbc, hgb), log(mchc))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(rdw)))))",0.0172,True,True
5,"div(rbc, add(sub(-0.812, mch), mul(mul(sqrt(hct), div(neg(mul(sub(rbc, hgb), mul(mul(mch, rdw), add(hgb, plt)))), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), log(rdw))))), rdw)))",0.0176,True,True
8,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt)))), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), log(rdw)))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(rdw)))))",0.0178,True,True
9,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(wbc)))), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), log(rdw)))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(rdw)))))",0.0187,True,True
10,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt)))), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), log(rdw)))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), neg(mul(div(rbc, mul(mul(rbc, wbc), sqrt(mcv))), mul(mul(mch, rdw), mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt))))))), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(rdw)))))",0.0189,True,True
13,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.0194,True,True
15,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.0194,False,True
20,"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.0194,False,True
