K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,neut_pct,0.0128,0.5473,0.0128,0.0
2,"add(neut_pct, lym_pct)",0.0139,0.593,0.0135,0.0004
3,"log(div(mono_pct, add(neut_pct, lym_pct)))",0.0139,0.5996,0.0129,0.001
4,"div(mul(plt, div(plt, mul(mono_pct, hgb))), sqrt(mul(mch, mono_pct)))",0.0138,0.6039,0.014,-0.0002
5,"div(mul(plt, div(plt, mul(mono_pct, hgb))), log(neg(add(neut_pct, baso_pct))))",0.0137,0.5938,0.0138,-0.0001
6,"div(sqrt(add(add(hct, hct), sqrt(plt))), sub(sub(sub(wbc, hgb), sub(plt, neut_pct)), neg(neg(lym_pct))))",0.0118,0.5366,0.0138,-0.002
8,"add(sub(div(mul(sqrt(lym_pct), log(wbc)), log(mul(plt, eos_pct))), neg(log(mul(rdw, rdw)))), mul(sub(neg(add(rdw, eos_pct)), div(add(wbc, mch), sub(hct, mcv))), div(add(div(rdw, rdw), sub(mcv, eos_pct)), sqrt(log(eos_pct)))))",0.0097,0.5221,0.0129,-0.0032
9,"mul(mul(log(mul(sqrt(plt), log(rdw))), sub(sub(mul(-0.335, wbc), log(baso_pct)), sqrt(neg(eos_pct)))), sub(div(log(log(mono_pct)), log(sub(wbc, hgb))), sub(neg(sub(mcv, neut_pct)), sqrt(neg(0.545)))))",0.0107,0.5459,0.0123,-0.0016
11,"mul(mul(neg(log(mul(sub(baso_pct, rbc), neg(mch)))), add(mul(div(sub(mchc, mch), neg(neut_pct)), add(mul(mchc, hct), log(mcv))), sqrt(sub(sqrt(mch), mul(mcv, plt))))), sub(neg(mul(log(div(neut_pct, eos_pct)), div(div(rdw, neut_pct), sub(hct, baso_pct)))), neg(log(add(add(lym_pct, mch), div(eos_pct, hct))))))",0.0102,0.5331,0.013,-0.0028
12,"neg(mul(neg(mul(sub(log(mono_pct), sqrt(hct)), mul(add(wbc, mchc), div(rdw, hgb)))), sub(sub(sqrt(mul(0.509, mcv)), sub(mul(mcv, rbc), mul(rdw, mchc))), add(sub(add(eos_pct, eos_pct), neg(neut_pct)), add(sub(rbc, baso_pct), div(mono_pct, mch))))))",0.0104,0.5613,0.0129,-0.0025
