K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,log(mchc),0.0139,0.5867,0.0139,0.0
2,"sqrt(neg(sub(mono_pct, sqrt(rbc))))",0.0164,0.6018,0.0132,0.0032
3,"add(sub(lym_pct, baso_pct), add(-0.731, neut_pct))",0.0142,0.5855,0.0153,-0.0011
4,"mul(log(log(add(lym_pct, -0.247))), mul(add(plt, div(div(neut_pct, mono_pct), mono_pct)), mul(log(add(lym_pct, -0.247)), mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), log(add(lym_pct, -0.247))), mono_pct))))",0.0173,0.6192,0.0154,0.0019
5,"mul(log(log(add(lym_pct, -0.247))), mul(neut_pct, mul(log(add(lym_pct, -0.247)), mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(neut_pct, mono_pct), mono_pct), mono_pct)), rbc)), mono_pct))))",0.0178,0.6233,0.015,0.0028
6,"mul(log(add(lym_pct, -0.247)), mul(sqrt(hct), mul(log(add(lym_pct, -0.247)), mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(neut_pct, mono_pct), mono_pct), mono_pct)), rbc)), mono_pct))))",0.0169,0.6124,0.0148,0.0021
7,"mul(log(log(add(lym_pct, -0.247))), mul(add(plt, div(div(div(neut_pct, mono_pct), mono_pct), mono_pct)), mul(add(rdw, eos_pct), mul(mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(neut_pct, mono_pct), mono_pct), mono_pct)), rbc)), mono_pct), mul(lym_pct, rbc)))))",0.0164,0.611,0.0143,0.0021
8,"mul(log(log(add(lym_pct, -0.247))), mul(add(plt, div(div(neut_pct, mono_pct), mono_pct)), mul(add(rdw, eos_pct), mul(mchc, mul(mul(add(plt, div(div(neut_pct, mono_pct), mono_pct)), mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(neut_pct, mono_pct), mono_pct)), rbc))), rbc)))))",0.0156,0.6211,0.0147,0.0009
10,"log(sub(mul(sub(add(log(hct), mul(plt, lym_pct)), neg(mul(mchc, rdw))), neg(log(neg(neut_pct)))), add(add(sub(sub(mch, eos_pct), sub(rbc, rdw)), div(mul(wbc, mchc), log(-0.086))), log(log(neg(mchc))))))",0.0125,0.5564,0.0152,-0.0027
11,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(div(div(add(eos_pct, mono_pct), mul(neut_pct, mch)), mul(log(baso_pct), sqrt(mcv))), sub(div(log(lym_pct), log(mono_pct)), sub(neg(0.236), sqrt(eos_pct)))))",0.0124,0.5864,0.0149,-0.0025
12,"sub(neg(sqrt(sqrt(div(div(mono_pct, rbc), mul(mcv, -0.342))))), add(div(mul(log(neg(lym_pct)), neg(neg(neut_pct))), sqrt(sub(sqrt(baso_pct), neg(mch)))), add(div(log(mul(lym_pct, plt)), add(neg(lym_pct), sub(lym_pct, wbc))), div(sub(log(mono_pct), div(hct, -0.150)), sub(sub(eos_pct, rdw), add(-0.667, mch))))))",0.0125,0.5746,0.0149,-0.0024
