Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-07 02:34:36,t1d,,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(neut_pct, mono_pct), mul(lym_pct, mul(mul(lym_pct, mul(div(neut_pct, mono_pct), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))))))",0.0152,0.6293,4,0.0154,-0.0002,2,7,False,0.017258,0.006997,0.003545,0.030971,False,,none,0,0.0152,0.6293,,,,
2026-06-07 02:34:36,t1d,,medium,"mul(log(log(add(lym_pct, -0.247))), mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), mul(log(log(add(lym_pct, -0.247))), mul(neut_pct, div(rbc, mono_pct))))))",0.0145,0.6175,4,0.0154,-0.0009,1,11,False,0.017295,0.007125,0.00333,0.03126,False,,none,0,0.0145,0.6175,,,,
2026-06-07 02:34:36,t1d,,large,"mul(log(log(lym_pct)), mul(lym_pct, mul(mul(log(div(div(neut_pct, mono_pct), mono_pct)), mul(add(plt, div(div(div(div(neut_pct, mono_pct), mono_pct), mono_pct), mono_pct)), rbc)), mono_pct)))",0.0178,0.6233,5,0.015,0.0028,28,48,True,0.023468,0.009659,0.004537,0.042399,True,0.0159,none,0,0.0126,0.5528,0.0088,0.0196,0.4855,0.6219
2026-06-21 11:26:59,t1d,seed2,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(neut_pct, mono_pct), mul(lym_pct, mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.021,0.5738,4,0.013,0.008,0,5,True,0.017549,0.006258,0.005283,0.029814,False,,none,0,0.021,0.5738,,,,
2026-06-21 11:26:59,t1d,seed2,medium,"mul(log(add(lym_pct, -0.247)), mul(log(neut_pct), div(mul(plt, log(div(hgb, mono_pct))), sqrt(div(hgb, mono_pct)))))",0.0268,0.5591,5,0.0167,0.0101,0,10,True,0.019292,0.003014,0.013384,0.0252,False,,none,0,0.0268,0.5591,,,,
2026-06-21 11:26:59,t1d,seed2,large,"add(mul(log(log(add(lym_pct, -0.247))), sqrt(neg(mul(mul(div(neut_pct, mono_pct), add(sub(mono_pct, sqrt(rbc)), mono_pct)), mul(mul(sqrt(neg(sub(sub(div(rbc, mono_pct), mul(sub(sqrt(mul(sqrt(rbc), mul(div(neut_pct, mono_pct), rbc))), 0.596), rbc)), div(plt, sub(sqrt(rbc), mono_pct))))), rbc), rbc))))), mul(mono_pct, sub(sqrt(rbc), mono_pct)))",0.021,0.5738,5,0.0167,0.0043,0,20,True,0.02632,0.011632,0.003521,0.049119,True,0.0127,none,0,0.016,0.6219,0.0112,0.0272,0.5567,0.6843
2026-06-21 11:34:06,t1d,seed3,small,"mul(log(log(add(lym_pct, -0.247))), div(neut_pct, mono_pct))",0.0177,0.5901,3,0.0303,-0.0126,0,5,True,0.015268,0.003395,0.008613,0.021923,False,,none,0,0.0177,0.5901,,,,
2026-06-21 11:34:06,t1d,seed3,medium,"mul(log(add(add(lym_pct, -0.247), -0.247)), mul(div(neut_pct, mono_pct), div(add(hgb, mono_pct), add(hct, baso_pct))))",0.0175,0.5921,6,0.0232,-0.0057,0,10,True,0.015274,0.003605,0.008209,0.022339,True,0.0136,none,0,0.015,0.632,0.0108,0.0272,0.5758,0.6851
2026-06-21 11:34:06,t1d,seed3,large,"mul(log(lym_pct), mul(mul(div(neut_pct, sqrt(mono_pct)), mchc), mchc))",0.0193,0.5973,4,0.0236,-0.0043,1,21,True,0.015107,0.002878,0.009466,0.020748,False,,none,0,0.0193,0.5973,,,,
2026-06-21 11:40:19,t1d,seed4,small,"mul(log(add(lym_pct, lym_pct)), mul(div(neut_pct, mono_pct), mul(log(log(add(lym_pct, -0.247))), neut_pct)))",0.0161,0.6382,3,0.0155,0.0006,5,10,False,0.017409,0.008839,8.4e-05,0.034734,False,,none,0,0.0161,0.6382,,,,
2026-06-21 11:40:19,t1d,seed4,medium,"mul(log(mul(log(log(add(lym_pct, -0.247))), div(mul(div(mul(plt, log(div(hgb, mono_pct))), div(hgb, mono_pct)), log(div(add(lym_pct, -0.247), mono_pct))), sqrt(sqrt(lym_pct))))), mul(log(add(lym_pct, -0.247)), div(div(mul(plt, log(div(hgb, mono_pct))), hgb), div(hgb, mono_pct))))",0.0186,0.6282,4,0.0154,0.0032,4,14,True,0.020692,0.005295,0.010313,0.031072,True,0.0178,none,0,0.012,0.555,0.0088,0.0177,0.4899,0.6238
2026-06-21 11:40:19,t1d,seed4,large,"sqrt(sqrt(sub(mono_pct, sqrt(rbc))))",0.0164,0.5762,2,0.0149,0.0015,0,20,False,0.018684,0.0074,0.00418,0.033189,False,,none,0,0.0164,0.5762,,,,
