Timestamp,Disease,Split_Salt,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,Winning_Generation,Total_Generations,Beats_Baseline,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Seed_File,Seed_Count_Used,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
2026-06-08 00:09:22,t1d,,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(neut_pct, mono_pct), mul(lym_pct, mul(mul(lym_pct, mul(div(neut_pct, mono_pct), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))))))",0.0152,0.6293,4,0.0154,-0.0002,2,7,False,0.017258,0.006997,0.003545,0.030971,False,,gemini_25_pro.csv,30,0.0152,0.6293,,,,
2026-06-08 00:09:22,t1d,,medium,"mul(log(log(lym_pct)), mul(log(add(lym_pct, mono_pct)), mul(div(neut_pct, mono_pct), mul(log(log(add(lym_pct, -0.247))), mul(neut_pct, div(rbc, mono_pct))))))",0.0145,0.6175,4,0.0154,-0.0009,1,11,False,0.017363,0.006958,0.003726,0.031001,False,,gemini_25_pro.csv,90,0.0145,0.6175,,,,
2026-06-08 00:09:22,t1d,,large,"mul(log(log(mul(log(log(add(lym_pct, -0.247))), div(rbc, mono_pct)))), mul(div(sqrt(rbc), mono_pct), sqrt(log(lym_pct))))",0.0164,0.6018,3,0.0153,0.0011,1,21,False,0.017915,0.004185,0.009712,0.026118,True,0.0134,gemini_25_pro.csv,150,0.013,0.6067,0.0097,0.0194,0.5436,0.6647
2026-06-08 00:26:13,t1d,,small,"div(mch, mcv)",0.0144,0.6174,2,0.0132,0.0012,1,6,False,0.021156,0.011316,-0.001022,0.043335,False,,gpt4o_deep_research.csv,30,0.0144,0.6174,,,,
2026-06-08 00:26:13,t1d,,medium,"div(mch, mcv)",0.0145,0.6175,2,0.0132,0.0013,1,11,False,0.021156,0.011316,-0.001022,0.043335,False,,gpt4o_deep_research.csv,90,0.0145,0.6175,,,,
2026-06-08 00:26:13,t1d,,large,"div(sub(mcv, log(sub(mono_pct, log(sub(mch, sub(mcv, neg(sub(mono_pct, log(neg(sub(mono_pct, log(mcv)))))))))))), div(mch, div(sub(mcv, log(add(lym_pct, -0.247))), div(mch, sub(mono_pct, div(mch, neg(sub(mono_pct, div(mch, sub(mono_pct, mch))))))))))",0.0204,0.6323,4,0.0154,0.005,11,31,True,0.026429,0.010475,0.005898,0.046961,True,0.0144,gpt4o_deep_research.csv,106,0.015,0.6219,0.0106,0.0226,0.5573,0.6831
2026-06-08 00:59:19,t1d,,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(neut_pct, mono_pct), mul(lym_pct, mul(div(neut_pct, mono_pct), mul(log(lym_pct), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))))",0.0152,0.6293,4,0.0154,-0.0002,2,7,False,0.017276,0.007034,0.00349,0.031063,False,,scispace_agent.csv,30,0.0152,0.6293,,,,
2026-06-08 00:59:19,t1d,,medium,"mul(log(log(add(lym_pct, -0.247))), mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), mul(log(log(add(lym_pct, -0.247))), mul(neut_pct, div(rbc, mono_pct))))))",0.0145,0.6175,4,0.0154,-0.0009,1,11,False,0.017295,0.007125,0.00333,0.03126,False,,scispace_agent.csv,90,0.0145,0.6175,,,,
2026-06-08 00:59:19,t1d,,large,"mul(mul(neg(mchc), sub(mul(div(neut_pct, mono_pct), sqrt(rbc)), neg(mul(log(mul(log(sub(mono_pct, div(div(mul(neut_pct, mul(sqrt(rbc), hgb)), hgb), hgb))), mul(log(mul(log(log(add(div(neut_pct, mono_pct), eos_pct))), mul(div(neut_pct, mono_pct), sqrt(rbc)))), sub(mono_pct, div(mul(neg(log(mul(sub(mono_pct, div(mul(mchc, hct), hgb)), mul(sub(mchc, mch), sub(mchc, div(mul(neut_pct, sub(sub(mchc, mch), mul(log(mul(sub(mono_pct, div(div(mul(neut_pct, eos_pct), hgb), hgb)), mul(sub(mchc, mch), sub(mchc, mul(log(log(hct)), hgb))))), sub(mul(div(neut_pct, mono_pct), sqrt(rbc)), neg(mul(log(sub(mchc, mch)), sub(mono_pct, mchc))))))), hgb)))))), hct), hgb))))), sub(mono_pct, mchc))))), neg(log(mul(div(mul(mchc, hct), hgb), mul(sub(mch, plt), sub(sub(mchc, mch), div(mul(neut_pct, sub(mono_pct, div(mul(mchc, hct), hgb))), hgb)))))))",0.0239,0.6446,9,0.0142,0.0097,38,58,True,0.028891,0.01157,0.006213,0.051568,True,0.0216,scispace_agent.csv,150,0.0175,0.6206,0.0118,0.0281,0.5484,0.6848
2026-06-21 11:43:41,t1d,seed2,small,"mul(log(log(add(lym_pct, -0.247))), mul(div(neut_pct, mono_pct), mul(lym_pct, mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.021,0.5738,4,0.013,0.008,0,5,True,0.017549,0.006258,0.005283,0.029814,False,,gemini_25_pro.csv,30,0.021,0.5738,,,,
2026-06-21 11:43:41,t1d,seed2,medium,"mul(log(add(log(log(log(add(lym_pct, -0.247)))), -0.247)), mul(mul(plt, log(div(div(neut_pct, mono_pct), mono_pct))), add(log(log(log(add(add(lym_pct, -0.247), -0.247)))), mono_pct)))",0.0268,0.5591,4,0.013,0.0138,0,10,True,0.023042,0.0054,0.012459,0.033626,False,,gemini_25_pro.csv,90,0.0268,0.5591,,,,
2026-06-21 11:43:41,t1d,seed2,large,"mul(log(log(add(lym_pct, -0.247))), mul(mul(log(div(sub(mono_pct, sqrt(rbc)), mono_pct)), mul(add(add(log(log(add(lym_pct, -0.247))), mul(log(add(lym_pct, -0.247)), mul(mul(log(div(sub(mono_pct, sqrt(rbc)), mono_pct)), mul(div(neut_pct, mono_pct), rbc)), add(hgb, mono_pct)))), mul(sub(mono_pct, log(div(log(add(lym_pct, -0.247)), mono_pct))), mul(rbc, add(hgb, mono_pct)))), add(rbc, mono_pct))), -0.247))",0.021,0.5738,5,0.0167,0.0043,0,20,True,0.028669,0.013344,0.002514,0.054824,True,0.0117,gemini_25_pro.csv,150,0.013,0.5768,0.0091,0.0241,0.5158,0.6344
2026-06-21 11:45:37,t1d,seed3,small,"mul(log(log(add(lym_pct, -0.247))), div(neut_pct, mono_pct))",0.0177,0.5901,3,0.0303,-0.0126,0,5,True,0.015268,0.003395,0.008613,0.021923,False,,gemini_25_pro.csv,30,0.0177,0.5901,,,,
2026-06-21 11:45:37,t1d,seed3,medium,"mul(log(add(add(lym_pct, -0.247), -0.247)), mul(div(neut_pct, mono_pct), div(add(hgb, mono_pct), add(hct, baso_pct))))",0.0175,0.5921,6,0.0232,-0.0057,0,10,True,0.015274,0.003605,0.008209,0.022339,True,0.0136,gemini_25_pro.csv,90,0.015,0.632,0.0108,0.0272,0.5758,0.6851
2026-06-21 11:45:37,t1d,seed3,large,"mul(mul(log(log(lym_pct)), mul(mul(mul(div(neut_pct, mono_pct), mchc), mchc), mchc)), mchc)",0.0175,0.5921,4,0.0236,-0.0061,0,20,True,0.015243,0.00286,0.009636,0.020849,False,,gemini_25_pro.csv,150,0.0175,0.5921,,,,
2026-06-21 11:51:22,t1d,seed4,small,"mul(log(add(lym_pct, lym_pct)), mul(div(neut_pct, mono_pct), mul(log(log(add(lym_pct, -0.247))), neut_pct)))",0.0161,0.6382,3,0.0155,0.0006,5,10,False,0.017409,0.008839,8.4e-05,0.034734,False,,gemini_25_pro.csv,30,0.0161,0.6382,,,,
2026-06-21 11:51:22,t1d,seed4,medium,"mul(log(add(lym_pct, log(log(lym_pct)))), mul(div(neut_pct, mono_pct), mul(log(log(lym_pct)), mul(div(neut_pct, mono_pct), add(hgb, eos_pct)))))",0.0164,0.5762,5,0.0152,0.0012,0,10,False,0.017265,0.00801,0.001565,0.032965,False,,gemini_25_pro.csv,90,0.0164,0.5762,,,,
2026-06-21 11:51:22,t1d,seed4,large,"sqrt(div(sub(mono_pct, div(rbc, mono_pct)), plt))",0.0181,0.6289,3,0.0155,0.0026,1,21,True,0.020639,0.007713,0.005521,0.035757,True,0.0136,gemini_25_pro.csv,150,0.0177,0.6031,0.0107,0.0439,0.5373,0.6633
2026-06-21 11:56:14,t1d,seed2,small,"div(mch, mcv)",0.0211,0.5722,2,0.0183,0.0028,1,6,True,0.021674,0.012807,-0.003428,0.046777,True,0.0211,gpt4o_deep_research.csv,30,0.0137,0.5862,0.0096,0.0202,0.516,0.649
2026-06-21 11:56:14,t1d,seed2,medium,"div(mch, mcv)",0.0268,0.5591,2,0.0183,0.0085,0,10,True,0.021674,0.012807,-0.003428,0.046777,False,,gpt4o_deep_research.csv,90,0.0268,0.5591,,,,
2026-06-21 11:56:14,t1d,seed2,large,"div(sub(sub(log(wbc), mcv), mcv), add(add(mch, div(mcv, mch)), div(mcv, mch)))",0.0293,0.5726,3,0.0131,0.0162,3,23,True,0.021129,0.012409,-0.003192,0.045451,False,,gpt4o_deep_research.csv,106,0.0293,0.5726,,,,
2026-06-21 11:57:31,t1d,seed3,small,"div(mch, mcv)",0.0282,0.5864,2,0.0246,0.0036,1,6,True,0.018022,0.006256,0.00576,0.030285,False,,gpt4o_deep_research.csv,30,0.0282,0.5864,,,,
2026-06-21 11:57:31,t1d,seed3,medium,"div(div(mul(log(log(lym_pct)), mul(mul(div(neut_pct, mono_pct), div(mch, mcv)), div(mch, mcv))), mcv), mcv)",0.0231,0.59,5,0.0273,-0.0042,1,11,True,0.015748,0.003029,0.009811,0.021685,False,,gpt4o_deep_research.csv,90,0.0231,0.59,,,,
