K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,neg(mchc),0.0156,0.5738,0.0156,0.0
2,"sub(mchc, rbc)",0.0164,0.5762,0.0149,0.0015
3,"mul(log(log(log(div(hgb, mono_pct)))), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))",0.0186,0.6282,0.0155,0.0031
4,"mul(log(log(lym_pct)), div(div(div(mul(plt, log(div(hgb, mono_pct))), sqrt(div(hgb, mono_pct))), hgb), sqrt(div(hgb, mono_pct))))",0.0176,0.6189,0.0154,0.0022
5,"mul(log(add(lym_pct, -0.247)), mul(rdw, div(mul(plt, log(div(hgb, mono_pct))), sqrt(div(hgb, mono_pct)))))",0.0183,0.6301,0.0152,0.0031
6,"sub(wbc, add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.0178,0.6153,0.0153,0.0025
7,"sub(div(log(div(hgb, mono_pct)), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.0178,0.6153,0.0162,0.0016
8,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))), add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.0178,0.6153,0.0158,0.002
9,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.0178,0.6153,0.0157,0.0021
10,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), add(lym_pct, -0.247)), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct))), sub(div(plt, log(mono_pct)), mul(div(neut_pct, mono_pct), add(hgb, neg(eos_pct))))))",0.0179,0.6187,0.0158,0.0021
11,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(div(div(add(eos_pct, mono_pct), mul(neut_pct, mch)), mul(log(baso_pct), sqrt(mcv))), sub(div(log(lym_pct), log(mono_pct)), sub(neg(0.236), sqrt(eos_pct)))))",0.0146,0.5927,0.0158,-0.0012
12,"sub(div(div(div(sub(mchc, rdw), div(plt, wbc)), neg(sub(rdw, plt))), div(mul(log(mch), mul(lym_pct, wbc)), neg(div(wbc, neut_pct)))), add(div(div(add(eos_pct, mono_pct), mul(neut_pct, mch)), mul(log(baso_pct), sqrt(mcv))), div(hgb, mono_pct)))",0.0129,0.5919,0.0158,-0.0029
