K,Best_Formula,AUC_PR,AUC_ROC,Baseline_AUC_PR,Delta_vs_Baseline
1,"sub(mchc, -0.376)",0.0139,0.5867,0.0139,0.0
2,"sub(sub(mchc, -0.376), mono_pct)",0.0146,0.6188,0.0132,0.0014
3,"mul(log(log(add(lym_pct, -0.247))), div(neut_pct, mono_pct))",0.0134,0.6224,0.0149,-0.0015
4,"mul(log(add(lym_pct, -0.247)), mul(mul(plt, div(plt, mul(mono_pct, hgb))), add(hgb, mono_pct)))",0.0137,0.5985,0.0149,-0.0012
5,"mul(log(add(lym_pct, -0.247)), mul(sub(mchc, -0.376), mul(plt, div(add(hgb, mono_pct), mul(mono_pct, hgb)))))",0.0148,0.6292,0.0146,0.0002
6,"mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mul(div(neut_pct, mono_pct), add(sqrt(mch), neg(mcv))))))",0.0123,0.5943,0.0144,-0.0021
7,"mul(add(sqrt(neg(add(mch, neut_pct))), log(neg(mul(wbc, mcv)))), mul(div(neut_pct, mono_pct), mul(log(add(lym_pct, -0.247)), mul(div(neut_pct, mono_pct), add(hgb, mono_pct)))))",0.0123,0.5907,0.0153,-0.003
8,"log(add(mul(mul(add(sqrt(0.527), sqrt(baso_pct)), neg(neg(hgb))), div(div(mul(neut_pct, neut_pct), div(mch, 0.523)), sqrt(neg(mcv)))), div(sqrt(mul(neg(wbc), add(hgb, mch))), neg(sub(add(rbc, mch), sub(plt, mcv))))))",0.0094,0.5097,0.0149,-0.0055
9,"mul(div(div(log(neg(baso_pct)), mul(neg(mch), sub(mchc, mcv))), sub(div(log(rdw), neg(eos_pct)), mul(sqrt(rbc), log(rdw)))), div(sqrt(sqrt(div(wbc, rbc))), add(log(sqrt(lym_pct)), mul(mul(rdw, mch), div(baso_pct, eos_pct)))))",0.0112,0.5226,0.0146,-0.0034
10,"add(add(neg(add(neg(div(mchc, mono_pct)), log(add(rbc, -0.855)))), sqrt(sub(add(div(0.514, mono_pct), div(mcv, 0.141)), add(div(baso_pct, hgb), sub(0.568, rdw))))), mul(neg(div(add(sqrt(hgb), sqrt(-0.849)), neg(sub(lym_pct, baso_pct)))), mul(add(neg(sqrt(plt)), log(add(lym_pct, mcv))), log(neg(add(rdw, wbc))))))",0.0099,0.5176,0.0155,-0.0056
11,"add(mul(sub(neg(add(sqrt(plt), sqrt(rbc))), add(neg(div(wbc, plt)), log(neg(plt)))), log(log(add(mul(hgb, lym_pct), div(mchc, rbc))))), div(sub(sqrt(log(log(lym_pct))), mul(div(neg(mch), sub(hgb, neut_pct)), add(mul(mchc, neut_pct), log(mono_pct)))), sub(sqrt(sub(log(mcv), sub(mch, hgb))), neg(log(neg(rdw))))))",0.0104,0.5269,0.0151,-0.0047
