Generation,Current_Best_Formula,Current_Best_AUC_PR,Is_New_Best,Beats_Baseline
0,"neg(div(div(eos_pct, eos_pct), add(neut_pct, lym_pct)))",0.1539,True,True
1,"neg(sub(sqrt(add(mch, mono_pct)), sqrt(mchc)))",0.1651,True,True
2,"mul(log(add(lym_pct, -0.247)), mul(neg(sub(sqrt(add(mch, mono_pct)), sqrt(mchc))), add(hgb, mono_pct)))",0.1676,True,True
5,"mul(log(add(lym_pct, -0.247)), mul(neg(sub(sqrt(add(mch, mono_pct)), sqrt(mchc))), add(hgb, mono_pct)))",0.1676,False,True
6,"neg(sub(sub(sqrt(add(mch, add(div(add(mch, mcv), rdw), mono_pct))), sqrt(mchc)), sqrt(mchc)))",0.1685,True,True
7,"neg(neg(sub(sub(sqrt(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), mono_pct)), sqrt(mchc)), sqrt(mchc))))",0.1692,True,True
9,"neg(neg(sub(sub(sqrt(add(div(add(mch, mcv), sub(sqrt(add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, mcv), rdw), mono_pct)), sqrt(mchc))), mono_pct), mono_pct)), sqrt(mchc))), mono_pct)), sqrt(mchc)), sqrt(add(mch, mono_pct)))))",0.17,True,True
10,"neg(neg(sub(sub(sqrt(add(div(add(mch, mcv), sub(sqrt(add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, mcv), rdw), mono_pct)), sqrt(mchc))), mono_pct), mono_pct)), sqrt(mchc))), mono_pct)), sqrt(mchc)), sqrt(add(mch, mono_pct)))))",0.17,False,True
12,"neg(sub(sub(sqrt(add(mch, add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), mono_pct))), sqrt(mchc)), sqrt(mchc)))",0.1701,True,True
15,"neg(sub(sub(sqrt(add(mch, add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), mono_pct))), sqrt(mchc)), sqrt(mchc)))",0.1701,False,True
20,"neg(sub(sub(sqrt(add(mch, add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), mono_pct))), sqrt(mchc)), sqrt(mchc)))",0.1701,False,True
25,"neg(sub(sub(sqrt(add(mch, add(add(div(add(mch, mcv), sub(sqrt(add(div(add(mch, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), mono_pct))), sqrt(mchc)), sqrt(mchc)))",0.1701,False,True
27,"div(mchc, add(div(mcv, sub(sqrt(add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), sub(neg(log(hct)), log(div(eos_pct, mch)))))",0.1716,True,True
29,"div(mchc, add(div(mcv, sub(sqrt(add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), sub(sub(sqrt(add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc)), log(div(eos_pct, mch)))))",0.1721,True,True
30,"div(mchc, add(div(mcv, sub(sqrt(add(div(add(mchc, add(mch, mcv)), rdw), mono_pct)), sqrt(mchc))), sub(sub(neg(log(hct)), log(div(eos_pct, mch))), log(div(eos_pct, mch)))))",0.1727,True,True
31,"div(mchc, div(mchc, sqrt(add(div(mcv, sub(sqrt(add(div(add(mchc, mchc), rdw), mono_pct)), sqrt(mchc))), sub(mono_pct, log(div(log(div(eos_pct, mch)), mch)))))))",0.1735,True,True
