Disease,Config_Used,Best_GP_Formula,Best_GP_AUC_PR,Best_GP_AUC_ROC,Winning_Generation,Total_Generations,Beats_Baseline,Timestamp,Split_Salt,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_Selected,Frozen_Test_AUC_PR_Final,Num_Features_Best,Baseline_AUC_PR_At_K,Delta_vs_Baseline_K,auc_pr,auc_roc,AUC_PR_CI_Low,AUC_PR_CI_High,AUC_ROC_CI_Low,AUC_ROC_CI_High
t2d,large,"mul(mul(sqrt(rdw), mchc), mchc)",0.1682,0.6048,2,22,False,,,,,,,,,,,,0.1682,0.6048,0.1614,0.1762,0.5955,0.6143
t2d,medium,"add(sub(div(mchc, -0.238), mchc), mcv)",0.1674,0.5871,0,10,False,,,,,,,,,,,,0.1674,0.5871,0.16,0.1762,0.5772,0.5967
t2d,small,"add(sub(div(mchc, -0.238), mchc), mcv)",0.1674,0.5871,0,5,False,,,,,,,,,,,,0.1674,0.5871,0.16,0.1762,0.5772,0.5967
t2d,small,"add(add(add(mcv, add(add(add(mcv, div(hgb, 0.879)), div(hgb, 0.879)), div(mchc, -0.238))), div(hgb, 0.879)), div(mchc, -0.238))",0.1745,0.5998,7,12,True,2026-05-02 23:53:36,,0.166735,0.003125,0.160609,0.172861,False,,,,,0.1745,0.5998,0.1667,0.1826,0.5902,0.6093
t2d,medium,"div(sub(sub(sub(rdw, mcv), rbc), mcv), sub(sub(mchc, sqrt(sub(sub(sub(sub(rdw, mcv), rbc), rbc), mcv))), rbc))",0.1743,0.6045,21,31,True,2026-05-02 23:53:36,,0.167554,0.002918,0.161834,0.173275,False,,,,,0.1743,0.6045,0.1663,0.1819,0.5953,0.6135
t2d,large,"div(mchc, div(mcv, div(mchc, div(mcv, mul(div(add(sub(div(mcv, mul(div(add(sub(div(mcv, mchc), mchc), mcv), div(mcv, mul(rdw, div(mchc, div(mcv, mul(rdw, mchc)))))), mchc)), mchc), mcv), div(mcv, mul(rdw, div(mchc, div(add(rdw, mchc), div(mcv, div(mcv, mul(div(add(sub(div(mcv, add(mchc, -0.736)), mchc), mcv), div(mcv, mul(rdw, div(mchc, div(mcv, mul(rdw, mchc)))))), mchc)))))))), mchc)))))",0.1863,0.629,19,39,True,2026-05-02 23:53:36,,0.183621,0.006117,0.171632,0.195609,True,0.1863,,,,0.1679,0.6193,0.1615,0.1755,0.6107,0.6279
t2d,small,"add(add(add(mcv, add(add(add(mcv, div(hgb, 0.879)), div(hgb, 0.879)), div(mchc, -0.238))), div(hgb, 0.879)), div(mchc, -0.238))",0.1706,0.5981,7,12,False,2026-05-03 01:40:15,_seed2,0.167584,0.002969,0.161763,0.173404,False,,,,,0.1745,0.5998,0.1667,0.1826,0.5902,0.6093
t2d,medium,"div(mchc, div(log(div(mchc, sub(add(sub(rdw, mcv), mch), rbc))), mcv))",0.1712,0.6007,9,19,True,2026-05-03 01:40:15,_seed2,0.169577,0.002325,0.165021,0.174133,False,,,,,0.1549,0.5809,0.1488,0.1618,0.5712,0.5898
t2d,large,"mul(mul(mul(rdw, div(mchc, add(rdw, mchc))), div(mchc, add(rdw, mchc))), mul(mul(mul(rdw, mchc), div(div(div(mchc, add(rdw, mchc)), add(rdw, mchc)), add(rdw, mchc))), mul(mul(mul(rdw, div(mchc, add(rdw, mchc))), div(mchc, add(rdw, mchc))), mul(mul(mul(rdw, mchc), div(div(div(div(mchc, add(rdw, mchc)), add(rdw, mchc)), add(rdw, mchc)), add(rdw, mchc))), div(mchc, add(add(add(rdw, add(rdw, add(add(rdw, mchc), mchc))), add(rdw, add(rdw, add(add(rdw, mchc), mchc)))), mcv))))))",0.1934,0.6381,33,53,True,2026-05-03 01:40:15,_seed2,0.190881,0.003727,0.183576,0.198186,True,0.1934,,,,0.1971,0.646,0.1881,0.2057,0.6367,0.6553
t2d,small,"add(add(mcv, div(div(div(div(div(hgb, 0.879), 0.879), 0.879), 0.879), 0.879)), div(mchc, -0.238))",0.1658,0.5889,12,17,False,2026-05-04 04:00:49,saltsalt,0.168854,0.004121,0.160778,0.176931,False,,,,,0.1745,0.6003,0.1666,0.1827,0.5907,0.6098
t2d,medium,"div(div(sub(mchc, sqrt(wbc)), mchc), div(log(div(mchc, sub(add(sub(rdw, mcv), mch), rbc))), mcv))",0.1698,0.5993,17,27,False,2026-05-04 04:00:49,saltsalt,0.171228,0.003736,0.163906,0.17855,False,,,,,0.1603,0.5883,0.1535,0.1675,0.5793,0.5978
t2d,large,"mul(mul(mch, mul(sub(add(div(wbc, mch), neg(rdw)), div(add(rdw, mchc), neg(plt))), div(mchc, sub(sub(add(rdw, mchc), add(sub(rbc, mchc), mcv)), rbc)))), mchc)",0.1704,0.6039,17,37,False,2026-05-04 04:00:49,saltsalt,0.17422,0.003217,0.167916,0.180525,True,0.1704,,,,0.1758,0.6115,0.1686,0.1845,0.6021,0.6202
t2d,small,"add(add(mcv, div(div(div(hgb, 0.879), 0.879), 0.879)), div(mchc, -0.238))",0.1745,0.5998,7,12,True,2026-05-24 03:10:50,,0.166623,0.003103,0.160541,0.172704,False,,3.0,0.1763,-0.0018,0.1743,0.599,0.1664,0.1824,0.5892,0.6087
t2d,medium,"div(sub(sub(sub(sub(rdw, mcv), rbc), rbc), mcv), sub(sub(mchc, sqrt(wbc)), rbc))",0.1743,0.6045,21,31,True,2026-05-24 03:10:50,,0.167592,0.003697,0.160346,0.174837,False,,5.0,0.1766,-0.0023,0.173,0.6012,0.1647,0.1808,0.5913,0.61
t2d,large,"div(mchc, div(mcv, div(mchc, div(mcv, mul(div(add(sub(div(mcv, div(mchc, div(mcv, mul(div(add(sub(div(mcv, mchc), mchc), mcv), div(mcv, mul(rdw, div(mchc, div(mcv, mul(rdw, mchc)))))), mchc)))), mchc), mcv), div(mcv, mul(rdw, div(mchc, div(mcv, mul(rdw, mchc)))))), mchc)))))",0.1863,0.629,19,39,True,2026-05-24 03:10:50,,0.181416,0.006777,0.168134,0.194699,True,0.1821,3.0,0.1763,0.01,0.1692,0.6163,0.1623,0.1769,0.6072,0.6251
