formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(mch + 0.01) / (mcv + 0.01) * (plt + 0.01),0.5898,0.0191,0.0121,0.4219,0.0235,0.0542,0.0185,0.0119,0.0098,blind,0.3,crhn,2026-06-07T02:36:37.570181,3
plt + (rdw - 100) / 100,0.5785,0.0181,0.0108,0.375,0.0211,0.0486,0.0176,0.0109,0.0096,blind,1.0,crhn,2026-06-07T02:36:37.572621,2
plt / (mcv + 0.01),0.5832,0.0181,0.0105,0.4219,0.0205,0.0479,0.0191,0.0112,0.0103,blind,1.0,crhn,2026-06-07T02:36:37.573958,2
(mch + mchc + mcv) / (rbc + 0.01) - plt,0.5766,0.018,0.0114,0.4062,0.0222,0.0514,0.0183,0.011,0.01,seeded,0.3,crhn,2026-06-07T02:36:37.575250,5
(plt - rbc) / (rbc + 0.01),0.5838,0.0168,0.0112,0.5781,0.022,0.052,0.0118,0.0113,0.0099,blind,0.3,crhn,2026-06-07T02:36:37.569775,2
(plt - rbc) / (plt + rbc + 0.01),0.5838,0.0168,0.0112,0.5781,0.0221,0.0522,0.0118,0.0113,0.0099,seeded,1.0,crhn,2026-06-07T02:36:37.577839,2
(hgb - mch) / (mchc + 0.01) * plt,0.5776,0.0164,0.0102,0.5312,0.02,0.0473,0.0128,0.0112,0.0096,seeded,0.7,crhn,2026-06-07T02:36:37.575589,4
(rdw + 0.1) * (plt + 0.1) / (hct + 0.01),0.5781,0.0164,0.0111,0.6406,0.0219,0.0521,0.0118,0.0106,0.0098,seeded,1.0,crhn,2026-06-07T02:36:37.577843,3
(mchc - mch) / (mchc + 0.01) + (plt*rdw)/(mchc + 0.01),0.5585,0.0157,0.0095,0.3906,0.0185,0.0433,0.0136,0.0094,0.0095,blind,0.7,crhn,2026-06-07T02:36:37.571449,4
(hgb + mch + mchc + rbc) / (plt + rdw + 0.01),0.5693,0.0155,0.0099,0.5781,0.0195,0.0464,0.0167,0.0095,0.0095,seeded,0.7,crhn,2026-06-07T02:36:37.576540,6
plt * rdw / (rbc + 0.01),0.5747,0.0155,0.0103,0.6406,0.0202,0.0482,0.0123,0.0122,0.0096,blind,0.7,crhn,2026-06-07T02:36:37.570919,3
(hgb + mchc) / (plt + rdw + 0.01),0.5683,0.0155,0.0114,0.3594,0.0221,0.0505,0.015,0.0095,0.0094,seeded,0.7,crhn,2026-06-07T02:36:37.576544,4
(rdw * plt) / (hgb + 0.01),0.565,0.0152,0.0103,0.5156,0.0202,0.0478,0.0121,0.0104,0.0093,blind,0.3,crhn,2026-06-07T02:36:37.569780,3
(mchc - mch) / (mcv + 0.01) * (plt + 0.01),0.5915,0.0145,0.0141,0.5312,0.0275,0.0638,0.0182,0.0153,0.0092,blind,0.3,crhn,2026-06-07T02:36:37.570186,4
(mch * mcv) / (rbc + 0.01) * (plt + 0.01),0.5777,0.0143,0.0093,0.6719,0.0184,0.0442,0.0127,0.0108,0.0092,seeded,0.7,crhn,2026-06-07T02:36:37.576110,4
sqrt(hct * (plt - 0.01)) / (mchc + 0.01),0.5472,0.0121,0.0102,0.2969,0.0198,0.0449,0.0172,0.0091,0.0083,seeded,0.7,crhn,2026-06-07T02:36:37.577118,3
(mcv - mchc) / (mchc + 0.01),0.5887,0.0119,0.0101,0.5938,0.0198,0.0472,0.0125,0.0128,0.0092,blind,0.3,crhn,2026-06-07T02:36:37.569773,2
(mchc - mcv) / (mcv + 0.01),0.5887,0.0119,0.0101,0.5938,0.0198,0.0472,0.0125,0.0128,0.0092,seeded,1.0,crhn,2026-06-07T02:36:37.578159,2
(mch - mchc) * (plt / (wbc + 0.01)),0.5577,0.0106,0.0105,0.4688,0.0206,0.0483,0.0171,0.0106,0.0091,blind,0.7,crhn,2026-06-07T02:36:37.571827,4
(mch + mchc + mcv) / (hct + 0.01),0.5082,0.01,0.008,0.8438,0.0159,0.0387,0.0078,0.0079,0.0087,blind,1.0,crhn,2026-06-07T02:36:37.573949,4
(mchc - mcv) / (mchc + mcv + 0.01) * (wbc + 0.01) / (plt - 0.01),0.5523,0.0098,0.01,0.3906,0.0195,0.0454,0.0132,0.0094,0.0086,seeded,0.7,crhn,2026-06-07T02:36:37.577113,4
(hgb + 0.01) / (hct + 0.01) * (wbc + 0.01),0.5338,0.0097,0.008,0.9844,0.0159,0.0388,0.0098,0.0086,0.0078,seeded,0.3,crhn,2026-06-07T02:36:37.574868,3
(hgb - mch) / (mchc - mcv) * (plt - 100000),0.5731,0.0096,0.01,0.75,0.0197,0.0474,0.0104,0.0097,0.0092,blind,0.7,crhn,2026-06-07T02:36:37.571824,5
sqrt(mch * mchc * rdw / (hgb + 0.01)) * (plt / (wbc + 0.01)),0.5433,0.0096,0.0096,0.4219,0.0187,0.0439,0.012,0.0083,0.0084,blind,1.0,crhn,2026-06-07T02:36:37.574442,6
(mch + 0.01) / (mcv + 0.01) * (wbc + 0.01),0.5331,0.0096,0.008,0.9844,0.0159,0.0388,0.0099,0.0086,0.0079,blind,0.3,crhn,2026-06-07T02:36:37.569981,3
(mchc - mch) / (mchc + mch + 0.01) * (rdw + 0.01),0.5412,0.0095,0.011,0.4688,0.0216,0.0505,0.0099,0.0109,0.0084,seeded,0.3,crhn,2026-06-07T02:36:37.574866,3
(mchc - mcv) / (mchc + mcv + 0.01) + (plt + 0.01) / (wbc + 0.01),0.5433,0.0094,0.0086,0.3438,0.0168,0.0392,0.0128,0.0082,0.009,blind,0.3,crhn,2026-06-07T02:36:37.569590,4
rdw * (wbc + 0.01) / (mcv + 0.01),0.5255,0.0093,0.0079,0.9531,0.0156,0.0381,0.0091,0.0094,0.0078,blind,0.3,crhn,2026-06-07T02:36:37.569977,3
hgb / (mch + 0.01) - (wbc + 0.01) * (rdw + 0.01),0.5204,0.0092,0.0081,0.9844,0.016,0.039,0.0099,0.009,0.0078,blind,0.3,crhn,2026-06-07T02:36:37.569573,4
hgb * mchc / (mcv + 0.01),0.5539,0.0092,0.0099,0.6719,0.0195,0.0468,0.0088,0.0092,0.0098,blind,0.3,crhn,2026-06-07T02:36:37.569974,3
sqrt(hgb) * (plt*rdw) / (wbc + 0.01),0.5447,0.0092,0.0082,0.3594,0.0159,0.0374,0.0095,0.0084,0.0089,blind,0.7,crhn,2026-06-07T02:36:37.571451,4
(mch / (mcv + 0.01)) * (rdw + 0.01) - (hct + 0.01) * (wbc + 0.01),0.5251,0.0091,0.008,0.9688,0.0159,0.0388,0.01,0.0086,0.0078,blind,0.3,crhn,2026-06-07T02:36:37.569587,5
(hgb - mch) * (rdw / (wbc + 0.01)),0.5299,0.0091,0.0079,0.9688,0.0157,0.0383,0.0085,0.009,0.0082,blind,0.7,crhn,2026-06-07T02:36:37.571832,4
(hct - mcv) / (hct + mcv + 0.01) * (wbc + 0.01),0.5237,0.0091,0.008,0.9844,0.0159,0.0388,0.0105,0.0085,0.008,seeded,0.3,crhn,2026-06-07T02:36:37.575253,3
(hgb - mch) / (mchc + 0.01),0.525,0.0089,0.0083,0.5938,0.0165,0.0395,0.0077,0.0092,0.0086,blind,0.3,crhn,2026-06-07T02:36:37.569770,3
