formula,strategy,temperature,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(mch - mchc) / (mchc + 0.01) * (plt + 0.01),seeded,1.0,0.015723144983513515,0.019827,0.005583,0.008883,0.03077,0.0148
(mchc - mch) / (mcv - mch) * (plt + 0.01),seeded,0.3,0.01576533468046125,0.018844,0.003277,0.012422,0.025266,
(mch - mchc) / (mcv + 0.01) * (plt - hgb),blind,0.7,0.015646324399725447,0.018672,0.003403,0.012003,0.025342,
(mch + mchc) / (mcv + 0.01) * (plt + 0.01),seeded,0.3,0.014685599460139724,0.016671,0.003426,0.009955,0.023386,
(plt - mcv) / (mcv + 0.01)  # thrombocytosis index,blind,1.0,0.01463414631900756,0.016645,0.002468,0.011808,0.021483,
mch * (1 - mchc) / (mcv + 0.01) * plt,blind,0.7,0.014443424984821884,0.016342,0.003998,0.008506,0.024178,
plt * (1 - hct/hgb),blind,0.7,0.013106974884277561,0.015858,0.003455,0.009086,0.022629,
hgb * (mchc / mcv) - plt,seeded,0.3,0.013585941145053649,0.015363,0.002812,0.009852,0.020874,
hgb * (1 - hct) * (1 - mch) / plt,blind,0.7,0.011056072129065586,0.015245,0.006202,0.003089,0.027401,
(hct - hgb) / (mchc + 1) * (plt + 0.01),seeded,1.0,0.013171120104075458,0.014534,0.001529,0.011538,0.01753,
(hgb - mchc) * (plt / (hct + 0.01)),seeded,0.7,0.011585928385897226,0.014025,0.004941,0.004342,0.023708,
(rdw * plt) / (mcv + 0.01),seeded,1.0,0.012564843065660657,0.014007,0.001025,0.011998,0.016016,
(hgb - 0.01) * rdw * plt / (wbc + 0.01),blind,1.0,0.011875791217856223,0.013882,0.005765,0.002582,0.025182,
(hct - hgb) * (plt - hgb) / (wbc + 0.01),blind,0.7,0.01206262068902666,0.013822,0.004757,0.004497,0.023146,
(plt - wbc) / (wbc + 0.01),blind,0.3,0.011927853392631521,0.013721,0.005164,0.003599,0.023842,
(mch + 0.01) * (mchc + 0.01) * (mcv + 0.01) * (plt / 100000),blind,0.7,0.012150224942569817,0.013716,0.003798,0.006272,0.021161,
(plt - rbc) / (rbc + 0.01),blind,0.3,0.011214640467535366,0.013561,0.003973,0.005773,0.021349,
(sqrt(rdw) * plt * (wbc - 7000)) / (hgb + 0.01),blind,1.0,0.011230133271097096,0.013493,0.002346,0.008895,0.018091,
(rdw * plt) / (hgb + 0.01),blind,0.3,0.010514296441533587,0.01227,0.001293,0.009735,0.014805,
(mcv - mchc) / (mchc + 0.01),blind,0.3,0.010100695029272692,0.011285,0.002919,0.005565,0.017006,
