formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(mcv - mchc) / (mcv + mchc + 0.01) * rbc,0.6349,0.0139,0.0053,0.5862,0.0105,0.0257,0.0052,0.0051,0.0046,seeded,0.7,lup,2026-06-07T02:40:24.268890,3
(mchc - mch) / (mch + 0.01) * (plt + rbc) / (wbc + 0.01),0.5669,0.0104,0.0037,0.2414,0.0072,0.0172,0.0049,0.0045,0.0039,seeded,0.3,lup,2026-06-07T02:40:24.267201,5
(hgb - hct) * (plt / (wbc + 0.01)) * (rdw + 0.01),0.5487,0.0095,0.0056,0.2414,0.011,0.0257,0.006,0.0037,0.0041,blind,0.7,lup,2026-06-07T02:40:24.264161,5
(hgb - 12.0) * (plt - 150.0) / (wbc - 4.0),0.5259,0.0085,0.0045,0.3448,0.0088,0.0212,0.0046,0.0045,0.0034,blind,1.0,lup,2026-06-07T02:40:24.265504,3
(rbc - 7) * (plt - 100) * (wbc - 4) / (hct + 0.01),0.5658,0.0083,0.007,0.2069,0.0136,0.031,0.0077,0.0049,0.0032,seeded,0.7,lup,2026-06-07T02:40:24.268450,4
(rdw + 0.01) * (plt / (wbc + 0.01)) * (mchc + 0.01),0.5877,0.0081,0.0045,0.4138,0.0088,0.0214,0.0058,0.0041,0.0043,blind,0.7,lup,2026-06-07T02:40:24.264172,4
(mcv - mchc) / (mcv + 0.01) * (plt + rbc) / (wbc + 0.01),0.5681,0.0079,0.0059,0.2069,0.0114,0.0263,0.0057,0.0042,0.0041,seeded,0.3,lup,2026-06-07T02:40:24.267212,5
(hgb - mch) / mchc,0.5649,0.0071,0.0042,0.5862,0.0083,0.0203,0.0038,0.004,0.0044,blind,0.7,lup,2026-06-07T02:40:24.264648,3
(hct - 0.3) * (mchc - 28) / (wbc - 0.01),0.5558,0.0069,0.0076,0.3103,0.0148,0.0344,0.0076,0.0038,0.0036,blind,0.3,lup,2026-06-07T02:40:24.263191,3
(plt - 150.0) * (hct - 30.0) / (wbc - 4.0),0.5515,0.0068,0.0055,0.2069,0.0107,0.0248,0.0054,0.0039,0.004,blind,1.0,lup,2026-06-07T02:40:24.265515,3
sqrt(rdw * rdw) / (mchc + 0.01) * (hgb - hct) / (hgb + 0.01),0.5007,0.0064,0.003,0.5862,0.006,0.0149,0.0054,0.0037,0.0031,seeded,1.0,lup,2026-06-07T02:40:24.270641,4
(mchc - mch) / (mchc + 0.01) * (wbc + 0.01),0.561,0.0064,0.0049,0.3793,0.0097,0.0234,0.0058,0.0043,0.0036,blind,0.7,lup,2026-06-07T02:40:24.264167,3
plt * (wbc - 0.01),0.5572,0.0058,0.0073,0.2414,0.0142,0.0326,0.0055,0.0044,0.0035,blind,0.7,lup,2026-06-07T02:40:24.264380,2
(hct - 0.01) * (hgb - 0.01),0.6041,0.0056,0.0047,0.7931,0.0093,0.0228,0.006,0.0051,0.0047,seeded,0.7,lup,2026-06-07T02:40:24.267721,2
(hgb + 0.01) * (hct + 0.01) * (plt - 0.01) / (rdw + 0.01),0.5578,0.0053,0.0058,0.3103,0.0114,0.0269,0.0059,0.0042,0.0036,blind,0.7,lup,2026-06-07T02:40:24.263598,4
(mch - 28) * (mcv - 80) / (wbc + 0.01),0.561,0.0053,0.0063,0.3448,0.0124,0.0294,0.0062,0.0043,0.0039,seeded,1.0,lup,2026-06-07T02:40:24.269248,3
hct / hgb,0.5631,0.0052,0.0037,0.6207,0.0073,0.018,0.0062,0.0042,0.0037,blind,0.7,lup,2026-06-07T02:40:24.264645,2
(hct - 0.3) * (plt - 100) / (wbc - 0.01),0.5118,0.0051,0.0042,0.3448,0.0084,0.0202,0.0039,0.004,0.0036,blind,0.3,lup,2026-06-07T02:40:24.263182,3
(hct - hgb) / (mchc + 0.01),0.6346,0.0051,0.0052,0.5517,0.0103,0.025,0.0062,0.0055,0.0049,blind,1.0,lup,2026-06-07T02:40:24.265841,3
plt * (rbc - 0.01),0.53,0.005,0.0061,0.1724,0.0117,0.0266,0.0058,0.0039,0.0037,seeded,0.7,lup,2026-06-07T02:40:24.267726,2
(hct - 0.01) * (hgb - 0.01) * (plt - 0.01) * (rdw - 0.01),0.5533,0.0049,0.0071,0.2069,0.0137,0.0311,0.0052,0.004,0.0041,blind,0.7,lup,2026-06-07T02:40:24.263595,4
plt / (hgb + 0.01) * (1 - rdw / 100),0.5137,0.0047,0.0051,0.4828,0.0101,0.0246,0.0045,0.0043,0.0034,seeded,1.0,lup,2026-06-07T02:40:24.269782,3
(hgb - mchc) / (mch + 0.01) * (plt - 300),0.51,0.0047,0.0054,0.1379,0.0105,0.0235,0.0065,0.0033,0.0034,blind,1.0,lup,2026-06-07T02:40:24.266503,4
(rdw - mcv) / (rdw + mcv + 0.01) * plt,0.5075,0.0047,0.0053,0.069,0.0099,0.0203,0.0057,0.0035,0.0033,seeded,0.7,lup,2026-06-07T02:40:24.268897,3
(plt - hgb/100) / (hct/100 + 0.01),0.5149,0.0047,0.0056,0.3448,0.0109,0.0261,0.0053,0.0045,0.0034,seeded,0.7,lup,2026-06-07T02:40:24.268086,3
rdw * (mchc - mcv),0.5321,0.0046,0.004,0.6897,0.0079,0.0194,0.0043,0.0037,0.0038,blind,0.7,lup,2026-06-07T02:40:24.264378,3
(hgb - 100) + (wbc + 0.01) + (plt - 100000),0.5115,0.0046,0.0029,0.0345,0.0054,0.0109,0.0057,0.0031,0.0033,seeded,1.0,lup,2026-06-07T02:40:24.269255,3
(hgb * mchc) / (mcv + 0.01) * (plt - 300),0.5149,0.0045,0.0047,0.1724,0.0091,0.0211,0.0047,0.0044,0.0033,blind,1.0,lup,2026-06-07T02:40:24.266513,4
