formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
sqrt(mchc) * rbc / (hgb + 0.01),0.5057,0.0095,0.0054,0.463,0.0108,0.026,0.0062,0.0054,0.0056,seeded,0.7,psr,2026-05-24T02:57:03.487042,3
mcv + rdw * (hgb + plt) / (wbc + 0.01),0.5191,0.0078,0.006,0.5,0.0118,0.0285,0.0062,0.0058,0.0057,blind,0.3,psr,2026-05-24T02:57:03.481839,5
hct + hgb - mchc + plt * rdw / (wbc + 0.01),0.5151,0.0078,0.0058,0.4753,0.0115,0.0276,0.0067,0.0058,0.0057,blind,0.3,psr,2026-05-24T02:57:03.481837,6
(hgb + mchc) * rdw - wbc,0.6104,0.0078,0.0067,0.6975,0.0132,0.0322,0.0092,0.0083,0.0067,blind,0.7,psr,2026-05-24T02:57:03.482795,4
sqrt(rdw) * plt * (mchc / (hct + 0.01)),0.529,0.0077,0.006,0.537,0.0118,0.0286,0.0072,0.0059,0.0055,seeded,1.0,psr,2026-05-24T02:57:03.487598,4
(mch - mchc) * plt / (rbc * 1000),0.521,0.0075,0.0102,0.0432,0.0165,0.0262,0.0068,0.0058,0.0055,blind,1.0,psr,2026-05-24T02:57:03.483466,4
(hgb + 0.01) * (rdw + 0.01) / (mchc + 0.01) * plt,0.5048,0.0073,0.0065,0.2099,0.0127,0.0291,0.0065,0.0057,0.0055,blind,0.7,psr,2026-05-24T02:57:03.482052,4
plt * (1 + (rdw - 15) * 0.02),0.5103,0.0072,0.0076,0.0556,0.0133,0.0245,0.0067,0.0058,0.0054,blind,1.0,psr,2026-05-24T02:57:03.483846,2
sqrt(rdw) * plt * (mchc/hgb),0.5209,0.0071,0.0062,0.4506,0.0123,0.0295,0.007,0.0057,0.0055,seeded,1.0,psr,2026-05-24T02:57:03.488204,4
plt * 1.5 + rdw,0.508,0.0071,0.0079,0.0617,0.0141,0.0262,0.0069,0.0057,0.0053,blind,0.7,psr,2026-05-24T02:57:03.482502,2
plt * rdw / (rbc * 1000),0.5265,0.0071,0.0058,0.5556,0.0114,0.0278,0.0067,0.0058,0.0056,blind,1.0,psr,2026-05-24T02:57:03.483457,3
(hct - 30) * (-1) + (hgb - 11) * (-1) + (plt - 300) * (0.5) + (rdw - 15) * (0.1),0.5116,0.007,0.0083,0.0679,0.0148,0.0279,0.0068,0.0057,0.0053,blind,1.0,psr,2026-05-24T02:57:03.483851,4
hgb + mch + hct - plt,0.5083,0.007,0.0078,0.0617,0.0138,0.0259,0.0068,0.0058,0.0054,blind,0.7,psr,2026-05-24T02:57:03.482784,4
(mch + mchc) * (plt + rdw) / (hgb + 0.01),0.5175,0.007,0.0074,0.0556,0.0131,0.0242,0.0069,0.0057,0.0055,blind,0.3,psr,2026-05-24T02:57:03.481843,5
sqrt(rdw * plt) / (mcv + 0.01),0.5193,0.0069,0.0061,0.5802,0.0121,0.0294,0.0067,0.0059,0.0055,blind,0.7,psr,2026-05-24T02:57:03.482792,3
sqrt(plt) * rbc / (hgb + 0.01),0.5094,0.0069,0.0058,0.4691,0.0114,0.0275,0.0062,0.0059,0.0052,seeded,0.7,psr,2026-05-24T02:57:03.487035,3
(hgb + 0.1) * (mchc + 3) * (mcv + 0.1) * (plt + 800) * (rdw + 15),0.5199,0.0068,0.0059,0.5309,0.0116,0.0281,0.0068,0.0057,0.0056,blind,1.0,psr,2026-05-24T02:57:03.483178,5
rbc * (mchc + plt) / (hct + 0.01),0.51,0.0068,0.0065,0.0494,0.0115,0.0213,0.0067,0.0059,0.0053,blind,0.3,psr,2026-05-24T02:57:03.481841,4
(hct - 35) * (mchc - 28) / (mcv + 1),0.5518,0.0068,0.0083,0.1235,0.0156,0.0327,0.0066,0.0066,0.0057,blind,0.7,psr,2026-05-24T02:57:03.482373,3
sqrt(rdw) * plt / (mchc + 0.01),0.501,0.0068,0.0066,0.0309,0.0109,0.0178,0.0061,0.0055,0.0054,seeded,0.7,psr,2026-05-24T02:57:03.487323,3
