formula,strategy,temperature,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(hgb + 0.1) * (mchc + 3) * (mcv + 0.1) * (plt + 800) * (rdw + 15),blind,1.0,0.0074757747593672255,0.007964,0.001366,0.005287,0.010641,0.0068
(hgb + 0.1) * (mchc + 0.1) * (mcv + 0.1) * (plt + 1000) * (rdw + 30),blind,1.0,0.007449076521120381,0.007952,0.001325,0.005355,0.01055,
(hgb + mchc) * rdw - wbc,blind,0.7,0.007384348156021876,0.007656,0.000782,0.006122,0.009189,
sqrt(mchc) * rbc / (hgb + 0.01),seeded,0.7,0.007196725936503696,0.007598,0.000634,0.006356,0.008841,
(hct - 30) * (-1) + (hgb - 11) * (-1) + (mch - 28) * (-1) + (mchc - 32) * (-1) + (mcv - 80) * (-1),blind,1.0,0.007081714480679086,0.007506,0.000619,0.006292,0.00872,
(hgb - 30) * (rdw + 1) / (mchc - 28),blind,0.7,0.007199869842505528,0.007466,0.000758,0.005981,0.008952,
(hct + 0.1) * (hgb + 0.1) * (mch + 0.1) * (plt + 500) * (rdw + 20),blind,1.0,0.006928384387074321,0.007397,0.001165,0.005114,0.009681,
hct * mchc / (rdw + plt + wbc),blind,0.7,0.006844964423241645,0.007219,0.001274,0.004721,0.009717,
sqrt(plt) * rbc / (hgb + 0.01),seeded,0.7,0.006912492235520483,0.007159,0.000768,0.005654,0.008664,
(hgb - 0.2) * (hct - 0.3) * rdw,blind,1.0,0.006736703559851942,0.007127,0.00098,0.005207,0.009047,
(hct - 35) * (mchc - 28) / (mcv + 1),blind,0.7,0.006495795259462396,0.007063,0.001178,0.004754,0.009372,
(hct - 30) * (-1) + (hgb - 11) * (-1) + (plt - 300) * (0.5) + (rdw - 15) * (0.1),blind,1.0,0.006613430832935773,0.007025,0.001401,0.004278,0.009771,
(hgb + mchc) / (rdw + plt),blind,0.7,0.006692256874927819,0.00695,0.000902,0.005183,0.008717,
plt * rbc / (hgb + 0.01),seeded,0.7,0.00669578134661858,0.006927,0.000761,0.005434,0.008419,
hgb + mch + hct - plt,blind,0.7,0.006597424625459101,0.00689,0.000982,0.004965,0.008815,
sqrt(rdw) * wbc / (hgb + 0.01),seeded,0.7,0.0066006382971965285,0.006841,0.000815,0.005244,0.008438,
sqrt(hct) * sqrt(mchc) * plt / (hgb + 0.01),seeded,0.7,0.006573146359479599,0.006809,0.000829,0.005184,0.008435,
sqrt(rdw) * plt / (mchc + 0.01),seeded,0.7,0.006554316543140723,0.006793,0.00086,0.005107,0.008479,
(rdw * plt + mchc) / (hgb + (0.01*wbc)),seeded,1.0,0.0065095323197852835,0.006791,0.001022,0.004787,0.008795,
rbc * (mchc + plt) / (hct + 0.01),blind,0.3,0.006526621232470702,0.006759,0.000694,0.005398,0.00812,
