formula,strategy,temperature,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(hgb - mchc) / (mchc + 0.01) * (plt + 0.01) * rdw,seeded,0.7,0.01335432259628019,0.01424,0.002699,0.00895,0.01953,0.0125
(rdw + mchc) / (hct + 0.01) * (plt - rbc),blind,0.3,0.013326305643182195,0.01421,0.002687,0.008944,0.019475,
(hgb - mchc) / (mchc + 0.01) * (plt + rdw),blind,0.3,0.013251724919848058,0.014133,0.00257,0.009095,0.019171,
(hct - hgb) / (plt + 0.01),seeded,1.0,0.013219692465185949,0.014118,0.002699,0.008829,0.019408,
(hct - mcv) / (mcv + 0.01) * (plt + 0.01) * rdw,seeded,0.7,0.013275702679329735,0.014093,0.002681,0.008839,0.019348,
(hgb + mchc + mcv) / (plt + rdw + wbc),blind,0.3,0.01306773638567853,0.014058,0.002507,0.009145,0.018971,
hct + hgb + mchc - mch - mcv - plt - rdw,blind,0.3,0.013066358621643476,0.013818,0.002341,0.00923,0.018407,
rdw * plt / (mchc + 0.01),blind,0.7,0.012904342170049245,0.013741,0.002601,0.008644,0.018839,
rdw * plt / (hgb + 0.01),blind,1.0,0.012860260411376596,0.013687,0.002505,0.008778,0.018596,
(hct - 0.3) * (plt - 1000) / (mchc - 25),seeded,0.3,0.012856797245462865,0.013657,0.002477,0.008803,0.018511,
(rdw + hct + plt) / (hgb + 0.01),blind,1.0,0.012791631104098308,0.013653,0.002431,0.008889,0.018417,
plt ** (rdw + 0.01) / (hgb + 0.01),blind,1.0,0.012414930280298046,0.013629,0.003302,0.007157,0.0201,
(hct - 0.2) * plt / (hgb + 0.01),seeded,0.7,0.012692207406508295,0.013519,0.002306,0.009,0.018037,
(mchc - mcv) / (mchc + mcv + 0.01) * plt,seeded,0.3,0.012598630875710322,0.013264,0.00223,0.008893,0.017635,
sqrt(rdw * plt) / (hgb + 0.01),seeded,0.3,0.012377356012845972,0.013128,0.002258,0.008702,0.017555,
(hgb - 12) * (plt - 150) + (rdw - 15) * (wbc - 4),seeded,0.7,0.012247065870459544,0.013064,0.002585,0.007998,0.018131,
(hct - 0.3) * (plt / 1000) / (mcv + 0.01),seeded,1.0,0.012135085208789746,0.012935,0.001958,0.009098,0.016772,
(hct + 100 - hgb) * (plt + 0.01) / (rdw + 0.01),blind,1.0,0.012170765169308612,0.012882,0.002034,0.008896,0.016868,
(hct + hgb + mchc) / (plt + rbc + 1000),seeded,0.3,0.01203676686513914,0.0128,0.002284,0.008323,0.017276,
(mchc - 30) * (rdw - 15) / (wbc + 0.01),seeded,0.3,0.011467665059770444,0.012047,0.001896,0.008331,0.015764,
