formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,strategy,temperature,disease,timestamp,num_features
(mch - mchc) / (mcv + 0.01),0.5684,0.1539,0.1531,0.5201,0.2365,0.3515,0.1747,0.1551,0.1408,blind,1.0,t2d,2026-05-24T03:10:52.514964,3
(hgb + mchc) / (mcv + 0.01),0.5509,0.149,0.1426,0.5543,0.2268,0.3514,0.1579,0.1441,0.1384,blind,1.0,t2d,2026-05-24T03:10:52.514176,3
(hct - 35) * (mchc - 28) / (wbc + 0.01),0.5579,0.1474,0.1552,0.4476,0.2305,0.3251,0.1615,0.1513,0.1385,blind,0.7,t2d,2026-05-24T03:10:52.513298,3
mcv + mch - rdw * rbc / (hct + 0.01),0.557,0.1457,0.149,0.4964,0.2292,0.3385,0.1616,0.1493,0.1393,blind,0.3,t2d,2026-05-24T03:10:52.510891,5
(mchc + 0.01) * (plt + 1000) * (rdw + 0.01) / (hct + 0.01),0.5795,0.1457,0.1552,0.6781,0.2526,0.4051,0.1488,0.1591,0.1506,blind,0.7,t2d,2026-05-24T03:10:52.511518,4
rdw * plt / (hct + 0.01),0.5345,0.1358,0.1437,0.4427,0.2169,0.3126,0.1426,0.1447,0.1347,blind,1.0,t2d,2026-05-24T03:10:52.514698,3
(hgb - 30) * (plt - 1000) / (hct + 0.01),0.5415,0.1357,0.1439,0.5907,0.2314,0.3644,0.1416,0.1457,0.1366,blind,0.7,t2d,2026-05-24T03:10:52.513285,3
(mchc + rdw) / (hct + plt),0.5144,0.1335,0.1459,0.1914,0.1656,0.1802,0.1412,0.1311,0.1283,blind,1.0,t2d,2026-05-24T03:10:52.514690,4
plt * mchc / (hgb + 0.01),0.52,0.1335,0.1391,0.4592,0.2135,0.3144,0.1441,0.1366,0.1304,seeded,0.7,t2d,2026-05-24T03:10:52.517253,3
rdw * plt / (hgb + 0.01),0.5291,0.1335,0.1421,0.4826,0.2196,0.3262,0.1386,0.1427,0.1342,blind,1.0,t2d,2026-05-24T03:10:52.514949,3
(hgb + mcv) * plt - (mch + mchc) / 2,0.5124,0.1331,0.1464,0.1704,0.1575,0.165,0.1385,0.13,0.1278,blind,1.0,t2d,2026-05-24T03:10:52.514682,5
