formula,strategy,temperature,train_auc_pr,cv_auc_pr_mean,cv_auc_pr_std,cv_auc_pr_ci95_low,cv_auc_pr_ci95_high,frozen_test_auc_pr
(mch - mchc) / (mcv + 0.01),blind,1.0,0.15514898940864216,0.155446,0.002548,0.150453,0.16044,0.1539
mcv + mch - rdw * rbc / (hct + 0.01),blind,0.3,0.1493026795122955,0.149602,0.002419,0.144861,0.154344,
(hgb + mchc) / (mcv + 0.01),blind,1.0,0.14824338029312464,0.148536,0.001926,0.144762,0.15231,
(mchc + 0.01) * (plt + 1000) * (rdw + 0.01) / (hct + 0.01),blind,0.7,0.14412815071374227,0.144274,0.001573,0.141191,0.147357,
(hct - 35) * (mchc - 28) / (wbc + 0.01),blind,0.7,0.14184837350184104,0.142067,0.003102,0.135987,0.148148,
rdw * plt / (hct + 0.01),blind,1.0,0.13882113270343305,0.139031,0.001613,0.13587,0.142192,
rdw * plt / (hgb + 0.01),blind,1.0,0.13676993737265075,0.136992,0.001634,0.13379,0.140195,
plt * mchc / (hgb + 0.01),seeded,0.7,0.13586567482741121,0.136097,0.001813,0.132542,0.139651,
(plt - 150) * (rdw - 15) / (hgb + 0.01),blind,1.0,0.13576811674012448,0.135944,0.002643,0.130763,0.141124,
plt * (rdw + 10) / (hgb + 0.01),blind,0.7,0.13543468627841257,0.135661,0.001676,0.132376,0.138947,
(rdw + plt) / (hgb + 0.01),blind,1.0,0.13378428624737165,0.134024,0.001752,0.13059,0.137457,
rbc * rdw + plt * (mchc + 0.01),blind,0.7,0.13341351514476554,0.133708,0.001885,0.130014,0.137402,
hct + hgb - mchc + plt * rdw / (wbc + 0.01),blind,0.3,0.13192308040798623,0.13212,0.002043,0.128116,0.136124,
rdw + plt - mch * mcv / (hct + 0.01),blind,0.3,0.13157397043072927,0.131872,0.001671,0.128596,0.135147,
(hgb - 12) + (plt - 1000) + (rdw - 15),blind,0.7,0.13136502009844628,0.13165,0.001773,0.128176,0.135125,
hct + mchc - rdw * rbc / (wbc + 0.01),blind,0.3,0.1311495635839408,0.131329,0.002634,0.126167,0.136492,
(hgb - 12) + (plt - 1000) + (rdw - 15) + (wbc - 4),blind,0.7,0.13103789810536517,0.131326,0.001736,0.127924,0.134728,
hgb * plt * rdw / (mchc + 0.01),blind,0.7,0.13037168853449765,0.130702,0.00169,0.12739,0.134015,
sqrt(rdw) * plt / (wbc + 0.01),seeded,1.0,0.13033519290074125,0.130525,0.002049,0.126508,0.134542,
(hgb - 30) * (plt - 1000) / (hct + 0.01),blind,0.7,0.12991757018262617,0.130165,0.001906,0.126429,0.1339,
