Disease,Split_Salt,Best_Method,Best_Formula,Best_AUC_PR,M1_Best_Formula,M1_Best_AUC_PR,M1_N_Features,M1_AUC_PR_Per_Feature,M2_Best_Formula,M2_Best_AUC_PR,M2_N_Features,M2_AUC_PR_Per_Feature,M3_Best_Formula,M3_Best_AUC_PR,M3_N_Features,M3_AUC_PR_Per_Feature,M4_Best_Formula,M4_Best_AUC_PR,M4_N_Features,M4_AUC_PR_Per_Feature,M5_Best_Formula,M5_Best_AUC_PR,M5_N_Features,M5_AUC_PR_Per_Feature
crhn,,Method2_Random,((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),0.0369,plt > 268.0,0.019,1,0.019,((((((((((((log(abs(baso_pct)+1)) / (abs(sqrt(abs(neut_pct)))+1e-6)) * (log(abs(wbc)+1))) + (log(abs(mcv)+1))) * (sqrt(abs(rdw)))) / (abs(mch)+1e-6)) / (abs(lym_pct)+1e-6)) - (sqrt(abs(hgb)))) / (abs((rbc**2))+1e-6)) * (sqrt(abs(mono_pct)))) + (sqrt(abs(eos_pct)))) - ((mchc**2))) * (log(abs(plt)+1)),0.0369,13,0.002838,"neg(mul(sqrt(add(plt, neg(mcv))), mul(sqrt(add(plt, plt)), sub(mul(sqrt(mcv), div(mcv, mchc)), add(rbc, mchc)))))",0.0353,4,0.008825,(mch + 0.01) / (mcv + 0.01) * (plt + 0.01),0.0191,3,0.006367,"mul(sqrt(add(sub(rdw, add(rbc, mchc)), mchc)), neg(mul(sqrt(mul(rbc, plt)), sub(rdw, add(sqrt(sub(rdw, add(sqrt(rbc), mchc))), mchc)))))",0.0354,4.0,0.00885
crhn,seed2,Method2_Random,(((((((((sqrt(abs(eos_pct))) * ((plt**2))) - (sqrt(abs(hgb)))) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) - ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6),0.0515,plt > 252.0,0.0143,1,0.0143,(((((((((sqrt(abs(eos_pct))) * ((plt**2))) - (sqrt(abs(hgb)))) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(mchc)+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(sqrt(abs(mono_pct)))+1e-6)) / (abs(log(abs(wbc)+1))+1e-6)) - ((mch**2))) / (abs(log(abs(mcv)+1))+1e-6),0.0515,10,0.00515,"div(mcv, mul(neg(mchc), mul(log(div(mcv, mul(mchc, plt))), log(mul(mcv, plt)))))",0.023,3,0.007667,(mchc - mch) / (mcv + 0.01) * (plt + 0.01),0.0212,4,0.0053,"mul(mcv, mul(mcv, mul(sqrt(mcv), mul(mcv, div(rdw, plt)))))",0.0261,3.0,0.0087
crhn,seed3,Method2_Random,(((((((plt**2)) + (wbc)) * ((hgb**2))) / (abs((mono_pct**2))+1e-6)) + (log(abs(hct)+1))) + (mch)) / (abs((rdw**2))+1e-6),0.0294,plt > 268.0,0.0164,1,0.0164,(((((((plt**2)) + (wbc)) * ((hgb**2))) / (abs((mono_pct**2))+1e-6)) + (log(abs(hct)+1))) + (mch)) / (abs((rdw**2))+1e-6),0.0294,7,0.0042,"mul(log(log(plt)), sqrt(mchc))",0.0181,2,0.00905,(mchc - mch) / (mcv + 0.01) * (plt + 0.01),0.0183,4,0.004575,"mul(sqrt(mcv), mul(sqrt(mcv), mul(sqrt(mcv), mul(sqrt(mcv), div(sqrt(mcv), sqrt(plt))))))",0.0249,2.0,0.01245
crhn,seed4,Method2_Random,((((((((((mcv) / (abs((eos_pct**2))+1e-6)) - (sqrt(abs(mono_pct)))) / (abs((hct**2))+1e-6)) - (sqrt(abs(neut_pct)))) + ((mch**2))) - (log(abs(rdw)+1))) / (abs(mchc)+1e-6)) + ((wbc**2))) * (log(abs(hgb)+1))) - ((rbc**2)),0.0293,plt > 244.0,0.015,1,0.015,((((((((((mcv) / (abs((eos_pct**2))+1e-6)) - (sqrt(abs(mono_pct)))) / (abs((hct**2))+1e-6)) - (sqrt(abs(neut_pct)))) + ((mch**2))) - (log(abs(rdw)+1))) / (abs(mchc)+1e-6)) + ((wbc**2))) * (log(abs(hgb)+1))) - ((rbc**2)),0.0293,11,0.002664,"mul(sqrt(mul(mchc, add(mchc, plt))), mchc)",0.02,2,0.01,(mchc - mch) / (mcv + 0.01) * (plt + 0.01),0.0161,4,0.004025,"add(mul(neg(mchc), sqrt(mul(mul(div(mul(div(plt, mcv), mchc), mcv), mchc), mchc))), mul(div(plt, mcv), div(plt, mcv)))",0.027,3.0,0.009
lup,,Method2_Random,((((((((hgb**2)) + (log(abs(lym_pct)+1))) - (hct)) * (log(abs(wbc)+1))) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) - (log(abs(plt)+1))) + (sqrt(abs(rdw))),0.0443,rbc < 4.0,0.0079,1,0.0079,((((((((hgb**2)) + (log(abs(lym_pct)+1))) - (hct)) * (log(abs(wbc)+1))) / (abs(rbc)+1e-6)) * (sqrt(abs(mchc)))) - (log(abs(plt)+1))) + (sqrt(abs(rdw))),0.0443,8,0.005538,"mul(log(add(lym_pct, -0.247)), mul(mul(plt, div(neg(div(plt, mul(mono_pct, hgb))), hgb)), div(mul(plt, div(plt, add(hct, hct))), mul(mono_pct, hgb))))",0.0143,5,0.00286,(mcv - mchc) / (mcv + mchc + 0.01) * rbc,0.0139,3,0.004633,"div(sqrt(add(sub(mono_pct, div(lym_pct, mono_pct)), div(sqrt(add(sub(mono_pct, div(lym_pct, mono_pct)), log(add(sub(mono_pct, div(lym_pct, mono_pct)), sqrt(plt))))), sub(sub(sub(wbc, hgb), sub(plt, neut_pct)), div(mul(mono_pct, hgb), lym_pct))))), sub(sub(sub(wbc, hgb), sub(plt, neut_pct)), div(mul(mono_pct, hgb), lym_pct)))",0.0143,6.0,0.002383
lup,seed2,Method2_Random,((((((((((((sqrt(abs(hgb))) - (rbc)) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs(log(abs(lym_pct)+1))+1e-6)) + ((neut_pct**2))) * (log(abs(mono_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) - ((wbc**2))) * (rdw)) + (mcv)) - ((mch**2))) + (sqrt(abs(plt)))) - (log(abs(baso_pct)+1)),0.059,rbc < 4.0,0.0099,1,0.0099,((((((((((((sqrt(abs(hgb))) - (rbc)) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs(log(abs(lym_pct)+1))+1e-6)) + ((neut_pct**2))) * (log(abs(mono_pct)+1))) / (abs(log(abs(mchc)+1))+1e-6)) - ((wbc**2))) * (rdw)) + (mcv)) - ((mch**2))) + (sqrt(abs(plt)))) - (log(abs(baso_pct)+1)),0.059,13,0.004538,"sub(sub(log(mul(plt, div(plt, mul(mono_pct, hgb)))), div(sub(hgb, mchc), sqrt(mono_pct))), sqrt(div(div(mul(plt, div(plt, mul(mono_pct, hgb))), mul(mono_pct, hgb)), sqrt(mchc))))",0.028,4,0.007,hct / hgb,0.0444,2,0.0222,"div(mul(plt, div(plt, mul(mono_pct, hgb))), hgb)",0.028,3.0,0.009333
lup,seed3,Method2_Random,((((((hgb**2)) + (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(plt)))+1e-6)) * (sqrt(abs(mono_pct)))) - ((hct**2))) / (abs((rbc**2))+1e-6),0.0488,mchc > 33.9,0.0081,1,0.0081,((((((hgb**2)) + (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(plt)))+1e-6)) * (sqrt(abs(mono_pct)))) - ((hct**2))) / (abs((rbc**2))+1e-6),0.0488,6,0.008133,"sub(mul(mono_pct, hgb), sqrt(div(div(mul(plt, mul(mono_pct, hgb)), sqrt(mchc)), sqrt(mchc))))",0.0215,4,0.005375,(mcv - mchc) / (mcv + mchc + 0.01) * rbc,0.0137,3,0.004567,"neg(mul(neg(mul(div(plt, sub(hgb, eos_pct)), mul(neg(log(neg(wbc))), div(sub(neg(neg(wbc)), div(mcv, eos_pct)), neg(mul(mono_pct, neg(plt))))))), mul(mul(div(mono_pct, sub(hgb, eos_pct)), mul(add(hgb, hgb), div(sub(sub(div(plt, sub(hgb, eos_pct)), mono_pct), div(mcv, eos_pct)), neg(plt)))), div(sub(mul(mono_pct, add(hgb, hgb)), div(mcv, eos_pct)), neg(wbc)))))",0.0375,6.0,0.00625
lup,seed4,Method2_Random,(((log(abs(hgb)+1)) * ((mono_pct**2))) + (log(abs(neut_pct)+1))) / (abs((rdw**2))+1e-6),0.0425,wbc < 5.7,0.0064,1,0.0064,(((log(abs(hgb)+1)) * ((mono_pct**2))) + (log(abs(neut_pct)+1))) / (abs((rdw**2))+1e-6),0.0425,4,0.010625,"neg(sub(sub(sqrt(sub(sqrt(sqrt(sub(mul(sqrt(sqrt(sub(mcv, neut_pct))), div(neut_pct, sqrt(sqrt(rbc)))), neut_pct))), mul(log(neg(wbc)), add(eos_pct, hct)))), sqrt(sqrt(sub(sub(sqrt(mul(mono_pct, wbc)), mul(log(sqrt(wbc)), sub(rbc, sqrt(sub(mul(sqrt(sqrt(sub(mcv, neut_pct))), div(neut_pct, sqrt(sqrt(rbc)))), neut_pct))))), neut_pct)))), log(neg(wbc))))",0.0143,7,0.002043,(plt - 150.0) * (hct - 30.0) / (wbc - 4.0),0.0243,3,0.0081,"div(neg(wbc), sub(sqrt(sqrt(sub(mcv, neg(wbc)))), mul(log(neg(wbc)), sub(div(neut_pct, hct), add(add(mul(log(neg(wbc)), sub(div(neut_pct, hct), add(baso_pct, hct))), div(rbc, neut_pct)), hct)))))",0.0177,6.0,0.00295
psr,,Method2_Random,(((sqrt(abs(mch))) / (abs(mcv)+1e-6)) * ((neut_pct**2))) - (sqrt(abs(mono_pct))),0.04,mch > 30.8,0.0134,1,0.0134,(((sqrt(abs(mch))) / (abs(mcv)+1e-6)) * ((neut_pct**2))) - (sqrt(abs(mono_pct))),0.04,4,0.01,"mul(sqrt(log(mcv)), mul(log(log(log(mchc))), log(add(log(mcv), add(log(mcv), hct)))))",0.0151,3,0.005033,(hgb - mchc) / (hct + 0.01) * (plt + 0.1),0.0137,4,0.003425,"mul(sqrt(sub(log(mcv), div(hgb, hgb))), mul(log(log(log(mchc))), log(add(mul(log(log(mcv)), log(mchc)), add(log(mchc), hct)))))",0.0151,4.0,0.003775
psr,seed2,Method2_Random,(((((((((((((hgb) + (sqrt(abs(mono_pct)))) + ((hct**2))) / (abs(log(abs(plt)+1))+1e-6)) * (sqrt(abs(lym_pct)))) - (mcv)) + (log(abs(rdw)+1))) / (abs(eos_pct)+1e-6)) - ((mch**2))) + (log(abs(rbc)+1))) * (mchc)) - ((wbc**2))) + (sqrt(abs(neut_pct)))) - (log(abs(baso_pct)+1)),0.0379,mchc > 33.3,0.0073,1,0.0073,(((((((((((((hgb) + (sqrt(abs(mono_pct)))) + ((hct**2))) / (abs(log(abs(plt)+1))+1e-6)) * (sqrt(abs(lym_pct)))) - (mcv)) + (log(abs(rdw)+1))) / (abs(eos_pct)+1e-6)) - ((mch**2))) + (log(abs(rbc)+1))) * (mchc)) - ((wbc**2))) + (sqrt(abs(neut_pct)))) - (log(abs(baso_pct)+1)),0.0379,14,0.002707,"add(mchc, hgb)",0.0177,2,0.00885,(hgb + mch + mchc) / (plt + 0.01),0.0088,4,0.0022,"add(add(sub(sub(add(neg(rbc), mch), baso_pct), baso_pct), add(mchc, hgb)), add(mchc, hgb))",0.0177,5.0,0.00354
