Timestamp,Disease,method,Variant,formula_display,formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,Best_Lit_Feature,Best_DD_Feature,Config_Used,Winning_Strategy,Winning_Temp
2026-05-24 10:53:48,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m1,lit,rdw > 16.0,rdw > 16.0,0.516,0.0325,0.0549,0.0707,0.0618,0.0669,0.0308,0.0308,0.0308,rdw,rdw,,,
2026-05-24 10:53:48,ra,m1,lit,rdw > 16.0,rdw > 16.0,0.516,0.0325,0.0549,0.0707,0.0618,0.0669,0.0308,0.0308,0.0308,rdw,rdw,,,
2026-05-24 10:53:48,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m1,dd,rdw > 13.6,rdw > 13.6,0.5686,0.0364,0.0422,0.4899,0.0778,0.1571,0.0422,0.0422,0.0308,rdw,rdw,,,
2026-05-24 10:53:48,ra,m1,dd,rdw > 13.6,rdw > 13.6,0.5686,0.0364,0.0422,0.4899,0.0778,0.1571,0.0422,0.0422,0.0308,rdw,rdw,,,
2026-05-24 10:53:48,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 10:53:48,ra,m2,random,((rbc**2)) / (abs(hct)+1e-6),((rbc**2)) / (abs(hct)+1e-6),0.6449,0.0546,0.0472,0.5808,0.0874,0.1782,0.0603,0.0482,0.0402,,,,,
2026-05-24 10:53:48,ra,m2,random,((rbc**2)) / (abs(hct)+1e-6),((rbc**2)) / (abs(hct)+1e-6),0.6449,0.0546,0.0472,0.5808,0.0874,0.1782,0.0603,0.0482,0.0402,,,,,
2026-05-24 10:53:48,ra,m2,random,(((wbc) + (sqrt(abs(mch)))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(log(abs(plt)+1))+1e-6),(((wbc) + (sqrt(abs(mch)))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(log(abs(plt)+1))+1e-6),0.5385,0.0352,0.0387,0.0556,0.0456,0.0511,0.034,0.0336,0.0322,,,,,
2026-05-24 10:53:48,ra,m2,random,((((wbc**2)) - (sqrt(abs(mchc)))) + (mcv)) - (rdw),((((wbc**2)) - (sqrt(abs(mchc)))) + (mcv)) - (rdw),0.5532,0.0363,0.0323,0.3535,0.0591,0.1182,0.0335,0.0355,0.034,,,,,
2026-05-24 10:53:48,ra,m2,random,(((((sqrt(abs(rdw))) * (sqrt(abs(mcv)))) - (plt)) - ((mchc**2))) / (abs((rbc**2))+1e-6)) * (hct),(((((sqrt(abs(rdw))) * (sqrt(abs(mcv)))) - (plt)) - ((mchc**2))) / (abs((rbc**2))+1e-6)) * (hct),0.5865,0.0481,0.0451,0.4192,0.0814,0.1576,0.0504,0.0406,0.0346,,,,,
2026-05-24 10:53:48,ra,m3,gp,(rbc - (mchc / log(rbc))) * (plt + -0.236),"mul(sub(rbc, div(mchc, log(rbc))), add(plt, -0.236))",0.5589,0.0388,0.0355,0.6667,0.0675,0.1464,0.0403,0.039,0.0331,,,large,,
