Timestamp,Disease,Split_Salt,Total_Case_Count,Total_Prevalence,Best_Single_Feat,Best_Single_AUC_PR,Best_Single_AUC_ROC,Best_Single_Formula,All_Feat_AUC_PR,All_Feat_AUC_ROC,All_Feat_Formula,CV_AUC_PR_Mean,CV_AUC_PR_Std,CV_AUC_PR_CI95_Low,CV_AUC_PR_CI95_High,CV_AUC_ROC_Mean,CV_AUC_ROC_Std
2026-06-07 01:56:24,ra,,1573,0.0107,neut_pct,0.0179,0.537,logit(p) = -0.3435 + (0.0047 * neut_pct),0.0153,0.6653,logit(p) = -0.0183 - (0.0818 * hct) + (0.1700 * hgb) + (0.1115 * mch) - (0.0315 * mchc) - (0.0250 * mcv) + (0.0019 * plt) + (0.0805 * rbc) + (0.0686 * rdw) - (0.0087 * wbc) - (0.0037 * neut_pct) + (0.0034 * lym_pct) - (0.1010 * mono_pct) + (0.0540 * eos_pct) - (0.3678 * baso_pct),0.015121,0.001827,0.01154,0.018701,0.620113,0.042124
2026-06-07 01:57:25,t2d,,18587,0.1273,mchc,0.1516,0.561,logit(p) = -3.8108 + (0.1148 * mchc),0.1537,0.6418,logit(p) = -0.0209 + (0.0295 * hct) - (0.0123 * hgb) + (0.1721 * mch) + (0.0095 * mchc) - (0.0843 * mcv) + (0.0004 * plt) - (0.1466 * rbc) + (0.0974 * rdw) - (0.0017 * wbc) + (0.0104 * neut_pct) + (0.0086 * lym_pct) - (0.1031 * mono_pct) + (0.0524 * eos_pct) - (0.1203 * baso_pct),0.157116,0.010883,0.135786,0.178446,0.644001,0.017784
2026-06-07 01:57:32,t1d,,1581,0.0108,plt,0.0154,0.6079,logit(p) = -0.6144 + (0.0026 * plt),0.0167,0.6585,logit(p) = -0.0118 + (0.1011 * hct) - (0.2923 * hgb) + (0.2421 * mch) + (0.0214 * mchc) - (0.0992 * mcv) + (0.0017 * plt) - (0.0726 * rbc) + (0.0248 * rdw) - (0.0206 * wbc) + (0.0110 * neut_pct) + (0.0122 * lym_pct) - (0.0824 * mono_pct) + (0.0329 * eos_pct) + (0.0442 * baso_pct),0.018899,0.006322,0.006509,0.03129,0.631418,0.037441
2026-06-07 02:00:17,psr,,839,0.0057,mch,0.0134,0.5269,logit(p) = -2.7964 + (0.0926 * mch),0.0115,0.6869,logit(p) = -0.0266 + (0.2275 * hct) - (0.1871 * hgb) + (0.4422 * mch) - (0.0399 * mchc) - (0.1677 * mcv) - (0.0000 * plt) - (1.2987 * rbc) + (0.0801 * rdw) - (0.0047 * wbc) + (0.0192 * neut_pct) + (0.0261 * lym_pct) - (0.1086 * mono_pct) + (0.1028 * eos_pct) - (0.1544 * baso_pct),0.01182,0.001223,0.009422,0.014218,0.658094,0.044576
2026-06-07 02:09:05,lup,,571,0.0039,rbc,0.0079,0.6318,logit(p) = 1.3574 - (0.3589 * rbc),0.0104,0.6709,logit(p) = 0.0222 + (0.1734 * hct) - (0.8105 * hgb) + (0.6270 * mch) - (0.1950 * mchc) - (0.1968 * mcv) + (0.0022 * plt) + (0.4852 * rbc) + (0.0363 * rdw) - (0.0346 * wbc) + (0.0683 * neut_pct) + (0.0733 * lym_pct) - (0.0322 * mono_pct) + (0.0645 * eos_pct) - (0.4621 * baso_pct),0.015077,0.018347,-0.020884,0.051038,0.642221,0.052554
2026-06-07 02:11:06,crhn,,1167,0.008,plt,0.019,0.6272,logit(p) = -1.1493 + (0.0046 * plt),0.0183,0.6533,logit(p) = 0.0405 + (0.1690 * hct) - (0.8138 * hgb) + (0.5438 * mch) + (0.0071 * mchc) - (0.1755 * mcv) + (0.0047 * plt) + (0.9704 * rbc) + (0.0059 * rdw) - (0.0698 * wbc) - (0.0092 * neut_pct) - (0.0143 * lym_pct) - (0.1065 * mono_pct) + (0.0520 * eos_pct) - (0.3131 * baso_pct),0.020334,0.004543,0.011429,0.029239,0.714119,0.035319
2026-06-21 10:58:17,crhn,seed2,1167,0.008,plt,0.0143,0.6598,logit(p) = -1.0676 + (0.0043 * plt),0.0198,0.7198,logit(p) = 0.0882 + (0.0898 * hct) - (0.7197 * hgb) + (0.5327 * mch) - (0.0305 * mchc) - (0.1455 * mcv) + (0.0043 * plt) + (1.2993 * rbc) - (0.0231 * rdw) - (0.0437 * wbc) - (0.0144 * neut_pct) - (0.0052 * lym_pct) - (0.1145 * mono_pct) + (0.0060 * eos_pct) - (0.7644 * baso_pct),0.019021,0.004245,0.010702,0.027341,0.696769,0.036261
2026-06-21 10:58:32,ra,seed2,1573,0.0107,rbc,0.015,0.5727,logit(p) = 1.2877 - (0.3399 * rbc),0.015,0.6405,logit(p) = -0.0631 + (0.0625 * hct) - (0.0564 * hgb) + (0.0534 * mch) + (0.0578 * mchc) - (0.0424 * mcv) + (0.0020 * plt) - (0.5498 * rbc) + (0.0713 * rdw) - (0.0066 * wbc) - (0.0003 * neut_pct) + (0.0048 * lym_pct) - (0.0931 * mono_pct) + (0.0489 * eos_pct) - (0.2691 * baso_pct),0.015771,0.003958,0.008013,0.02353,0.625519,0.02434
2026-06-21 10:59:45,t1d,seed2,1581,0.0108,mchc,0.0167,0.5819,logit(p) = -5.4264 + (0.1632 * mchc),0.0154,0.6196,logit(p) = -0.1137 + (0.0573 * hct) - (0.3237 * hgb) + (0.2459 * mch) + (0.0188 * mchc) - (0.0853 * mcv) + (0.0018 * plt) + (0.3552 * rbc) + (0.0070 * rdw) - (0.0199 * wbc) + (0.0052 * neut_pct) + (0.0057 * lym_pct) - (0.1097 * mono_pct) + (0.0167 * eos_pct) - (0.0470 * baso_pct),0.020253,0.011384,-0.00206,0.042565,0.637716,0.027834
2026-06-21 11:00:38,t2d,seed2,18587,0.1273,mcv,0.1496,0.5645,logit(p) = 2.7966 - (0.0311 * mcv),0.1431,0.6275,logit(p) = -0.0224 + (0.0382 * hct) - (0.0230 * hgb) + (0.1570 * mch) + (0.0293 * mchc) - (0.0826 * mcv) + (0.0004 * plt) - (0.1991 * rbc) + (0.0939 * rdw) - (0.0016 * wbc) + (0.0074 * neut_pct) + (0.0067 * lym_pct) - (0.1062 * mono_pct) + (0.0495 * eos_pct) - (0.1356 * baso_pct),0.159559,0.007582,0.144698,0.17442,0.647522,0.008435
