Timestamp,Disease,Split_Salt,K,Best_Features,Formula,Baseline_AUC_PR,Baseline_AUC_ROC
2026-05-26 01:08:13,t1d,,1,mchc,logit(p) = -4.4772 + (0.1352 * mchc),0.0139,0.5867
2026-05-26 01:08:13,t1d,,2,"mch,mcv",logit(p) = 2.0887 + (0.1422 * mch) - (0.0703 * mcv),0.0132,0.595
2026-05-26 01:08:13,t1d,,3,"mch,mcv,mono_pct",logit(p) = 2.3110 + (0.1304 * mch) - (0.0634 * mcv) - (0.0820 * mono_pct),0.0149,0.6199
2026-05-26 01:08:13,t1d,,4,"hct,mch,mcv,mono_pct",logit(p) = 2.3982 - (0.0025 * hct) + (0.1307 * mch) - (0.0636 * mcv) - (0.0820 * mono_pct),0.0149,0.6215
2026-05-26 01:08:13,t1d,,5,"hct,mch,mcv,rdw,mono_pct",logit(p) = 2.1010 - (0.0006 * hct) + (0.1373 * mch) - (0.0655 * mcv) + (0.0146 * rdw) - (0.0825 * mono_pct),0.0146,0.6163
2026-05-26 01:08:13,t1d,,6,"hct,mch,mcv,rdw,mono_pct,neut_pct",logit(p) = 2.2185 - (0.0008 * hct) + (0.1365 * mch) - (0.0651 * mcv) + (0.0148 * rdw) - (0.0852 * mono_pct) - (0.0015 * neut_pct),0.0144,0.6179
2026-05-26 01:08:13,t1d,,7,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc",logit(p) = 2.3682 - (0.0004 * hct) + (0.1314 * mch) - (0.0637 * mcv) + (0.0163 * rdw) - (0.0935 * mono_pct) - (0.0001 * neut_pct) - (0.0207 * wbc),0.0153,0.6359
2026-05-26 01:08:13,t1d,,8,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct",logit(p) = 1.0863 - (0.0016 * hct) + (0.1309 * mch) - (0.0631 * mcv) + (0.0186 * rdw) - (0.0817 * mono_pct) + (0.0120 * neut_pct) - (0.0181 * wbc) + (0.0152 * lym_pct),0.0149,0.6314
2026-05-26 01:08:13,t1d,,9,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc",logit(p) = 0.0023 + (0.0001 * hct) + (0.1362 * mch) - (0.0615 * mcv) + (0.0279 * rdw) - (0.0754 * mono_pct) + (0.0175 * neut_pct) - (0.0169 * wbc) + (0.0214 * lym_pct) + (0.0055 * rbc),0.0146,0.6252
2026-05-26 01:08:13,t1d,,10,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc,hgb",logit(p) = 0.0821 + (0.0849 * hct) + (0.2610 * mch) - (0.0935 * mcv) + (0.0121 * rdw) - (0.0818 * mono_pct) + (0.0117 * neut_pct) - (0.0172 * wbc) + (0.0150 * lym_pct) + (0.3204 * rbc) - (0.3712 * hgb),0.0155,0.6356
2026-05-26 01:08:13,t1d,,11,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc,hgb,baso_pct",logit(p) = 0.0758 + (0.0842 * hct) + (0.2601 * mch) - (0.0937 * mcv) + (0.0112 * rdw) - (0.0829 * mono_pct) + (0.0124 * neut_pct) - (0.0164 * wbc) + (0.0145 * lym_pct) + (0.3085 * rbc) - (0.3685 * hgb) + (0.1444 * baso_pct),0.0151,0.6358
2026-05-26 01:08:13,t1d,,12,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc,hgb,baso_pct,eos_pct",logit(p) = 0.0258 + (0.0848 * hct) + (0.2495 * mch) - (0.0950 * mcv) + (0.0111 * rdw) - (0.0794 * mono_pct) + (0.0173 * neut_pct) - (0.0151 * wbc) + (0.0183 * lym_pct) + (0.1910 * rbc) - (0.3325 * hgb) + (0.0983 * baso_pct) + (0.0388 * eos_pct),0.015,0.6374
2026-05-26 01:08:13,t1d,,13,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc,hgb,baso_pct,eos_pct,mchc",logit(p) = -0.1024 + (0.0865 * hct) + (0.2316 * mch) - (0.0915 * mcv) + (0.0110 * rdw) - (0.0804 * mono_pct) + (0.0165 * neut_pct) - (0.0153 * wbc) + (0.0174 * lym_pct) + (0.1456 * rbc) - (0.3235 * hgb) + (0.0974 * baso_pct) + (0.0382 * eos_pct) + (0.0133 * mchc),0.015,0.6381
2026-05-26 01:08:13,t1d,,14,"hct,mch,mcv,rdw,mono_pct,neut_pct,wbc,lym_pct,rbc,hgb,baso_pct,eos_pct,mchc,plt",logit(p) = -0.0117 + (0.1000 * hct) + (0.2402 * mch) - (0.0986 * mcv) + (0.0250 * rdw) - (0.0830 * mono_pct) + (0.0109 * neut_pct) - (0.0208 * wbc) + (0.0120 * lym_pct) - (0.0722 * rbc) - (0.2891 * hgb) + (0.0432 * baso_pct) + (0.0330 * eos_pct) + (0.0218 * mchc) + (0.0017 * plt),0.0167,0.6586
2026-05-26 01:18:05,psr,,1,mch,logit(p) = -3.7631 + (0.1242 * mch),0.0089,0.5447
2026-05-26 01:18:05,psr,,2,"plt,neut_pct",logit(p) = 0.0000 - (0.0010 * plt) + (0.0030 * neut_pct),0.0146,0.5418
2026-05-26 01:18:05,psr,,3,"plt,neut_pct,baso_pct",logit(p) = 0.0000 - (0.0010 * plt) + (0.0030 * neut_pct) + (0.0000 * baso_pct),0.0146,0.5418
2026-05-26 01:18:05,psr,,4,"mch,neut_pct,lym_pct,eos_pct",logit(p) = -9.8592 + (0.1316 * mch) + (0.0616 * neut_pct) + (0.0658 * lym_pct) + (0.1137 * eos_pct),0.0118,0.6436
2026-05-26 01:18:05,psr,,5,"hgb,mch,neut_pct,lym_pct,eos_pct",logit(p) = -10.0492 + (0.0497 * hgb) + (0.1252 * mch) + (0.0600 * neut_pct) + (0.0629 * lym_pct) + (0.1134 * eos_pct),0.0111,0.6285
2026-05-26 01:18:05,psr,,6,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw",logit(p) = -11.3042 + (0.0736 * hgb) + (0.1297 * mch) + (0.0611 * neut_pct) + (0.0649 * lym_pct) + (0.1137 * eos_pct) + (0.0498 * rdw),0.0117,0.645
2026-05-26 01:18:05,psr,,7,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt",logit(p) = -11.0550 + (0.0737 * hgb) + (0.1247 * mch) + (0.0615 * neut_pct) + (0.0648 * lym_pct) + (0.1164 * eos_pct) + (0.0470 * rdw) - (0.0004 * plt),0.0114,0.6389
2026-05-26 01:18:05,psr,,8,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct",logit(p) = -10.2972 + (0.2639 * hgb) + (0.1082 * mch) + (0.0600 * neut_pct) + (0.0631 * lym_pct) + (0.1174 * eos_pct) + (0.0503 * rdw) - (0.0004 * plt) - (0.0686 * hct),0.0117,0.6535
2026-05-26 01:18:05,psr,,9,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct,mcv",logit(p) = -9.2724 - (0.5662 * hgb) + (0.5347 * mch) + (0.0547 * neut_pct) + (0.0565 * lym_pct) + (0.1195 * eos_pct) + (0.0662 * rdw) - (0.0002 * plt) + (0.2066 * hct) - (0.1502 * mcv),0.0115,0.6831
2026-05-26 01:18:05,psr,,10,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct,mcv,mchc",logit(p) = -0.0392 - (0.5164 * hgb) + (0.8160 * mch) + (0.0535 * neut_pct) + (0.0551 * lym_pct) + (0.1184 * eos_pct) + (0.0618 * rdw) - (0.0002 * plt) + (0.1894 * hct) - (0.2430 * mcv) - (0.2734 * mchc),0.0111,0.6754
2026-05-26 01:18:05,psr,,11,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct,mcv,mchc,rbc",logit(p) = -0.0758 - (0.1457 * hgb) + (0.5256 * mch) + (0.0541 * neut_pct) + (0.0561 * lym_pct) + (0.1201 * eos_pct) + (0.0715 * rdw) - (0.0003 * plt) + (0.2190 * hct) - (0.2004 * mcv) - (0.1297 * mchc) - (1.3939 * rbc),0.0115,0.6836
2026-05-26 01:18:05,psr,,12,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct,mcv,mchc,rbc,baso_pct",logit(p) = -0.0752 - (0.1494 * hgb) + (0.5325 * mch) + (0.0528 * neut_pct) + (0.0561 * lym_pct) + (0.1265 * eos_pct) + (0.0738 * rdw) - (0.0002 * plt) + (0.2191 * hct) - (0.2017 * mcv) - (0.1311 * mchc) - (1.3638 * rbc) - (0.2335 * baso_pct),0.0118,0.6874
2026-05-26 01:18:05,psr,,13,"hgb,mch,neut_pct,lym_pct,eos_pct,rdw,plt,hct,mcv,mchc,rbc,baso_pct,wbc",logit(p) = -0.0762 - (0.1388 * hgb) + (0.5281 * mch) + (0.0538 * neut_pct) + (0.0578 * lym_pct) + (0.1305 * eos_pct) + (0.0718 * rdw) - (0.0003 * plt) + (0.2190 * hct) - (0.2021 * mcv) - (0.1293 * mchc) - (1.3996 * rbc) - (0.2120 * baso_pct) + (0.0072 * wbc),0.0115,0.6856
